exp_num,subrun,exp_run_full,N_species,N_dose,control_or_nutrient,N_species_dose,temp,food,sym_state,food_sym_state,col_num,treat_ID,beetag,beetag_exprun,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_percent_change,red_delta
1,B,1B,N,0,control,N_0,20,F,A,F_A,169,CNTRL_20_F_A,B22G28,B22G28_exp1B,1,B22G28_day1_exp1B,B22G28_1B_day1.JPG,0.25701,B22G28_day11_exp1B,B22G28_1B_day11.JPG,0.25646,-0.002139995,-0.00055
1,B,1B,N,0,control,N_0,20,F,S,F_S,160,CNTRL_20_F_S,B22G30,B22G30_exp1B,1,B22G30_day1_exp1B,B22G30_1B_day1.JPG,0.38755,B22G30_day11_exp1B,B22G30_1B_day11.JPG,0.47085,0.214940008,0.0833
1,B,1B,N,0,control,N_0,20,F,S,F_S,171,CNTRL_20_F_S,B22G31,B22G31_exp1B,1,B22G31_day1_exp1B,B22G31_1B_day1.JPG,0.47201,B22G31_day11_exp1B,B22G31_1B_day11.JPG,0.4346,-0.079256795,-0.03741
1,B,1B,N,0,control,N_0,20,S,A,S_A,171,CNTRL_20_S_A,B23G34,B23G34_exp1B,1,B23G34_day1_exp1B,B23G34_1B_day1.JPG,0.42189,B23G34_day11_exp1B,B23G34_1B_day11.JPG,0.45067,0.068216834,0.02878
1,B,1B,N,0,control,N_0,20,S,A,S_A,184,CNTRL_20_S_A,B23G35,B23G35_exp1B,1,B23G35_day1_exp1B,B23G35_1B_day1.JPG,0.36608,B23G35_day11_exp1B,B23G35_1B_day11.JPG,0.39157,0.069629589,0.02549
1,B,1B,N,0,control,N_0,20,S,A,S_A,166,CNTRL_20_S_A,B23G33,B23G33_exp1B,1,B23G33_day1_exp1B,B23G33_1B_day1.JPG,0.33798,B23G33_day11_exp1B,B23G33_1B_day11.JPG,0.33708,-0.002662879,-0.0009
1,B,1B,N,0,control,N_0,20,S,S,S_S,164,CNTRL_20_S_S,B23G36,B23G36_exp1B,1,B23G36_day1_exp1B,B23G36_1B_day1.JPG,0.42774,B23G36_day11_exp1B,B23G36_1B_day11.JPG,0.48416,0.131902558,0.05642
1,B,1B,N,0,control,N_0,20,S,S,S_S,172,CNTRL_20_S_S,B23G37,B23G37_exp1B,1,B23G37_day1_exp1B,B23G37_1B_day1.JPG,0.3854,B23G37_day11_exp1B,B23G37_1B_day11.JPG,0.40249,0.044343539,0.01709
1,B,1B,N,0,control,N_0,30,F,A,F_A,183,CNTRL_30_F_A,B29G67,B29G67_exp1B,1,B29G67_day1_exp1B,B29G67_1B_day1.JPG,0.48603,B29G67_day11_exp1B,B29G67_1B_day11.JPG,0.49351,0.015389997,0.00748
1,B,1B,N,0,control,N_0,30,F,A,F_A,170,CNTRL_30_F_A,B29G65,B29G65_exp1B,1,B29G65_day1_exp1B,B29G65_1B_day1.JPG,0.4526,B29G65_day11_exp1B,B29G65_1B_day11.JPG,0.46657,0.030866107,0.01397
1,B,1B,N,0,control,N_0,30,F,A,F_A,164,CNTRL_30_F_A,B29G64,B29G64_exp1B,1,B29G64_day1_exp1B,B29G64_1B_day1.JPG,0.29857,B29G64_day11_exp1B,B29G64_1B_day11.JPG,0.29436,-0.014100546,-0.00421
1,B,1B,N,0,control,N_0,30,F,S,F_S,161,CNTRL_30_F_S,B29G70,B29G70_exp1B,1,B29G70_day1_exp1B,B29G70_1B_day1.JPG,0.3919,B29G70_day11_exp1B,B29G70_1B_day11.JPG,0.42047,0.07290125,0.02857
1,B,1B,N,0,control,N_0,30,F,S,F_S,171,CNTRL_30_F_S,B29G71,B29G71_exp1B,1,B29G71_day1_exp1B,B29G71_1B_day1.JPG,0.39595,B29G71_day11_exp1B,B29G71_1B_day11.JPG,0.35835,-0.094961485,-0.0376
1,B,1B,N,0,control,N_0,30,S,A,S_A,166,CNTRL_30_S_A,B32G83,B32G83_exp1B,1,B32G83_day1_exp1B,B32G83_1B_day1.JPG,0.43159,B32G83_day11_exp1B,B32G83_1B_day11.JPG,0.42375,-0.018165388,-0.00784
1,B,1B,N,0,control,N_0,30,S,A,S_A,184,CNTRL_30_S_A,B32G85,B32G85_exp1B,1,B32G85_day1_exp1B,B32G85_1B_day1.JPG,0.38687,B32G85_day11_exp1B,B32G85_1B_day11.JPG,0.34304,-0.113293871,-0.04383
1,B,1B,N,0,control,N_0,30,S,A,S_A,171,CNTRL_30_S_A,B32G84,B32G84_exp1B,1,B32G84_day1_exp1B,B32G84_1B_day1.JPG,0.20829,B32G84_day11_exp1B,B32G84_1B_day11.JPG,0.17896,-0.140813289,-0.02933
1,B,1B,N,0,control,N_0,30,S,S,S_S,164,CNTRL_30_S_S,B32G87,B32G87_exp1B,1,B32G87_day1_exp1B,B32G87_1B_day1.JPG,0.49733,B32G87_day11_exp1B,B32G87_1B_day11.JPG,0.53835,0.082480446,0.04102
1,B,1B,N,0,control,N_0,30,S,S,S_S,172,CNTRL_30_S_S,B32G88,B32G88_exp1B,1,B32G88_day1_exp1B,B32G88_1B_day1.JPG,0.43308,B32G88_day11_exp1B,B32G88_1B_day11.JPG,0.44508,0.027708507,0.012
