"e_coli_plate","N_species","N","resp_rate_abs","sd","se","ci"
"0","CNTRL",48,0.004258125,0.00202910173633137,0.000292875608421013,0.000589189726943807
"0","N",66,0.00375848484848485,0.00183667696789127,0.000226079306425137,0.000451511553164613
"0","A",72,0.00408777777777778,0.00173971360944251,0.000205027215093221,0.000408812655762987
"1","CNTRL",47,0.00404914893617021,0.00162036875806663,0.000236355075118844,0.000475758090488991
"1","N",67,0.00441194029850746,0.00140028594353241,0.000171072155661299,0.000341556579066821
"1","A",65,0.004284,0.00181930429697728,0.000225656925612584,0.00045080153199842
