exp_num,subrun,N_species,N_dose,control_or_nutrient,N_species_dose,temp,food,sym_state,food_sym_state,col_num,treat_ID,beetag,beetag_exprun,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_percent_change,red_delta
3,B,A,0,control,A_0,20,S,A,S_A,243,CNTRL_20_S_A,O3B20,O3B20_exp3B,1,O3B20_day1_exp3B,O3B20_3B_day1.JPG,0.51594,O3B20_day11_exp3B,O3B20_3B_day11.JPG,0.45816,-0.111989766,-0.05778
3,A,A,0,control,A_0,20,F,S,F_S,241,CNTRL_20_F_S,B23G37,B23G37_exp3A,1,B23G37_day1_exp3A,B23G37_3A_day1.JPG,0.41494,B23G37_day11_exp3A,B23G37_3A_day11.JPG,0.45623,0.099508363,0.04129
2,B,A,0,control,A_0,20,F,A,F_A,170,CNTRL_20_F_A,B27G53,B27G53_exp2B,1,B27G53_day1_exp2B,B27G53_2B_day1.JPG,0.47811,B27G53_day11_exp2B,B27G53_2B_day11.JPG,0.45456,-0.049256447,-0.02355
3,B,A,0,control,A_0,30,S,A,S_A,243,CNTRL_30_S_A,W3O20,W3O20_exp3B,1,W3O20_day1_exp3B,W3O20_3B_day1.JPG,0.55265,W3O20_day11_exp3B,W3O20_3B_day11.JPG,0.45391,-0.178666425,-0.09874
3,B,A,0,control,A_0,20,F,S,F_S,252,CNTRL_20_F_S,O3B17,O3B17_exp3B,1,O3B17_day1_exp3B,O3B17_3B_day1.JPG,0.53115,O3B17_day11_exp3B,O3B17_3B_day11.JPG,0.45352,-0.14615457,-0.07763
3,A,A,0,control,A_0,30,F,S,F_S,240,CNTRL_30_F_S,B28G62,B28G62_exp3A,1,B28G62_day1_exp3A,B28G62_3A_day1.JPG,0.46216,B28G62_day11_exp3A,B28G62_3A_day11.JPG,0.45334,-0.0190843,-0.00882
2,A,A,0,control,A_0,20,S,A,S_A,210,CNTRL_20_S_A,B24G39,B24G39_exp2A,1,B24G39_day1_exp2A,B24G39_2A_day1.JPG,0.45366,B24G39_day11_exp2A,B24G39_2A_day11.JPG,0.45318,-0.001058061,-0.00048
1,A,A,0,control,A_0,20,F,S,F_S,155,CNTRL_20_F_S,B24G42,B24G42_exp1A,1,B24G42_day1_exp1A,B24G42_1A_day1.JPG,0.41567,B24G42_day11_exp1A,B24G42_1A_day11.JPG,0.4524,0.088363365,0.03673
3,A,A,0,control,A_0,20,F,A,F_A,234,CNTRL_20_F_A,B23G33,B23G33_exp3A,1,B23G33_day1_exp3A,B23G33_3A_day1.JPG,0.46059,B23G33_day11_exp3A,B23G33_3A_day11.JPG,0.44739,-0.028658894,-0.0132
3,A,A,0,control,A_0,20,S,S,S_S,241,CNTRL_20_S_S,B24G42,B24G42_exp3A,1,B24G42_day1_exp3A,B24G42_3A_day1.JPG,0.38218,B24G42_day11_exp3A,B24G42_3A_day11.JPG,0.4466,0.168559318,0.06442
2,B,A,0,control,A_0,20,S,A,S_A,215,CNTRL_20_S_A,B30G72,B30G72_exp2B,1,B30G72_day1_exp2B,B30G72_2B_day1.JPG,0.44217,B30G72_day11_exp2B,B30G72_2B_day11.JPG,0.44562,0.007802429,0.00345
2,B,A,0,control,A_0,30,F,S,F_S,211,CNTRL_30_F_S,B33G94,B33G94_exp2B,1,B33G94_day1_exp2B,B33G94_2B_day1.JPG,0.32872,B33G94_day11_exp2B,B33G94_2B_day11.JPG,0.43986,0.338099294,0.11114
2,B,A,0,control,A_0,20,F,S,F_S,191,CNTRL_20_F_S,B27G55,B27G55_exp2B,1,B27G55_day1_exp2B,B27G55_2B_day1.JPG,0.42903,B27G55_day11_exp2B,B27G55_2B_day11.JPG,0.43631,0.01696851,0.00728
1,B,A,0,control,A_0,20,S,S,S_S,167,CNTRL_20_S_S,B28G62,B28G62_exp1B,1,B28G62_day1_exp1B,B28G62_1B_day1.JPG,0.45839,B28G62_day11_exp1B,B28G62_1B_day11.JPG,0.43279,-0.055847641,-0.0256
2,B,A,0,control,A_0,20,F,S,F_S,226,CNTRL_20_F_S,B27G57,B27G57_exp2B,1,B27G57_day1_exp2B,B27G57_2B_day1.JPG,0.45069,B27G57_day11_exp2B,B27G57_2B_day11.JPG,0.43197,-0.041536311,-0.01872
1,A,A,0,control,A_0,30,S,S,S_S,144,CNTRL_30_S_S,B33G93,B33G93_exp1A,1,B33G93_day1_exp1A,B33G93_1A_day1.JPG,0.36301,B33G93_day11_exp1A,B33G93_1A_day11.JPG,0.43167,0.189140795,0.06866
2,A,A,0,control,A_0,20,F,A,F_A,209,CNTRL_20_F_A,B23G34,B23G34_exp2A,1,B23G34_day1_exp2A,B23G34_2A_day1.JPG,0.38539,B23G34_day11_exp2A,B23G34_2A_day11.JPG,0.43114,0.118710916,0.04575
2,A,A,0,control,A_0,20,S,S,S_S,201,CNTRL_20_S_S,B24G41,B24G41_exp2A,1,B24G41_day1_exp2A,B24G41_2A_day1.JPG,0.40926,B24G41_day11_exp2A,B24G41_2A_day11.JPG,0.42802,0.045838831,0.01876
2,A,A,0,control,A_0,30,F,S,F_S,198,CNTRL_30_F_S,B28G62,B28G62_exp2A,1,B28G62_day1_exp2A,B28G62_2A_day1.JPG,0.42078,B28G62_day11_exp2A,B28G62_2A_day11.JPG,0.42618,0.01283331,0.0054
3,A,A,0,control,A_0,30,S,A,S_A,237,CNTRL_30_S_A,B29G65,B29G65_exp3A,1,B29G65_day1_exp3A,B29G65_3A_day1.JPG,0.38913,B29G65_day11_exp3A,B29G65_3A_day11.JPG,0.42001,0.079356513,0.03088
3,A,A,0,control,A_0,30,S,S,S_S,240,CNTRL_30_S_S,B29G70,B29G70_exp3A,1,B29G70_day1_exp3A,B29G70_3A_day1.JPG,0.38009,B29G70_day11_exp3A,B29G70_3A_day11.JPG,0.41738,0.098108343,0.03729
3,B,A,0,control,A_0,20,F,S,F_S,244,CNTRL_20_F_S,O3B14,O3B14_exp3B,1,O3B14_day1_exp3B,O3B14_3B_day1.JPG,0.39646,O3B14_day11_exp3B,O3B14_3B_day11.JPG,0.41707,0.051985068,0.02061
1,A,A,0,control,A_0,30,S,A,S_A,155,CNTRL_30_S_A,B33G90,B33G90_exp1A,1,B33G90_day1_exp1A,B33G90_1A_day1.JPG,0.3234,B33G90_day11_exp1A,B33G90_1A_day11.JPG,0.41328,0.277922078,0.08988
2,B,A,0,control,A_0,20,S,S,S_S,217,CNTRL_20_S_S,B30G75,B30G75_exp2B,1,B30G75_day1_exp2B,B30G75_2B_day1.JPG,0.38881,B30G75_day11_exp2B,B30G75_2B_day11.JPG,0.40837,0.050307348,0.01956
1,A,A,0,control,A_0,20,F,S,F_S,151,CNTRL_20_F_S,B24G41,B24G41_exp1A,1,B24G41_day1_exp1A,B24G41_1A_day1.JPG,0.37772,B24G41_day11_exp1A,B24G41_1A_day11.JPG,0.4083,0.080959441,0.03058
1,A,A,0,control,A_0,30,F,S,F_S,144,CNTRL_30_F_S,B31G79,B31G79_exp1A,1,B31G79_day1_exp1A,B31G79_1A_day1.JPG,0.47712,B31G79_day11_exp1A,B31G79_1A_day11.JPG,0.40782,-0.145246479,-0.0693
3,B,A,0,control,A_0,30,F,A,F_A,242,CNTRL_30_F_A,W3O13,W3O13_exp3B,1,W3O13_day1_exp3B,W3O13_3B_day1.JPG,0.42906,W3O13_day11_exp3B,W3O13_3B_day11.JPG,0.40702,-0.051368107,-0.02204
2,B,A,0,control,A_0,20,S,A,S_A,171,CNTRL_20_S_A,B30G73,B30G73_exp2B,1,B30G73_day1_exp2B,B30G73_2B_day1.JPG,0.49533,B30G73_day11_exp2B,B30G73_2B_day11.JPG,0.40608,-0.180182908,-0.08925
2,A,A,0,control,A_0,30,F,A,F_A,232,CNTRL_30_F_A,B28G60,B28G60_exp2A,1,B28G60_day1_exp2A,B28G60_2A_day1.JPG,0.36463,B28G60_day11_exp2A,B28G60_2A_day11.JPG,0.40398,0.107917615,0.03935
