beetag_exprun,col_num,exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID_collapsed_controls,red_day1,red_day11,red_delta,resp_rate,e_coli_plate,PAM_avg_day1,PAM_avg_day11,PAM_delta,log_PAM_delta
G29Y74_exp1A,153,1,A,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.33748,0.26899,-0.06849,-0.00507,1,0.416,0.518,0.102,0.102
G23Y3130_exp2A,206,2,A,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.39435,0.25028,-0.14407,-0.00378,1,0.515,0.035,-0.48,-0.48
G25Y48_exp2B,205,2,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.27312,0.20952,-0.0636,NA,NA,0.628,0.608,-0.02,-0.02
G24Y44_exp3A,230,3,A,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S,0.26233,0.34475,0.08242,-0.00401,0,0.455,0.572,0.117,0.117
O5G7_exp3B,256,3,B,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.49881,0.6603,0.16149,-0.00607,1,0.009,0.289,0.28,0.28
O8G13_exp3B,257,3,B,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.53212,0.52775,-0.00437,NA,NA,0.583,0.469,-0.114,-0.114
G24Y40_exp2A,187,2,A,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.4497,0.48904,0.03934,NA,NA,0.122,0.465,0.343,0.343
G34Y4_exp1B,171,1,B,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.47333,0.46342,-0.00991,NA,NA,0.312,0.344,0.032,0.032
G27Y57_exp2B,185,2,B,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.38047,0.42719,0.04672,NA,NA,0.533,0.024,-0.509,-0.509
G31Y82_exp1A,150,1,A,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.40528,0.41603,0.01075,-0.00222,0,0.232,0.517,0.285,0.285
G24Y41_exp3A,237,3,A,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.36106,0.4083,0.04724,-0.00254,0,0.376,0.39,0.014,0.014
G34Y3_exp1B,166,1,B,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.41916,0.39241,-0.02675,-0.00518,0,0.107,0.475,0.368,0.368
G27Y56_exp2B,206,2,B,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.35757,0.37934,0.02177,-0.00225,1,0.532,0.547,0.015,0.015
G24Y42_exp3A,237,3,A,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.32643,0.33691,0.01048,NA,NA,0.459,0.476,0.017,0.017
G31Y80_exp1A,168,1,A,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.30867,0.3333,0.02463,-0.00329,1,0.159,0.256,0.097,0.097
G24Y42_exp2A,228,2,A,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.32714,0.32568,-0.00146,-0.00604,1,0.451,0.155,-0.296,-0.296
G34Y5_exp1B,184,1,B,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.25124,0.3041,0.05286,-0.00292,1,0.208,0.709,0.501,0.501
G24Y41_exp2A,203,2,A,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.32358,0.2811,-0.04248,-0.0041,0,0.208,0.438,0.23,0.23
G24Y40_exp3A,227,3,A,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,0.25913,0.27666,0.01753,-0.00477,1,0.351,0.367,0.016,0.016
G34Y10_exp1B,164,1,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.34601,0.41695,0.07094,-0.00311,0,0.4,0.105,-0.295,-0.295
O8G11_exp3B,249,3,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.54861,0.51524,-0.03337,-0.00495,0,0.544,0.244,-0.3,-0.3
G27Y55_exp2B,169,2,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.49507,0.50331,0.00824,-0.00143,0,0.439,0.545,0.106,0.106
G31Y84_exp1A,160,1,A,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.57308,0.4866,-0.08648,NA,NA,0.401,0.271,-0.13,-0.13
G31Y85_exp1A,157,1,A,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.54457,0.48173,-0.06284,-0.00738,1,0.394,0.334,-0.06,-0.06
G31Y83_exp1A,150,1,A,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.47567,0.4308,-0.04487,-0.00266,0,0.399,0.549,0.15,0.15
O8G12_exp3B,252,3,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.44194,0.41365,-0.02829,NA,NA,0.546,0.607,0.061,0.061
G34Y11_exp1B,172,1,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.38161,0.40974,0.02813,-0.00507,1,0.426,0.521,0.095,0.095
G27Y59_exp2B,225,2,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.34338,0.37885,0.03547,-0.00465,1,0.531,0.585,0.054,0.054
G27Y58_exp2B,208,2,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.38222,0.35343,-0.02879,-0.00485,0,0.503,0.184,-0.319,-0.319
G24Y44_exp2A,208,2,A,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.33497,0.35169,0.01672,-0.00635,1,0.535,0.369,-0.166,-0.166
O8G10_exp3B,244,3,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.31441,0.33801,0.0236,-0.00555,0,0.568,0.485,-0.083,-0.083
G24Y43_exp2A,186,2,A,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.37408,0.33627,-0.03781,-0.00448,0,0.488,0.223,-0.265,-0.265
G24Y43_exp3A,239,3,A,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,0.36627,0.31562,-0.05065,-0.00637,1,0.569,0.055,-0.514,-0.514
G26Y52_exp2B,175,2,B,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.50156,0.49062,-0.01094,-0.00682,1,0.541,0.117,-0.424,-0.424
W5O28_exp3B,256,3,B,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.50143,0.47643,-0.025,-0.00266,1,0.354,0.554,0.2,0.2
G23Y2820_exp1B,183,1,B,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.42152,0.46651,0.04499,-0.00348,0,0.168,0.024,-0.144,-0.144
G23Y1819_exp1B,170,1,B,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.41295,0.46289,0.04994,NA,NA,0.369,0.281,-0.088,-0.088
G28Y63_exp1A,150,1,A,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.35974,0.46213,0.10239,-0.00318,0,0.245,0.284,0.039,0.039
G33Y94_exp2A,186,2,A,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.40201,0.45657,0.05456,-0.00304,0,0.4,0.194,-0.206,-0.206
G33Y95_exp2A,201,2,A,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.28251,0.40741,0.1249,NA,NA,0.253,0.163,-0.09,-0.09
G33Y94_exp3A,237,3,A,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.3255,0.38858,0.06308,-0.00212,0,0.296,0.299,0.003,0.003
G33Y1_exp3A,226,3,A,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.42794,0.38737,-0.04057,-0.00407,1,0.405,0.47,0.065,0.065
W5O29_exp3B,238,3,B,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.33493,0.35845,0.02352,-0.00292,0,0.251,0.382,0.131,0.131
G23Y5017_exp1B,165,1,B,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.44,0.32848,-0.11152,-0.00272,1,0.321,0.061,-0.26,-0.26
G28Y62_exp1A,168,1,A,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.25675,0.32224,0.06549,-0.00382,1,0.163,0.248,0.085,0.085
G33Y95_exp3A,237,3,A,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.38666,0.31351,-0.07315,NA,NA,0.469,0.36,-0.109,-0.109
G26Y51_exp2B,196,2,B,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.29316,0.26607,-0.02709,-0.00219,1,0.539,0.285,-0.254,-0.254
G33Y97_exp2A,227,2,A,N,1.5,N_1.5,30,F,A,F_A,N_1.5_30_F_A,0.20956,0.19326,-0.0163,-0.00328,1,0.22,0.04,-0.18,-0.18
G26Y54_exp2B,223,2,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.53932,0.55679,0.01747,-0.00222,0,0.505,0.515,0.01,0.01
G23Y3130_exp1B,171,1,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.40352,0.51037,0.10685,-0.00385,1,0.345,0.507,0.162,0.162
W4O25_exp3B,252,3,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.53702,0.49909,-0.03793,NA,NA,NA,NA,NA,NA
G33Y100_exp3A,240,3,A,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.34356,0.47889,0.13533,-0.00572,1,0.387,0.379,-0.008,-0.008
G23Y2129_exp1B,161,1,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.41414,0.47756,0.06342,-0.00484,0,0.36,0.13,-0.23,-0.23
W5O26_exp3B,251,3,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.44193,0.46017,0.01824,NA,NA,0.554,0.541,-0.013,-0.013
W5O27_exp3B,246,3,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.43341,0.45219,0.01878,-0.00575,0,0.021,0.231,0.21,0.21
G33Y97_exp3A,239,3,A,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.42279,0.44491,0.02212,-0.00521,0,0.538,0.514,-0.024,-0.024
G28Y64_exp1A,142,1,A,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.55867,0.44362,-0.11505,-0.00282,0,0.355,0.566,0.211,0.211
G26Y50_exp2B,167,2,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.5026,0.43444,-0.06816,-0.00154,0,0.43,0.221,-0.209,-0.209
G33Y1_exp2A,206,2,A,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.37337,0.36625,-0.00712,-0.00144,0,0.481,0.177,-0.304,-0.304
G28Y65_exp1A,148,1,A,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.33064,0.3551,0.02446,NA,NA,0.35,0.523,0.173,0.173
G33Y100_exp2A,185,2,A,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.29159,0.3542,0.06261,-0.0038,1,0.469,0.366,-0.103,-0.103
G28Y67_exp1A,153,1,A,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.57476,0.30158,-0.27318,NA,NA,0.432,0.333,-0.099,-0.099
G26Y53_exp2B,206,2,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,0.34752,0.2623,-0.08522,NA,NA,0.511,0.211,-0.3,-0.3
G34Y3_exp2A,193,2,A,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.45418,0.58098,0.1268,-0.00214,0,0.407,0.508,0.101,0.101
G28Y62_exp2B,170,2,B,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.46087,0.51464,0.05377,-0.00391,0,0.456,0.393,-0.063,-0.063
G34Y4_exp2A,207,2,A,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.55005,0.5102,-0.03985,-0.0055,1,0.318,0.484,0.166,0.166
G24Y41_exp1B,171,1,B,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.43474,0.45057,0.01583,NA,NA,0.188,0.486,0.298,0.298
G25Y46_exp1A,151,1,A,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.42208,0.44109,0.01901,-0.00276,1,0.407,0.526,0.119,0.119
G34Y5_exp2A,230,2,A,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.46475,0.42886,-0.03589,NA,NA,0.287,0.536,0.249,0.249
G24Y40_exp1B,166,1,B,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.32867,0.38554,0.05687,-0.00344,0,0.234,0.308,0.074,0.074
G34Y3_exp3A,230,3,A,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.34312,0.37071,0.02759,NA,NA,0.487,0.66,0.173,0.173
G28Y63_exp2B,212,2,B,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.41498,0.34727,-0.06771,-0.00272,1,0.506,0.429,-0.077,-0.077
W7O31_exp3B,238,3,B,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.42658,0.33832,-0.08826,NA,NA,0.489,0.622,0.133,0.133
W5O30_exp3B,242,3,B,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.40235,0.31951,-0.08284,-0.00493,1,0.48,0.632,0.152,0.152
G25Y45_exp1A,162,1,A,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.27828,0.30273,0.02445,-0.00185,0,0.139,0.354,0.215,0.215
G34Y4_exp3A,237,3,A,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.33969,0.28806,-0.05163,-0.006,1,0.195,0.431,0.236,0.236
G24Y42_exp1B,184,1,B,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,0.22565,0.24271,0.01706,-0.00251,1,0.272,0.214,-0.058,-0.058
G25Y48_exp1A,155,1,A,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.54739,0.56614,0.01875,-0.00327,1,0.424,0.538,0.114,0.114
G28Y65_exp2B,208,2,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.54165,0.55027,0.00862,NA,NA,0.553,0.049,-0.504,-0.504
G25Y47_exp1A,152,1,A,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.54086,0.5327,-0.00816,-0.00341,0,0.331,0.117,-0.214,-0.214
G24Y43_exp1B,165,1,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.47108,0.50608,0.035,-0.00358,0,0.381,0.285,-0.096,-0.096
W7O34_exp3B,252,3,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.5218,0.50318,-0.01862,-0.00196,0,0.501,0.027,-0.474,-0.474
W7O33_exp3B,247,3,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.36353,0.49273,0.1292,NA,NA,0.575,0.035,-0.54,-0.54
G34Y10_exp2A,198,2,A,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.50252,0.46773,-0.03479,-0.00206,0,0.501,0.366,-0.135,-0.135
G34Y11_exp2A,211,2,A,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.37193,0.4056,0.03367,-0.00482,1,0.179,0.459,0.28,0.28
G25Y49_exp1A,157,1,A,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.34508,0.40154,0.05646,NA,NA,0.456,0.285,-0.171,-0.171
G34Y11_exp3A,241,3,A,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.3893,0.38644,-0.00286,-0.00283,1,0.555,0.503,-0.052,-0.052
G28Y64_exp2B,188,2,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.37724,0.37982,0.00258,-0.00289,0,0.53,0.368,-0.162,-0.162
G24Y44_exp1B,173,1,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.4215,0.3698,-0.0517,NA,NA,0.394,0.515,0.121,0.121
G28Y67_exp2B,225,2,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.31516,0.33953,0.02437,-0.0041,1,0.487,0.527,0.04,0.04
W7O32_exp3B,244,3,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.25919,0.2645,0.00531,-0.00446,1,0.419,0.603,0.184,0.184
G34Y10_exp3A,239,3,A,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,0.32284,0.24839,-0.07445,-0.00452,0,0.541,0.496,-0.045,-0.045
R1W3_exp2A,174,2,A,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.41184,0.51051,0.09867,-0.00261,0,0.42,0.004,-0.416,-0.416
O15Y25_exp3B,252,3,B,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.49538,0.5095,0.01412,NA,NA,NA,NA,NA,NA
R3W10_exp1A,150,1,A,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.30323,0.4972,0.19397,-0.00265,0,0.189,0.354,0.165,0.165
R10W45_exp1B,163,1,B,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.43628,0.46542,0.02914,-0.00568,0,0.368,0.58,0.212,0.212
R10W47_exp1B,183,1,B,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.4759,0.44301,-0.03289,NA,NA,0.264,0.242,-0.022,-0.022
R17W85_exp3A,241,3,A,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.41259,0.44057,0.02798,NA,NA,NA,NA,NA,NA
R1W6_exp2A,226,2,A,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.44547,0.43198,-0.01349,NA,NA,0.255,0.229,-0.026,-0.026
R1W3_exp3A,237,3,A,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.33647,0.37253,0.03606,NA,NA,0.424,0.352,-0.072,-0.072
R1W5_exp2A,199,2,A,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.3319,0.37144,0.03954,NA,NA,0.155,0.433,0.278,0.278
R3W8_exp1A,168,1,A,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.4425,0.29388,-0.14862,-0.00378,1,0.146,0.21,0.064,0.064
R1W2_exp3A,225,3,A,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.32452,0.28384,-0.04068,NA,NA,0.341,0.207,-0.134,-0.134
R10W46_exp1B,169,1,B,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.29044,0.27559,-0.01485,-0.00288,1,0.152,0.419,0.267,0.267
O17W14_exp3B,238,3,B,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.26764,0.26103,-0.00661,NA,NA,0.421,0.564,0.143,0.143
R3W10_exp2B,194,2,B,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.22759,0.2346,0.00701,-0.00422,0,0.572,0.535,-0.037,-0.037
R3W8_exp2B,159,2,B,N,18,N_18,20,F,A,F_A,N_18_20_F_A,0.20637,0.21398,0.00761,-0.00971,1,0.571,0.595,0.024,0.024
R3W13_exp2B,223,2,B,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.51048,0.48806,-0.02242,-0.0046,1,0.517,0.592,0.075,0.075
O17W17_exp3B,251,3,B,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.50332,0.48256,-0.02076,NA,NA,0.559,0.495,-0.064,-0.064
R1W7_exp2A,185,2,A,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.51926,0.48125,-0.03801,-0.00384,1,0.456,0.588,0.132,0.132
R3W11_exp2B,174,2,B,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.38544,0.45401,0.06857,NA,NA,0.517,0.584,0.067,0.067
R3W12_exp2B,205,2,B,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.42392,0.42821,0.00429,-0.00533,0,0.593,0.611,0.018,0.018
R10W49_exp1B,171,1,B,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.3992,0.4169,0.0177,-0.00652,1,0.403,0.544,0.141,0.141
R10W48_exp1B,161,1,B,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.3926,0.39053,-0.00207,-0.00462,0,0.434,0.582,0.148,0.148
R3W11_exp1A,142,1,A,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.4379,0.37985,-0.05805,NA,NA,0.446,0.217,-0.229,-0.229
O17W15_exp3B,242,3,B,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.3642,0.34959,-0.01461,NA,NA,0.316,0.468,0.152,0.152
R1W6_exp3A,239,3,A,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.37804,0.33331,-0.04473,NA,NA,0.523,0.1,-0.423,-0.423
R3W12_exp1A,147,1,A,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.40783,0.30348,-0.10435,-0.00661,0,0.437,0.425,-0.012,-0.012
O17W20_exp3B,246,3,B,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.41456,0.29003,-0.12453,NA,NA,0.497,0.334,-0.163,-0.163
R1W5_exp3A,237,3,A,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.25989,0.28884,0.02895,NA,NA,0.484,0.344,-0.14,-0.14
R3W13_exp1A,153,1,A,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.29396,0.28575,-0.00821,-0.00492,1,0.408,0.42,0.012,0.012
R1W2_exp2A,206,2,A,N,18,N_18,20,F,S,F_S,N_18_20_F_S,0.28177,0.18933,-0.09244,-0.00321,0,0.512,0.016,-0.496,-0.496
R11W50_exp1B,166,1,B,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.49447,0.49276,-0.00171,NA,NA,0.421,0.602,0.181,0.181
R4W14_exp2B,170,2,B,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.49632,0.44924,-0.04708,-0.00411,0,0.52,0.088,-0.432,-0.432
R10W45_exp2A,192,2,A,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.45338,0.43599,-0.01739,-0.00224,0,0.473,0.082,-0.391,-0.391
R10W45_exp3A,229,3,A,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.41253,0.40426,-0.00827,NA,NA,0.321,0.141,-0.18,-0.18
R10W46_exp2A,205,2,A,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.35316,0.39352,0.04036,NA,NA,0.416,0.451,0.035,0.035
R4W15_exp2B,210,2,B,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.37408,0.39015,0.01607,-0.00752,1,0.561,0.497,-0.064,-0.064
R11W51_exp1B,171,1,B,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.35654,0.38705,0.03051,-0.00233,0,0.118,0.333,0.215,0.215
O20W34_exp3B,238,3,B,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.32093,0.35772,0.03679,NA,NA,0.306,0.336,0.03,0.03
O1B5_exp3B,256,3,B,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.4567,0.3553,-0.1014,-0.00328,1,0.139,0.585,0.446,0.446
O8G8_exp3B,238,3,B,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.29288,0.34982,0.05694,-0.00286,1,0.257,0.268,0.011,0.011
R11W52_exp1B,184,1,B,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.346,0.2989,-0.0471,-0.00439,1,0.158,0.305,0.147,0.147
R5W21_exp1A,162,1,A,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.3003,0.29285,-0.00745,-0.00419,0,0.174,0.231,0.057,0.057
R5W22_exp1A,151,1,A,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.2922,0.28733,-0.00487,-0.00533,1,0.39,0.415,0.025,0.025
R10W46_exp3A,237,3,A,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.25027,0.27228,0.02201,NA,NA,0.455,0.3,-0.155,-0.155
R10W47_exp2A,228,2,A,N,18,N_18,20,S,A,S_A,N_18_20_S_A,0.24421,0.25377,0.00956,-0.0036,1,0.506,0.384,-0.122,-0.122
R10W48_exp2A,193,2,A,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.49519,0.58659,0.0914,-0.00295,0,0.292,0.596,0.304,0.304
R4W20_exp2B,208,2,B,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.49768,0.50692,0.00924,NA,NA,0.519,0.153,-0.366,-0.366
R5W24_exp1A,150,1,A,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.49927,0.46845,-0.03082,NA,NA,0.324,0.4,0.076,0.076
R5W26_exp1A,154,1,A,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.51561,0.46785,-0.04776,-0.00531,0,0.41,0.464,0.054,0.054
R10W49_exp2A,208,2,A,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.38759,0.44481,0.05722,-0.00205,1,0.519,0.574,0.055,0.055
R11W54_exp1B,172,1,B,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.42993,0.44256,0.01263,-0.00564,1,0.378,0.163,-0.215,-0.215
R5W27_exp1A,157,1,A,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.46448,0.43356,-0.03092,-0.0065,1,0.403,0.471,0.068,0.068
O20W36_exp3B,250,3,B,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.51277,0.39576,-0.11701,NA,NA,0.577,0.54,-0.037,-0.037
O20W37_exp3B,252,3,B,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.44462,0.39408,-0.05054,NA,NA,0.018,0.227,0.209,0.209
R4W17_exp2B,188,2,B,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.27344,0.39109,0.11765,-0.00626,0,0.589,0.376,-0.213,-0.213
R4W34_exp2B,225,2,B,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.43092,0.38551,-0.04541,-0.00797,1,0.528,0.43,-0.098,-0.098
R10W47_exp3A,237,3,A,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.29748,0.34599,0.04851,NA,NA,0.439,0.355,-0.084,-0.084
R11W53_exp1B,164,1,B,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.33941,0.3283,-0.01111,-0.00468,0,0.433,0.541,0.108,0.108
O20W35_exp3B,244,3,B,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.25021,0.2418,-0.00841,NA,NA,0.338,0.5,0.162,0.162
R10W48_exp3A,239,3,A,N,18,N_18,20,S,S,S_S,N_18_20_S_S,0.42799,0.20556,-0.22243,NA,NA,0.579,0.034,-0.545,-0.545
R14W71_exp2A,202,2,A,N,18,N_18,30,F,A,F_A,N_18_30_F_A,0.4937,0.53566,0.04196,-0.00214,0,0.14,0.485,0.345,0.345
W14O66_exp3B,254,3,B,N,18,N_18,30,F,A,F_A,N_18_30_F_A,0.39939,0.50327,0.10388,NA,NA,NA,NA,NA,NA
R21W95_exp1B,170,1,B,N,18,N_18,30,F,A,F_A,N_18_30_F_A,0.43729,0.49297,0.05568,NA,NA,0.333,0.261,-0.072,-0.072
R14W70_exp2A,186,2,A,N,18,N_18,30,F,A,F_A,N_18_30_F_A,0.42322,0.49225,0.06903,NA,NA,0.44,0.482,0.042,0.042
R21W94_exp1B,166,1,B,N,18,N_18,30,F,A,F_A,N_18_30_F_A,0.43096,0.45437,0.02341,-0.00414,0,0.28,0.428,0.148,0.148
R7W36_exp2B,201,2,B,N,18,N_18,30,F,A,F_A,N_18_30_F_A,0.39149,0.42497,0.03348,-0.0075,1,0.291,0.355,0.064,0.064
