beetag_exprun,col_num,exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID_collapsed_controls,red_day1,red_day11,red_delta,resp_rate,e_coli_plate,PAM_avg_day1,PAM_avg_day11,PAM_delta,log_PAM_delta
B22G28_exp3A,227,3,A,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.33353,0.38307,0.04954,NA,NA,0.329,0.408,0.079,0.079
B22G29_exp2A,202,2,A,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.40726,0.36489,-0.04237,NA,NA,0.468,0.139,-0.329,-0.329
O2B7_exp3B,238,3,B,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.34012,0.34724,0.00712,-0.00536,0,0.301,0.353,0.052,0.052
B22G29_exp3A,237,3,A,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.38848,0.34719,-0.04129,-0.00347,1,0.343,0.197,-0.146,-0.146
B15G22_exp1A,168,1,A,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.33028,0.33946,0.00918,NA,NA,0.097,0.149,0.052,0.052
B23G33_exp1B,166,1,B,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.33798,0.33708,-0.0009,-0.00281,0,0.244,0.367,0.123,0.123
B15G23_exp2B,203,2,B,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.29725,0.33268,0.03543,-0.00794,1,0.432,0.37,-0.062,-0.062
O2B12_exp3B,257,3,B,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.39353,0.33232,-0.06121,NA,NA,0.575,0.042,-0.533,-0.533
B22G30_exp3A,237,3,A,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.4004,0.30212,-0.09828,-0.0067,0,0.532,0.515,-0.017,-0.017
B22G30_exp2A,228,2,A,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.4506,0.27145,-0.17915,-0.00715,1,0.153,0.569,0.416,0.416
B15G22_exp2B,169,2,B,N,0,CNTRL_0,20,S,A,S_A,CNTRL_20_S_A,0.28042,0.26732,-0.0131,-0.00207,0,0.528,0.47,-0.058,-0.058
O22W48_exp3B,252,3,B,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.46767,0.53906,0.07139,NA,NA,NA,NA,NA,NA
B23G36_exp1B,164,1,B,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.42774,0.48416,0.05642,-0.00201,0,0.405,0.333,-0.072,-0.072
B15G25_exp1A,157,1,A,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.45477,0.44357,-0.0112,-0.00514,1,0.358,0.494,0.136,0.136
B22G27_exp3A,241,3,A,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.47463,0.43974,-0.03489,-0.00465,1,0.596,0.023,-0.573,-0.573
B22G31_exp2A,186,2,A,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.38,0.42099,0.04099,-0.00675,1,0.487,0.44,-0.047,-0.047
B23G37_exp1B,172,1,B,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.3854,0.40249,0.01709,-0.0026,1,0.395,0.423,0.028,0.028
B15G24_exp2B,180,2,B,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.45545,0.39641,-0.05904,-0.00173,0,0.509,0.581,0.072,0.072
B22G27_exp2A,207,2,A,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.24244,0.35542,0.11298,-0.00946,0,0.432,0.561,0.129,0.129
B15G25_exp2B,208,2,B,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.32019,0.35056,0.03037,-0.00487,1,0.505,0.587,0.082,0.082
B15G24_exp1A,149,1,A,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.33323,0.34621,0.01298,-0.00224,0,0.396,0.114,-0.282,-0.282
B15G26_exp2B,224,2,B,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.27313,0.3365,0.06337,NA,NA,0.562,0.592,0.03,0.03
O2B10_exp3B,249,3,B,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.42305,0.33128,-0.09177,-0.00442,0,0.553,0.337,-0.216,-0.216
B22G31_exp3A,239,3,A,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.39145,0.31579,-0.07566,-0.00819,0,0.571,0.02,-0.551,-0.551
O2B11_exp3B,252,3,B,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.3855,0.30338,-0.08212,-0.0052,1,0.539,0.583,0.044,0.044
B15G26_exp1A,153,1,A,N,0,CNTRL_0,20,S,S,S_S,CNTRL_20_S_S,0.39011,0.2821,-0.10801,NA,NA,0.366,0.556,0.19,0.19
W17O83_exp3B,249,3,B,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.55486,0.53012,-0.02474,NA,NA,NA,NA,NA,NA
B29G67_exp1B,183,1,B,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.48603,0.49351,0.00748,-0.00445,1,0.212,0.018,-0.194,-0.194
B29G65_exp1B,170,1,B,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.4526,0.46657,0.01397,NA,NA,0.348,0.342,-0.006,-0.006
B25G44_exp2A,201,2,A,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.45348,0.46088,0.0074,NA,NA,0.467,0.485,0.018,0.018
B25G45_exp2A,226,2,A,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.41058,0.45652,0.04594,-0.00347,1,0.36,0.282,-0.078,-0.078
B25G43_exp3A,226,3,A,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.40382,0.45247,0.04865,-0.00355,1,0.509,0.249,-0.26,-0.26
B25G45_exp3A,237,3,A,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.42579,0.43869,0.0129,NA,NA,0.427,0.421,-0.006,-0.006
B31G77_exp2B,167,2,B,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.39,0.42721,0.03721,-0.00387,0,0.325,0.279,-0.046,-0.046
B25G44_exp3A,237,3,A,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.31611,0.35348,0.03737,-0.00464,0,0.303,0.485,0.182,0.182
W1O1_exp3B,238,3,B,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.35796,0.34167,-0.01629,-0.00372,0,0.359,0.32,-0.039,-0.039
B27G54_exp1A,150,1,A,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.39266,0.34112,-0.05154,-0.0044,0,0.112,0.545,0.433,0.433
B31G78_exp2B,195,2,B,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.27122,0.3297,0.05848,-0.00401,1,0.542,0.376,-0.166,-0.166
B26G48_exp3A,229,3,A,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.2839,0.31509,0.03119,-0.00598,1,0.548,0.358,-0.19,-0.19
B27G53_exp1A,168,1,A,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.24177,0.2988,0.05703,-0.00303,1,0.211,0.313,0.102,0.102
B29G64_exp1B,164,1,B,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.29857,0.29436,-0.00421,-0.00138,0,0.371,0.185,-0.186,-0.186
B25G43_exp2A,174,2,A,N,0,CNTRL_0,30,F,A,F_A,CNTRL_30_F_A,0.17441,0.19778,0.02337,-0.00362,0,0.353,0.178,-0.175,-0.175
B25G47_exp3A,240,3,A,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.38025,0.49938,0.11913,-0.00385,0,0.416,0.386,-0.03,-0.03
B25G47_exp2A,206,2,A,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.48027,0.48377,0.0035,-0.00501,1,0.237,0.485,0.248,0.248
B27G57_exp1A,153,1,A,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.40445,0.48234,0.07789,-0.00437,0,0.453,0.275,-0.178,-0.178
B31G79_exp2B,174,2,B,N,0,CNTRL_0,30,F,S,F_S,CNTRL_30_F_S,0.39306,0.43387,0.04081,NA,NA,0.529,0.453,-0.076,-0.076
