num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
8,08_20_22,2,B,2,0,D2,D2,-0.00143,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G27Y55,2B,G27Y55_exp2B,169,107,0
9,08_20_22,2,B,2,1,A3,A3,-0.00225,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G27Y56,2B,G27Y56_exp2B,206,107,0
9,09_01_22,3,A,2,1,A3,A3,-0.00477,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G24Y40,3A,G24Y40_exp3A,227,138,0
8,09_01_22,3,A,2,0,D2,D2,-0.00254,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G24Y41,3A,G24Y41_exp3A,237,138,0
8,09_05_22,3,B,2,0,D2,D2,-0.00555,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,O8G10,3B,O8G10_exp3B,244,176,0
9,09_05_22,3,B,2,1,A3,A3,-0.00286,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,O8G8,3B,O8G8_exp3B,238,176,0
9,7_26_22,1,A,2,0,A3,A3,-0.00266,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G31Y83,1A,G31Y83_exp1A,150,13,0
9,7_26_22,1,A,2,1,A3,A3,-0.00738,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G31Y85,1A,G31Y85_exp1A,157,13,0
9,7_26_22,1,B,2,0,A3,A3,-0.00311,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G34Y10,1B,G34Y10_exp1B,164,45,0
9,7_26_22,1,B,2,1,A3,A3,-0.00507,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G34Y11,1B,G34Y11_exp1B,172,45,0
9,08_15_22,2,A,2,0,A3,A3,-0.00448,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G24Y43,2A,G24Y43_exp2A,186,74,0
10,08_15_22,2,A,2,1,B3,B3,-0.00635,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G24Y44,2A,G24Y44_exp2A,208,74,0
9,08_20_22,2,B,2,0,A3,A3,-0.00485,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G27Y58,2B,G27Y58_exp2B,208,107,0
10,08_20_22,2,B,2,1,B3,B3,-0.00465,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G27Y59,2B,G27Y59_exp2B,225,107,0
10,09_01_22,3,A,2,1,B3,B3,-0.00637,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G24Y43,3A,G24Y43_exp3A,239,138,0
9,09_01_22,3,A,2,0,A3,A3,-0.00401,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,G24Y44,3A,G24Y44_exp3A,230,138,0
9,09_05_22,3,B,2,0,A3,A3,-0.00495,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,1.5,20,S,S,O8G11,3B,O8G11_exp3B,249,176,0
10,7_26_22,1,A,2,1,B3,B3,-0.00382,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G28Y62,1A,G28Y62_exp1A,168,11,0
10,7_26_22,1,A,2,0,B3,B3,-0.00318,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G28Y63,1A,G28Y63_exp1A,150,11,0
10,7_26_22,1,B,2,0,B3,B3,-0.00348,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G23Y2820,1B,G23Y2820_exp1B,183,41,0
10,7_26_22,1,B,2,1,B3,B3,-0.00272,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G23Y5017,1B,G23Y5017_exp1B,165,41,0
10,08_15_22,2,A,2,0,B3,B3,-0.00304,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G33Y94,2A,G33Y94_exp2A,186,77,0
11,08_15_22,2,A,2,1,C3,C3,-0.00328,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G33Y97,2A,G33Y97_exp2A,227,77,0
10,08_20_22,2,B,2,0,B3,B3,-0.00154,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G26Y50,2B,G26Y50_exp2B,167,106,0
11,08_20_22,2,B,2,1,C3,C3,-0.00219,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G26Y51,2B,G26Y51_exp2B,196,106,0
11,09_01_22,3,A,2,1,C3,C3,-0.00407,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G33Y1,3A,G33Y1_exp3A,226,141,0
10,09_01_22,3,A,2,0,B3,B3,-0.00212,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,G33Y94,3A,G33Y94_exp3A,237,141,0
10,09_05_22,3,B,2,0,B3,B3,-0.00292,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,W5O29,3B,W5O29_exp3B,238,190,0
11,09_05_22,3,B,2,1,C3,C3,-0.00493,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,1.5,30,F,A,W5O30,3B,W5O30_exp3B,242,190,0
11,7_26_22,1,A,2,0,C3,C3,-0.00282,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,G28Y64,1A,G28Y64_exp1A,142,11,0
11,7_26_22,1,B,2,0,C3,C3,-0.00484,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,G23Y2129,1B,G23Y2129_exp1B,161,41,0
11,7_26_22,1,B,2,1,C3,C3,-0.00385,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,1.5,30,F,S,G23Y3130,1B,G23Y3130_exp1B,171,41,0
