date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,treat_ID_collapsed_controls,treat_ID_without_sym,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
06_22_22,06_24_22,157,U,157U,108,5,SYM,1,A,B30,G76,B30G76,1A,B30G76_exp1A,157,5,30,0.262,0.547,0.285,1.08778626,-1.255266099,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_22_22,06_24_22,160,F,160F,110,4,APO,1,B,B22,G27,B22G27,1B,B22G27_exp1B,160,34,20,0.196,0.345,0.149,0.760204082,-1.903808973,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,169,J,169J,116,14,APO,1,B,B22,G28,B22G28,1B,B22G28_exp1B,169,34,20,0.211,0.349,0.138,0.654028436,-1.980501594,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,183,A,183A,125,6,APO,1,B,B22,G29,B22G29,1B,B22G29_exp1B,183,34,20,0.17,0.383,0.213,1.252941176,-1.546463113,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_22_22,06_24_22,160,C,160C,110,1,SYM,1,B,B22,G30,B22G30,1B,B22G30_exp1B,160,34,20,0.422,0.565,0.143,0.338862559,-1.944910649,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,06_30_22,171,P,171P,119,5,SYM,1,B,B22,G31,B22G31,1B,B22G31_exp1B,171,34,20,0.384,0.58,0.196,0.510416667,-1.62964062,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_22_22,06_25_22,166,D,166D,112,14,APO,1,B,B23,G33,B23G33,1B,B23G33_exp1B,166,35,20,0.244,0.367,0.123,0.504098361,-2.095570924,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,171,A,171A,118,6,APO,1,B,B23,G34,B23G34,1B,B23G34_exp1B,171,35,20,0.092,0.486,0.394,4.282608696,-0.93140437,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,184,B,184B,125,16,APO,1,B,B23,G35,B23G35,1B,B23G35_exp1B,184,35,20,0.368,0.537,0.169,0.45923913,-1.777856564,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_22_22,06_25_22,164,A,164A,111,13,SYM,1,B,B23,G36,B23G36,1B,B23G36_exp1B,164,35,20,0.405,0.333,-0.072,-0.177777778,-2.63108916,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,172,D,172D,120,3,SYM,1,B,B23,G37,B23G37,1B,B23G37_exp1B,172,35,20,0.395,0.423,0.028,0.070886076,-3.575550769,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_22_22,06_25_22,164,G,164G,112,3,APO,1,B,B29,G64,B29G64,1B,B29G64_exp1B,164,39,30,0.371,0.185,-0.186,-0.501347709,-1.682008605,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,170,G,170G,117,10,APO,1,B,B29,G65,B29G65,1B,B29G65_exp1B,170,39,30,0.348,0.342,-0.006,-0.017241379,-5.11599581,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,183,E,183E,125,10,APO,1,B,B29,G67,B29G67,1B,B29G67_exp1B,183,39,30,0.212,0.018,-0.194,-0.91509434,-1.63989712,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
