,date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state_full,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,resp_rate,resp_rate,col_num.1,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,treat_ID_collapsed_controls,treat_ID_without_sym,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
1,06_29_22,06_30_22,174,F,174F,121,6,SYM,2,B,B31,G79,B31G79,2B,B31G79_exp2B,NA,NA,174,101,30,0.529,0.453,-0.076,-0.143667297,-2.577021939,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
2,06_22_22,06_23_22,142,H,142H,97,8,SYM,1,A,B27,G55,B27G55,1A,B27G55_exp1A,NA,NA,142,4,30,0.44,0.569,0.129,0.293181818,-2.047942875,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
3,06_22_22,06_24_22,149,D,149D,101,3,APO,2,B,B14,G14,B14G14,2B,B14G14_exp2B,-0.00625,-0.00625,149,97,20,0.562,0.361,-0.201,-0.357651246,-1.604450371,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
4,08_01_22,8_06_22,257,E,257E,177,16,SYM,3,B,O2,B12,O2B12,3B,O2B12_exp3B,NA,NA,257,169,20,0.575,0.042,-0.533,-0.926956522,-0.629233855,N_0_20_S_A,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
5,06_29_22,06_30_22,172,H,172H,120,7,SYM,1,B,B32,G88,B32G88,1B,B32G88_exp1B,-0.00274,-0.00274,172,40,30,0.396,0.517,0.121,0.305555556,-2.111964733,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
6,06_29_22,06_30_22,172,D,172D,120,3,SYM,1,B,B23,G37,B23G37,1B,B23G37_exp1B,-0.00260,-0.00260,172,35,20,0.395,0.423,0.028,0.070886076,-3.575550769,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
7,08_01_22,08_03_22,241,A,241A,163,3,SYM,3,A,B22,G27,B22G27,3A,B22G27_exp3A,-0.00465,-0.00465,241,130,20,0.596,0.023,-0.573,-0.961409396,-0.556869562,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
8,06_29_22,06_30_22,171,A,171A,118,6,APO,1,B,B23,G34,B23G34,1B,B23G34_exp1B,NA,NA,171,35,20,0.092,0.486,0.394,4.282608696,-0.93140437,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
9,08_01_22,08_03_22,242,T,242T,166,1,APO,3,B,O1,B2,O1B2,3B,O1B2_exp3B,-0.00659,-0.00659,242,161,20,0.422,0.442,0.02,0.047393365,-3.912023005,N_0_20_F_S,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
10,06_29_22,07_01_22,206,E,206E,137,1,SYM,2,A,B13,G13,B13G13,2A,B13G13_exp2A,-0.00479,-0.00479,206,65,20,0.537,0.28,-0.257,-0.47858473,-1.358679194,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
11,06_22_22,06_25_22,162,F,162F,111,2,APO,1,A,B30,G72,B30G72,1A,B30G72_exp1A,-0.00244,-0.00244,162,5,30,0.17,0.306,0.136,0.8,-1.995100393,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
12,06_22_22,06_24_22,152,A,152A,103,2,SYM,1,A,B30,G74,B30G74,1A,B30G74_exp1A,NA,NA,152,5,30,0.338,0.463,0.125,0.369822485,-2.079441542,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
13,08_01_22,08_03_22,240,P,240P,162,10,SYM,3,A,B13,G13,B13G13,3A,B13G13_exp3A,-0.00913,-0.00913,240,129,20,0.491,0.343,-0.148,-0.301425662,-1.910543005,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
14,08_01_22,08_03_22,239,K,239K,160,15,SYM,3,A,B22,G31,B22G31,3A,B22G31_exp3A,-0.00819,-0.00819,239,130,20,0.571,0.02,-0.551,-0.96497373,-0.59602047,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
15,08_01_22,08_02_22,237,BB,237BB,157,8,APO,3,A,B22,G30,B22G30,3A,B22G30_exp3A,-0.00670,-0.00670,237,130,20,0.532,0.515,-0.017,-0.031954887,-4.074541935,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
16,06_22_22,06_24_22,153,M,153M,105,1,SYM,1,A,B14,G21,B14G21,1A,B14G21_exp1A,-0.00293,-0.00293,153,1,20,0.355,0.561,0.206,0.58028169,-1.57987911,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
17,06_22_22,06_24_22,157,N,157N,107,14,SYM,1,A,B15,G25,B15G25,1A,B15G25_exp1A,-0.00514,-0.00514,157,2,20,0.358,0.494,0.136,0.379888268,-1.995100393,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
18,08_01_22,08_02_22,237,J,237J,154,12,APO,3,A,B25,G44,B25G44,3A,B25G44_exp3A,-0.00464,-0.00464,237,133,30,0.303,0.485,0.182,0.600660066,-1.703748592,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
19,08_01_22,08_02_22,237,E,237E,154,7,APO,3,A,B13,G3,B13G3,3A,B13G3_exp3A,NA,NA,237,129,20,0.496,0.342,-0.154,-0.310483871,-1.870802677,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
20,06_29_22,06_30_22,183,A,183A,125,6,APO,1,B,B22,G29,B22G29,1B,B22G29_exp1B,-0.00306,-0.00306,183,34,20,0.17,0.383,0.213,1.252941176,-1.546463113,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
21,08_01_22,8_06_22,256,G,256G,177,9,SYM,3,B,W1,O5,W1O5,3B,W1O5_exp3B,NA,NA,256,177,30,0.013,0.449,0.436,33.53846154,-0.830113036,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
