"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"0","0.0144049748629923","-0.160539969485626","-0.0532336230319155","-0.0791011012760977","-0.119272188133088","-0.102398565167394","-0.171212114828289","-0.0632785966455399","-0.085099628685907","-0.0589714075501747","-0.0959410105874749","-0.0414777184985598","-0.102927682076157","-0.050906681202158","-0.0838905228687751","-0.117606350250798","-0.0774986337459492","-0.144353420763459","-0.0828558541386212","-0.704210626151912","-0.375703826021761","-0.647974813473567","NA"
