"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"-0.000914033906799566","0","-0.0571640253411163","-0.128099237621008","-0.0660417577788568","-0.0743662187094629","-0.135918089904662","-0.394076957504946","-0.110002580859397","-0.060803232658272","-0.0694978771620666","-0.101599586534518","-0.0407054168697677","-0.105514306815791","-0.0780280335372963","-0.10710921051569","-0.07947184203006","-0.0697354901228417","-0.0767129037345642","-0.0905999943105661","-0.115439920359388","-0.653902347774007","-0.673201282353818","NA"
