exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID,beetag,beetag_exp_concat,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_delta
1,B,A,5,A_5,30,F,S,F_S,A_5_30_F_S,G33Y1,G33Y1_exp1B,1,G33Y1_day1_exp1B,G33Y100_1B_day1.JPG,0.56963,G33Y1_day11_exp1B,G33Y100_1B_day11.JPG,0.57779,0.00816
1,A,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,G25Y48,G25Y48_exp1A,1,G25Y48_day1_exp1A,G25Y48_1A_day1.JPG,0.54739,G25Y48_day11_exp1A,G25Y48_1A_day11.JPG,0.56614,0.01875
1,B,A,5,A_5,30,F,A,F_A,A_5_30_F_A,G33Y95,G33Y95_exp1B,1,G33Y95_day1_exp1B,G33Y95_1B_day1.JPG,0.45856,G33Y95_day11_exp1B,G33Y95_1B_day11.JPG,0.56433,0.10577
1,A,A,5,A_5,30,F,A,F_A,A_5_30_F_A,G32Y88,G32Y88_exp1A,1,G32Y88_day1_exp1A,G32Y88_1A_day1.JPG,0.54249,G32Y88_day11_exp1A,G32Y88_1A_day11.JPG,0.56175,0.01926
1,B,A,5,A_5,30,F,S,F_S,A_5_30_F_S,G33Y100,G33Y100_exp1B,1,G33Y100_day1_exp1B,G33Y1_1B_day1.JPG,0.51585,G33Y100_day11_exp1B,G33Y1_1B_day11.JPG,0.56026,0.04441
2,A,N,5,N_5,30,F,A,F_A,N_5_30_F_A,Y12B63,Y12B63_exp2A,1,Y12B63_day1_exp2A,Y12B63_2A_day1.JPG,0.37987,Y12B63_day11_exp2A,Y12B63_2A_day11.JPG,0.55721,0.17734
2,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,G26Y54,G26Y54_exp2B,1,G26Y54_day1_exp2B,G26Y54_2B_day1.JPG,0.53932,G26Y54_day11_exp2B,G26Y54_2B_day11.JPG,0.55679,0.01747
2,A,N,5,N_5,30,F,S,F_S,N_5_30_F_S,Y12B65,Y12B65_exp2A,1,Y12B65_day1_exp2A,Y12B65_2A_day1.JPG,0.50342,Y12B65_day11_exp2A,Y12B65_2A_day11.JPG,0.55571,0.05229
1,A,A,10,A_10,30,F,S,F_S,A_10_30_F_S,R12W60,R12W60_exp1A,1,R12W60_day1_exp1A,G37Y33_1A_day1.JPG,0.5002,R12W60_day11_exp1A,R12W60_1A_day11.JPG,0.55502,0.05482
1,B,A,5,A_5,30,S,S,S_S,A_5_30_S_S,Y12B65,Y12B65_exp1B,1,Y12B65_day1_exp1B,Y12B65_1B_day1.JPG,0.50261,Y12B65_day11_exp1B,Y12B65_1B_day11.JPG,0.55469,0.05208
2,A,N,5,N_5,20,S,A,S_A,N_5_20_S_A,Y4B31,Y4B31_exp2A,1,Y4B31_day1_exp2A,Y4B31_2A_day1.JPG,0.47659,Y4B31_day11_exp2A,Y4B31_2A_day11.JPG,0.55206,0.07547
1,B,A,7.5,A_7.5,30,F,S,F_S,A_7.5_30_F_S,Y3B28,Y3B28_exp1B,1,Y3B28_day1_exp1B,Y3B28_1B_day1.JPG,0.53557,Y3B28_day11_exp1B,Y3B28_1B_day11.JPG,0.55176,0.01619
2,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,G28Y65,G28Y65_exp2B,1,G28Y65_day1_exp2B,G28Y65_2B_day1.JPG,0.54165,G28Y65_day11_exp2B,G28Y65_2B_day11.JPG,0.55027,0.00862
2,B,A,10,A_10,30,S,S,S_S,A_10_30_S_S,R20W92,R20W92_exp2B,1,R20W92_day1_exp2B,R20W92_2B_day1.JPG,0.54156,R20W92_day11_exp2B,R20W92_2B_day11.JPG,0.54998,0.00842
1,A,A,5,A_5,30,F,S,F_S,A_5_30_F_S,G32Y92,G32Y92_exp1A,1,G32Y92_day1_exp1A,G32Y92_1A_day1.JPG,0.60385,G32Y92_day11_exp1A,G32Y92_1A_day11.JPG,0.54613,-0.05772
2,A,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,G23Y2129,G23Y2129_exp2A,1,G23Y2129_day1_exp2A,G23Y2129_2A_day1.JPG,0.46943,G23Y2820_day11_exp2A,G23Y20_2A_day11.JPG,0.54178,0.07235
2,A,N,0,N_0,30,S,S,S_S,CNTRL_30_S_S,B26G52,B26G52_exp2A,1,B26G52_day1_exp2A,B26G52_2A_day1.JPG,0.44313,B26G52_day11_exp2A,B26G52_2A_day11.JPG,0.53961,0.09648
3,B,N,0,N_0,20,S,S,S_S,CNTRL_20_S_S,O22W48,O22W48_exp3B,1,O22W48_day1_exp3B,O22W48_3B_day1.JPG,0.46767,O22W48_day11_exp3B,O22W48_3B_day11.JPG,0.53906,0.07139
2,B,N,0,N_0,30,S,A,S_A,CNTRL_30_S_A,B32G83,B32G83_exp2B,1,B32G83_day1_exp2B,B32G83_2B_day1.JPG,0.58285,B32G83_day11_exp2B,B32G83_2B_day11.JPG,0.53902,-0.04383
1,B,N,0,N_0,30,S,S,S_S,CNTRL_30_S_S,B32G87,B32G87_exp1B,1,B32G87_day1_exp1B,B32G87_1B_day1.JPG,0.49733,B32G87_day11_exp1B,B32G87_1B_day11.JPG,0.53835,0.04102
