beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
G31Y83_exp1A,-0.00266,-0.04487,0.15,N_1.5_20_S,1.5,20,S,0,150
G27Y58_exp2B,-0.00485,-0.02879,-0.319,N_1.5_20_S,1.5,20,S,0,208
O8G10_exp3B,-0.00555,0.0236,-0.083,N_1.5_20_S,1.5,20,S,0,244
G24Y43_exp2A,-0.00448,-0.03781,-0.265,N_1.5_20_S,1.5,20,S,0,186
G23Y2820_exp1B,-0.00348,0.04499,-0.144,N_1.5_30_A,1.5,30,A,0,183
G28Y63_exp1A,-0.00318,0.10239,0.039,N_1.5_30_A,1.5,30,A,0,150
G33Y94_exp2A,-0.00304,0.05456,-0.206,N_1.5_30_A,1.5,30,A,0,186
G33Y94_exp3A,-0.00212,0.06308,0.003,N_1.5_30_A,1.5,30,A,0,237
W5O29_exp3B,-0.00292,0.02352,0.131,N_1.5_30_A,1.5,30,A,0,238
G26Y54_exp2B,-0.00222,0.01747,0.01,N_1.5_30_S,1.5,30,S,0,223
G23Y2129_exp1B,-0.00484,0.06342,-0.23,N_1.5_30_S,1.5,30,S,0,161
W5O27_exp3B,-0.00575,0.01878,0.21,N_1.5_30_S,1.5,30,S,0,246
G33Y97_exp3A,-0.00521,0.02212,-0.024,N_1.5_30_S,1.5,30,S,0,239
G28Y64_exp1A,-0.00282,-0.11505,0.211,N_1.5_30_S,1.5,30,S,0,142
G26Y50_exp2B,-0.00154,-0.06816,-0.209,N_1.5_30_S,1.5,30,S,0,167
G33Y1_exp2A,-0.00144,-0.00712,-0.304,N_1.5_30_S,1.5,30,S,0,206
G34Y3_exp2A,-0.00214,0.1268,0.101,N_1.5_30_A,1.5,30,A,0,193
G28Y62_exp2B,-0.00391,0.05377,-0.063,N_1.5_30_A,1.5,30,A,0,170
G24Y40_exp1B,-0.00344,0.05687,0.074,N_1.5_30_A,1.5,30,A,0,166
G25Y45_exp1A,-0.00185,0.02445,0.215,N_1.5_30_A,1.5,30,A,0,162
G25Y47_exp1A,-0.00341,-0.00816,-0.214,N_1.5_30_S,1.5,30,S,0,152
G24Y43_exp1B,-0.00358,0.035,-0.096,N_1.5_30_S,1.5,30,S,0,165
W7O34_exp3B,-0.00196,-0.01862,-0.474,N_1.5_30_S,1.5,30,S,0,252
G34Y10_exp2A,-0.00206,-0.03479,-0.135,N_1.5_30_S,1.5,30,S,0,198
G28Y64_exp2B,-0.00289,0.00258,-0.162,N_1.5_30_S,1.5,30,S,0,188
G34Y10_exp3A,-0.00452,-0.07445,-0.045,N_1.5_30_S,1.5,30,S,0,239
R1W3_exp2A,-0.00261,0.09867,-0.416,N_18_20_A,18,20,A,0,174
R3W10_exp1A,-0.00265,0.19397,0.165,N_18_20_A,18,20,A,0,150
R10W45_exp1B,-0.00568,0.02914,0.212,N_18_20_A,18,20,A,0,163
R3W10_exp2B,-0.00422,0.00701,-0.037,N_18_20_A,18,20,A,0,194
R3W12_exp2B,-0.00533,0.00429,0.018,N_18_20_S,18,20,S,0,205
R10W48_exp1B,-0.00462,-0.00207,0.148,N_18_20_S,18,20,S,0,161
R3W12_exp1A,-0.00661,-0.10435,-0.012,N_18_20_S,18,20,S,0,147
R1W2_exp2A,-0.00321,-0.09244,-0.496,N_18_20_S,18,20,S,0,206
R4W14_exp2B,-0.00411,-0.04708,-0.432,N_18_20_A,18,20,A,0,170
R10W45_exp2A,-0.00224,-0.01739,-0.391,N_18_20_A,18,20,A,0,192
R11W51_exp1B,-0.00233,0.03051,0.215,N_18_20_A,18,20,A,0,171
R5W21_exp1A,-0.00419,-0.00745,0.057,N_18_20_A,18,20,A,0,162
R10W48_exp2A,-0.00295,0.0914,0.304,N_18_20_S,18,20,S,0,193
R5W26_exp1A,-0.00531,-0.04776,0.054,N_18_20_S,18,20,S,0,154
R4W17_exp2B,-0.00626,0.11765,-0.213,N_18_20_S,18,20,S,0,188
R11W53_exp1B,-0.00468,-0.01111,0.108,N_18_20_S,18,20,S,0,164
R14W71_exp2A,-0.00214,0.04196,0.345,N_18_30_A,18,30,A,0,202
R21W94_exp1B,-0.00414,0.02341,0.148,N_18_30_A,18,30,A,0,166
R4W15_exp1A,-0.00183,-0.00676,-0.057,N_18_30_A,18,30,A,0,150
W15O67_exp3B,-0.00938,-0.13622,0.39,N_18_30_A,18,30,A,0,238
R14W70_exp3A,-0.00326,-0.01792,-0.034,N_18_30_A,18,30,A,0,227
R21W100_exp1B,-0.00329,0.03757,0.106,N_18_30_S,18,30,S,0,163
R14W73_exp2A,-0.00155,0.03699,-0.015,N_18_30_S,18,30,S,0,193
R7W37_exp2B,-0.00662,0.07121,-0.483,N_18_30_S,18,30,S,0,175
R4W17_exp1A,-0.00539,-0.0516,-0.299,N_18_30_S,18,30,S,0,142
R14W73_exp3A,-0.00229,0.00801,-0.052,N_18_30_S,18,30,S,0,239
R6W29_exp1A,-0.00434,0.19679,-0.019,N_18_30_A,18,30,A,0,151
R8W40_exp2B,-0.00519,-0.03692,0.002,N_18_30_A,18,30,A,0,170
W16O73_exp3B,-0.00668,-0.03594,-0.152,N_18_30_A,18,30,A,0,241
R15W76_exp3A,-0.00268,-0.03042,-0.064,N_18_30_A,18,30,A,0,237
R15W75_exp2A,-0.00328,0.00046,-0.006,N_18_30_A,18,30,A,0,194
R15W78_exp2A,-0.00191,0.07299,-0.209,N_18_30_S,18,30,S,0,193
R17W84_exp1B,NA,-0.01399,0.094,N_18_30_S,18,30,S,0,166
R15W78_exp3A,-0.00574,0.057,-0.504,N_18_30_S,18,30,S,0,239
R8W43_exp2B,-0.0097,-0.05261,-0.153,N_18_30_S,18,30,S,0,209
W16O75_exp3B,NA,-0.01962,-0.422,N_18_30_S,18,30,S,0,247
R6W30_exp1A,-0.00423,-0.24059,0.048,N_18_30_S,18,30,S,0,152
Y1B8_exp1A,-0.00573,0.09589,0.309,N_5_20_A,5,20,A,0,150
Y5B35_exp1B,-0.00524,0.01853,-0.076,N_5_20_A,5,20,A,0,160
Y3B26_exp2A,-0.00193,0.06247,0.157,N_5_20_A,5,20,A,0,199
O12Y1_exp3B,-0.00373,-0.05279,-0.009,N_5_20_A,5,20,A,0,238
Y1B5_exp2B,-0.00349,-0.01712,0.046,N_5_20_A,5,20,A,0,159
Y5B38_exp1B,-0.00654,-0.00084,0.153,N_5_20_S,5,20,S,0,161
Y1B10_exp2B,-0.00439,0.03393,0.095,N_5_20_S,5,20,S,0,171
Y3B28_exp2A,-0.00213,0.00314,-0.46,N_5_20_S,5,20,S,0,185
O12Y4_exp3B,-0.0023,0.06882,0.055,N_5_20_S,5,20,S,0,246
Y1B10_exp1A,-0.00462,0.02032,-0.064,N_5_20_S,5,20,S,0,142
Y13B70_exp1B,-0.00815,0.0277,0.243,N_5_20_A,5,20,A,0,166
Y10B51_exp1A,-0.00585,0.08875,-0.068,N_5_20_A,5,20,A,0,150
O13Y7_exp3B,-0.00635,-0.01591,0.166,N_5_20_A,5,20,A,0,238
Y4B30_exp2A,-0.0031,-0.07969,0.169,N_5_20_A,5,20,A,0,187
Y5B35_exp2B,-0.00245,0.00554,0.019,N_5_20_A,5,20,A,0,169
Y13B73_exp1B,-0.00357,0.04272,0.11,N_5_20_S,5,20,S,0,164
Y5B37_exp2B,-0.0044,-0.01739,-0.097,N_5_20_S,5,20,S,0,186
Y4B33_exp2A,-0.00333,0.02838,0.083,N_5_20_S,5,20,S,0,186
O13Y10_exp3B,-0.00717,0.02059,-0.025,N_5_20_S,5,20,S,0,249
Y10B53_exp1A,-0.00347,-0.05198,0.026,N_5_20_S,5,20,S,0,154
Y2B14_exp1A,-0.00332,-0.02557,0.334,N_5_30_A,5,30,A,0,150
