"e_coli_plate","N_species","N","resp_rate_abs","sd","se","ci"
"0","CNTRL",92,0.00422913043478261,0.00197822023028355,0.000206243716096713,0.00040967780589691
"0","N",126,0.00397928571428571,0.00173573185881757,0.000154631284071515,0.000306034502377092
"0","A",142,0.00422549295774648,0.00201472542784257,0.000169072002113181,0.000334243764823983
"1","CNTRL",94,0.00418329787234043,0.00161158399892367,0.000166222197662059,0.000330084341701866
"1","N",123,0.00458325203252033,0.00155575478278412,0.000140277684662507,0.000277693687512284
"1","A",136,0.00477647058823529,0.00212081414465426,0.000181858312579213,0.000359659780339669
