num,date,time,temp,light_intensity,chamber_or_temperate,exp_num,exp_A,exp_B
80,7/17/2022,1:43:50 AM,27.468,0,chamber,1,1,1
81,7/17/2022,2:13:50 AM,27.567,32.3,chamber,1,1,1
82,7/17/2022,2:43:50 AM,27.567,0,chamber,1,1,1
83,7/17/2022,3:13:50 AM,27.567,0,chamber,1,1,1
84,7/17/2022,3:43:50 AM,27.567,0,chamber,1,1,1
85,7/17/2022,4:13:50 AM,27.567,0,chamber,1,1,1
86,7/17/2022,4:43:50 AM,27.567,0,chamber,1,1,1
87,7/17/2022,5:13:50 AM,27.567,0,chamber,1,1,1
88,7/17/2022,5:43:50 AM,27.567,0,chamber,1,1,1
89,7/17/2022,6:13:50 AM,27.665,0,chamber,1,1,1
90,7/17/2022,6:43:50 AM,27.665,0,chamber,1,1,1
91,7/17/2022,7:13:50 AM,27.665,0,chamber,1,1,1
92,7/17/2022,7:43:50 AM,27.567,0,chamber,1,1,1
93,7/17/2022,8:13:50 AM,27.665,0,chamber,1,1,1
94,7/17/2022,8:43:50 AM,27.665,0,chamber,1,1,1
95,7/17/2022,9:13:50 AM,27.665,53.8,chamber,1,1,1
96,7/17/2022,9:43:50 AM,27.665,118.4,chamber,1,1,1
97,7/17/2022,10:13:50 AM,27.665,0,chamber,1,1,1
98,7/17/2022,10:43:50 AM,27.665,0,chamber,1,1,1
99,7/17/2022,11:13:50 AM,27.764,0,chamber,1,1,1
100,7/17/2022,11:43:50 AM,27.862,0,chamber,1,1,1
101,7/17/2022,12:13:50 PM,28.06,0,chamber,1,1,1
102,7/17/2022,12:43:50 PM,28.06,0,chamber,1,1,1
103,7/17/2022,1:13:50 PM,28.159,139.9,chamber,1,1,1
104,7/17/2022,1:43:50 PM,28.258,279.9,chamber,1,1,1
105,7/17/2022,2:13:50 PM,27.862,376.7,chamber,1,1,1
106,7/17/2022,2:43:50 PM,28.357,247.6,chamber,1,1,1
107,7/17/2022,3:13:50 PM,28.357,0,chamber,1,1,1
108,7/17/2022,3:43:50 PM,28.357,107.6,chamber,1,1,1
109,7/17/2022,4:13:50 PM,28.357,107.6,chamber,1,1,1
110,7/17/2022,4:43:50 PM,28.357,269.1,chamber,1,1,1
111,7/17/2022,5:13:50 PM,28.357,269.1,chamber,1,1,1
112,7/17/2022,5:43:50 PM,28.357,269.1,chamber,1,1,1
113,7/17/2022,6:13:50 PM,28.357,269.1,chamber,1,1,1
114,7/17/2022,6:43:50 PM,28.357,269.1,chamber,1,1,1
115,7/17/2022,7:13:50 PM,28.357,96.9,chamber,1,1,1
116,7/17/2022,7:43:50 PM,28.258,0,chamber,1,1,1
117,7/17/2022,8:13:50 PM,28.159,96.9,chamber,1,1,1
118,7/17/2022,8:43:50 PM,28.06,0,chamber,1,1,1
119,7/17/2022,9:13:50 PM,28.06,0,chamber,1,1,1
120,7/17/2022,9:43:50 PM,27.961,0,chamber,1,1,1
121,7/17/2022,10:13:50 PM,27.961,0,chamber,1,1,1
122,7/17/2022,10:43:50 PM,27.961,0,chamber,1,1,1
123,7/17/2022,11:13:50 PM,27.961,0,chamber,1,1,1
124,7/17/2022,11:43:50 PM,27.862,0,chamber,1,1,1
125,7/18/2022,12:13:50 AM,28.06,0,chamber,1,1,1
126,7/18/2022,12:43:50 AM,27.862,0,chamber,1,1,1
127,7/18/2022,1:13:50 AM,27.961,0,chamber,1,1,1
128,7/18/2022,1:43:50 AM,27.961,0,chamber,1,1,1
129,7/18/2022,2:13:50 AM,27.961,0,chamber,1,1,1
130,7/18/2022,2:43:50 AM,27.961,0,chamber,1,1,1
131,7/18/2022,3:13:50 AM,27.961,0,chamber,1,1,1
132,7/18/2022,3:43:50 AM,27.961,0,chamber,1,1,1
133,7/18/2022,4:13:50 AM,27.961,0,chamber,1,1,1
134,7/18/2022,4:43:50 AM,27.961,0,chamber,1,1,1
135,7/18/2022,5:13:50 AM,27.961,0,chamber,1,1,1
136,7/18/2022,5:43:50 AM,27.961,0,chamber,1,1,1
137,7/18/2022,6:13:50 AM,28.06,0,chamber,1,1,1
138,7/18/2022,6:43:50 AM,27.961,0,chamber,1,1,1
139,7/18/2022,7:13:50 AM,28.06,0,chamber,1,1,1
140,7/18/2022,7:43:50 AM,28.06,0,chamber,1,1,1
141,7/18/2022,8:13:50 AM,28.06,96.9,chamber,1,1,1
142,7/18/2022,8:43:50 AM,28.159,0,chamber,1,1,1
143,7/18/2022,9:13:50 AM,28.159,0,chamber,1,1,1
144,7/18/2022,9:43:50 AM,28.357,269.1,chamber,1,1,1
145,7/18/2022,10:13:50 AM,28.456,269.1,chamber,1,1,1
146,7/18/2022,10:43:50 AM,28.456,269.1,chamber,1,1,1
147,7/18/2022,11:13:50 AM,28.456,269.1,chamber,1,1,1
148,7/18/2022,11:43:50 AM,28.456,0,chamber,1,1,1
149,7/18/2022,12:13:50 PM,28.655,193.8,chamber,1,1,1
150,7/18/2022,12:43:50 PM,28.555,312.2,chamber,1,1,1
151,7/18/2022,1:13:50 PM,28.555,312.2,chamber,1,1,1
152,7/18/2022,1:43:50 PM,28.159,290.6,chamber,1,1,1
153,7/18/2022,2:13:50 PM,28.06,301.4,chamber,1,1,1
154,7/18/2022,2:43:50 PM,27.961,322.9,chamber,1,1,1
155,7/18/2022,3:13:50 PM,27.764,344.4,chamber,1,1,1
156,7/18/2022,3:43:50 PM,28.258,269.1,chamber,1,1,1
157,7/18/2022,4:13:50 PM,28.655,0,chamber,1,1,1
158,7/18/2022,4:43:50 PM,28.754,269.1,chamber,1,1,1
159,7/18/2022,5:13:50 PM,28.853,107.6,chamber,1,1,1
160,7/18/2022,5:43:50 PM,28.953,269.1,chamber,1,1,1
161,7/18/2022,6:13:50 PM,29.053,269.1,chamber,1,1,1
162,7/18/2022,6:43:50 PM,29.053,269.1,chamber,1,1,1
163,7/18/2022,7:13:50 PM,29.053,96.9,chamber,1,1,1
164,7/18/2022,7:43:50 PM,28.953,0,chamber,1,1,1
165,7/18/2022,8:13:50 PM,28.953,96.9,chamber,1,1,1
166,7/18/2022,8:43:50 PM,28.853,0,chamber,1,1,1
167,7/18/2022,9:13:50 PM,28.853,0,chamber,1,1,1
168,7/18/2022,9:43:50 PM,28.853,0,chamber,1,1,1
169,7/18/2022,10:13:50 PM,28.853,0,chamber,1,1,1
170,7/18/2022,10:43:50 PM,28.853,0,chamber,1,1,1
171,7/18/2022,11:13:50 PM,28.853,0,chamber,1,1,1
172,7/18/2022,11:43:50 PM,28.853,0,chamber,1,1,1
173,7/19/2022,12:13:50 AM,28.853,0,chamber,1,1,1
174,7/19/2022,12:43:50 AM,28.853,0,chamber,1,1,1
175,7/19/2022,1:13:50 AM,28.853,0,chamber,1,1,1
176,7/19/2022,1:43:50 AM,28.853,0,chamber,1,1,1
177,7/19/2022,2:13:50 AM,28.853,0,chamber,1,1,1
178,7/19/2022,2:43:50 AM,28.853,0,chamber,1,1,1
179,7/19/2022,3:13:50 AM,28.853,0,chamber,1,1,1
180,7/19/2022,3:43:50 AM,28.853,0,chamber,1,1,1
181,7/19/2022,4:13:50 AM,28.853,0,chamber,1,1,1
182,7/19/2022,4:43:50 AM,28.953,0,chamber,1,1,1
183,7/19/2022,5:13:50 AM,28.953,0,chamber,1,1,1
184,7/19/2022,5:43:50 AM,28.953,0,chamber,1,1,1
185,7/19/2022,6:13:50 AM,28.953,0,chamber,1,1,1
186,7/19/2022,6:43:50 AM,28.853,0,chamber,1,1,1
187,7/19/2022,7:13:50 AM,28.953,0,chamber,1,1,1
188,7/19/2022,7:43:50 AM,28.953,0,chamber,1,1,1
189,7/19/2022,8:13:50 AM,28.953,96.9,chamber,1,1,1
190,7/19/2022,8:43:50 AM,29.053,96.9,chamber,1,1,1
191,7/19/2022,9:13:50 AM,29.053,96.9,chamber,1,1,1
192,7/19/2022,9:43:50 AM,29.152,107.6,chamber,1,1,1
193,7/19/2022,10:13:50 AM,29.252,269.1,chamber,1,1,1
194,7/19/2022,10:43:50 AM,29.252,269.1,chamber,1,1,1
