num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
14,7_26_22,1,B,1,1,B4,B4,-0.00228,-0.109507129,0.109507129,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B23G35,1B,B23G35_exp1B,184,35,0
14,08_15_22,2,A,1,1,B4,B4,-0.00715,-0.116935334,0.116935334,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B22G30,2A,B22G30_exp2A,228,66,0
13,08_20_22,2,B,1,0,A4,A4,-0.00207,-0.06793794,0.06793794,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B15G22,2B,B15G22_exp2B,169,98,0
14,08_20_22,2,B,1,1,B4,B4,-0.00794,-0.181184453,0.181184453,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B15G23,2B,B15G23_exp2B,203,98,0
14,09_01_22,3,A,1,1,B4,B4,-0.00347,-0.11142044,0.11142044,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B22G29,3A,B22G29_exp3A,237,130,0
13,09_01_22,3,A,1,0,A4,A4,-0.0067,-0.105758245,0.105758245,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B22G30,3A,B22G30_exp3A,237,130,0
13,09_05_22,3,B,1,0,A4,A4,-0.00536,-0.05076774,0.05076774,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,O2B7,3B,O2B7_exp3B,238,169,0
14,09_05_22,3,B,1,1,B4,B4,-0.00384,-0.064425297,0.064425297,N_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,O2B8,3B,O2B8_exp3B,242,169,0
14,7_26_22,1,A,1,0,B4,B4,-0.00224,-0.072682676,0.072682676,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B15G24,1A,B15G24_exp1A,149,2,0
15,7_26_22,1,A,1,1,C4,C4,-0.00514,-0.1082725,0.1082725,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B15G25,1A,B15G25_exp1A,157,2,0
14,7_26_22,1,B,1,0,B4,B4,-0.00201,-0.071908984,0.071908984,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B23G36,1B,B23G36_exp1B,164,35,0
15,7_26_22,1,B,1,1,C4,C4,-0.0026,-0.094563374,0.094563374,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B23G37,1B,B23G37_exp1B,172,35,0
14,08_15_22,2,A,1,0,B4,B4,-0.00946,-0.21608207,0.21608207,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B22G27,2A,B22G27_exp2A,207,66,0
15,08_15_22,2,A,1,1,C4,C4,-0.00675,-0.088015865,0.088015865,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B22G31,2A,B22G31_exp2A,186,66,0
14,08_20_22,2,B,1,0,B4,B4,-0.00173,-0.040495931,0.040495931,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B15G24,2B,B15G24_exp2B,180,98,0
15,08_20_22,2,B,1,1,C4,C4,-0.00487,-0.118783515,0.118783515,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B15G25,2B,B15G25_exp2B,208,98,0
15,09_01_22,3,A,1,1,C4,C4,-0.00465,-0.087499499,0.087499499,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B22G27,3A,B22G27_exp3A,241,130,0
14,09_01_22,3,A,1,0,B4,B4,-0.00819,-0.111617353,0.111617353,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B22G31,3A,B22G31_exp3A,239,130,0
14,09_05_22,3,B,1,0,B4,B4,-0.00442,-0.041616112,0.041616112,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,O2B10,3B,O2B10_exp3B,249,169,0
15,09_05_22,3,B,1,1,C4,C4,-0.0052,-0.06259847,0.06259847,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,O2B11,3B,O2B11_exp3B,252,169,0
16,7_26_22,1,A,1,1,D4,D4,-0.00303,-0.07143839,0.07143839,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B27G53,1A,B27G53_exp1A,168,4,0
15,7_26_22,1,A,1,0,C4,C4,-0.0044,-0.041588441,0.041588441,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B27G54,1A,B27G54_exp1A,150,4,0
15,7_26_22,1,B,1,0,C4,C4,-0.00138,-0.051749498,0.051749498,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B29G64,1B,B29G64_exp1B,164,39,0
16,7_26_22,1,B,1,1,D4,D4,-0.00445,-0.097586569,0.097586569,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B29G67,1B,B29G67_exp1B,183,39,0
15,08_15_22,2,A,1,0,C4,C4,-0.00362,-0.073999178,0.073999178,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B25G43,2A,B25G43_exp2A,174,69,0
16,08_15_22,2,A,1,1,D4,D4,-0.00347,-0.079647971,0.079647971,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B25G45,2A,B25G45_exp2A,226,69,0
15,08_20_22,2,B,1,0,C4,C4,-0.00387,-0.072618821,0.072618821,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B31G77,2B,B31G77_exp2B,167,101,0
16,08_20_22,2,B,1,1,D4,D4,-0.00401,-0.083731247,0.083731247,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B31G78,2B,B31G78_exp2B,195,101,0
