,beetag,exprun,n_species,col_num,beetag_exprun,treat_ID_full,treat_ID_dose_temp_food,NO3_mean_observed,NH4_mean_observed,N_species_dose,temp,food,sym_state,red_day1,green_day1,blue_day1,red_day11,green_day11,blue_day11,red_delta,red_percent_change,NO3_category
570,B23G33,exp1B,Nitrate,166,B23G33_exp1B,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,170.6036884,172.5115969,156.3400117,160.2745897,163.8689233,136.6751433,-10.32909872,-6.054440449,Low
16,B23G33,exp2A,Ammonium,194,B23G33_exp2A,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,105.7294007,105.7906385,79.57652123,121.2732169,126.8081966,100.5896048,15.54381628,14.70150799,Low
43,B23G33,exp3A,Ammonium,234,B23G33_exp3A,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,219.6110746,231.9736078,184.940476,228.6108604,244.1747572,206.9914488,8.999785822,4.098056456,Low
577,B23G34,exp1B,Nitrate,171,B23G34_exp1B,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,192.8477472,179.8252975,163.4514323,177.2422032,149.7749909,125.8948813,-15.60554392,-8.09215775,Low
50,B23G34,exp2A,Ammonium,209,B23G34_exp2A,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,138.0263195,120.1773557,79.94108942,138.5431743,109.0692905,63.36505141,0.516854889,0.374461111,Low
31,B23G34,exp3A,Ammonium,237,B23G34_exp3A,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,153.9282399,169.2871516,129.735593,163.8307128,185.5635503,136.6897295,9.902472911,6.433174911,Low
555,B23G35,exp1B,Nitrate,184,B23G35_exp1B,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,168.5569116,166.9029053,140.2887789,167.531366,171.4493549,123.789661,-1.025545657,-0.608426938,Low
94,B23G35,exp2A,Ammonium,231,B23G35_exp2A,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,84.64386447,100.1550168,72.07880673,73.01158996,80.79500926,57.09946996,-11.63227451,-13.74260803,Low
67,B23G35,exp3A,Ammonium,237,B23G35_exp3A,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,174.409169,189.4780485,145.5906772,164.6267897,175.9410165,127.8417141,-9.782379302,-5.60886756,Low
109,B24G38,exp1A,Ammonium,152,B24G38_exp1A,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,212.9070155,197.1963429,161.3159069,163.8376547,127.9184447,85.406053,-49.06936079,-23.04731982,Low
91,B24G38,exp2A,Ammonium,197,B24G38_exp2A,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,65.72316908,31.85093467,20.65100998,57.44633149,35.3102598,23.0934706,-8.276837584,-12.59348522,Low
33,B24G38,exp3A,Ammonium,235,B24G38_exp3A,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,95.7702354,111.6428058,82.50450982,101.4750168,113.8946975,85.194453,5.704781402,5.95673737,Low
3,B24G39,exp1A,Ammonium,152,B24G39_exp1A,A_0_20_F_A,A_0_20_F,3.023,4.275,A_0,20,F,A,79.93756654,78.50064561,49.33211127,115.6215297,125.3842922,78.89601999,35.68396312,44.63979161,Low
86,B24G39,exp2A,Ammonium,210,B24G39_exp2A,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,185.741506,172.2985332,134.8551066,164.4985707,134.3322992,101.7774292,-21.24293531,-11.43682732,Low
78,B24G39,exp3A,Ammonium,237,B24G39_exp3A,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,197.6506118,215.0332609,182.3586281,181.3411356,204.3254082,180.9214204,-16.30947617,-8.251669966,Low
95,B24G40,exp2A,Ammonium,233,B24G40_exp2A,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,211.9265373,191.8042161,151.1611655,181.3994017,150.6750629,112.2953108,-30.52713557,-14.40458376,Low
93,B24G40,exp3A,Ammonium,237,B24G40_exp3A,A_0_20_S_A,A_0_20_S,1.605,5.6645,A_0,20,S,A,151.6008171,170.6877717,136.8278217,130.9193949,143.1796834,108.453,-20.68142217,-13.64202553,Low
12,B25G43,exp1B,Ammonium,169,B25G43_exp1B,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,141.019069,153.4041604,120.4483266,168.2846519,196.0073374,167.2720751,27.2655829,19.334678,Low
513,B25G43,exp2A,Nitrate,174,B25G43_exp2A,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,93.96177762,110.6485288,85.576735,109.0399786,128.1624762,101.641848,15.07820098,16.04716445,Low
519,B25G43,exp3A,Nitrate,226,B25G43_exp3A,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,152.5900576,135.2309017,98.21096574,169.3269396,155.232444,104.8119081,16.73688199,10.96852721,Low
19,B25G44,exp1B,Ammonium,181,B25G44_exp1B,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,164.7352369,174.2699321,140.6461822,183.9555612,206.8631657,166.3587184,19.22032428,11.66740319,Low
543,B25G44,exp2A,Nitrate,201,B25G44_exp2A,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,183.2451517,170.1511241,130.1055768,189.3298629,180.317484,136.3393493,6.08471126,3.320530559,Low
544,B25G44,exp3A,Nitrate,237,B25G44_exp3A,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,161.444143,172.9617335,145.8879942,166.6993538,176.2630506,138.437298,5.255210892,3.255126383,Low
42,B25G45,exp1B,Ammonium,187,B25G45_exp1B,A_0_30_S_A,A_0_30_S,2.871,12.99825,A_0,30,S,A,145.2893177,154.7371346,119.7995639,151.4466537,163.9468316,126.3389674,6.157335945,4.237982559,Low
504,B25G45,exp2A,Nitrate,226,B25G45_exp2A,N_0_30_F_A,N_0_30_F,1.5285,13.0625,N_0,30,F,A,118.5444912,77.70456611,40.23080533,145.4182097,105.9286537,67.97869155,26.87371845,22.66973199,Low
