"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"0.00830710146761674","0","-0.0819479409372001","-0.0536979841665533","-0.0692075060715035","-0.0618494823946902","-0.11239586268945","-0.0361668585179124","-0.0467424689206085","-0.0825488575353377","-0.173322842727475","-0.0980878232929069","-0.107738083824249","-0.108272499709668","-0.0714383902490183","-0.098439963036066","-0.0538191859832476","-0.117202826279171","-0.12661833233574","-0.0515044020478825","-0.118819361243876","-0.0881016727577122","-0.0592772137647218","NA"
