"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"0","-0.0286362089336286","-0.0558285377246071","-0.0754808339615024","-0.0580674040590701","-0.0600482985054245","-0.0521843990694578","-0.0462745517509045","-0.0761947712713586","-0.0485076006914342","-0.0341650246573934","-0.0458846468262939","-0.0390494283431959","-0.109400745115334","-0.0880528637770819","-0.087918456529723","-0.0549384577084693","-0.0830734595825237","-0.058328524280751","-0.0589126723826906","-0.0982417681577303","-0.06590732955614","-0.0893045340777025","NA"
