V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,NA
0.002969612,0,-0.110184548,-0.079092129,-0.063307962,-0.08295419,-0.077830158,-0.153604196,-0.064021807,-0.150336838,-0.201623781,-0.1197012,-0.158389381,-0.207948106,-0.126613527,-0.111574921,-0.118008154,-0.075586117,-0.146789783,-0.101985363,-0.067149643,-0.087885845,-0.093374609,NA
