row_number,exp_num,subrun,N_species,N_dose,temp,food,sym_state,treat_ID,beetag,image_day,beetag_day_concat,image_name,beetag_exprun_day,CoralR,CoralG,CoralB,RedR,RedG,RedB,GreenR,GreenG,GreenB,BlueR,BlueG,BlueB,Red,Green,Blue,QC_or_no
317,1,A,N,5,20,S,S,N_5_20_S_S,Y10B53,11,Y10B53_day11,Y10B53_1A_day11.JPG,Y10B53_exp1A_day11,118.6096,53.85755,36.00908,210.3882,22.47675,35.14112,109.1892,169.5266,45.24222,151.399,177.2627,197.2388,0.41632,0.19622,0.063384,0
318,1,A,N,5,20,S,S,N_5_20_S_S,Y10B54,11,Y10B54_day11,Y10B54_1A_day11.JPG,Y10B54_exp1A_day11,139.5311,74.29122,40.86523,210.7304,32.2783,40.53781,113.9825,181.7059,59.87571,142.0692,176.2379,196.422,0.48563,0.30952,0.013471,0
319,1,A,N,5,30,S,A,N_5_30_S_A,Y14B75,11,Y14B75_day11,Y14B75_1A_day11.JPG,Y14B75_exp1A_day11,160.729,148.7104,127.6099,199.9287,18.8962,33.72404,98.86511,166.3751,55.92996,125.8441,158.5321,191.5871,0.2993,0.38148,0.50202,0
320,1,A,N,5,30,S,A,N_5_30_S_A,Y14B76,11,Y14B76_day11,Y14B76_1A_day11.JPG,Y14B76_exp1A_day11,97.4543,60.0796,35.7517,243.4085,47.57265,53.68015,119.149,190.3786,59.44196,168.4883,202.4289,229.4409,0.27262,0.20647,0.038547,0
321,1,A,N,5,30,S,S,N_5_30_S_S,Y14B77,11,Y14B77_day11,Y14B77_1A_day11.JPG,Y14B77_exp1A_day11,145.1035,94.36071,43.47101,213.6053,19.42167,30.38018,93.78414,152.5046,30.68712,144.7208,170.2355,193.66,0.41498,0.47137,0.084679,0
322,1,A,N,5,30,S,S,N_5_30_S_S,Y14B79,11,Y14B79_day11,Y14B79_1A_day11.JPG,Y14B79_exp1A_day11,165.5965,110.5634,67.38005,202.7466,21.50678,31.69517,102.146,165.0462,39.86229,137.7219,165.0662,191.6087,0.4783,0.42301,0.18453,0
323,1,A,N,5,30,S,S,N_5_30_S_S,Y14B87,11,Y14B87_day11,Y14B87_1A_day11.JPG,Y14B87_exp1A_day11,120.5179,69.26576,31.24522,237.4603,37.84708,44.74806,124.0684,187.0523,54.20983,162.2649,187.9387,212.536,0.35198,0.30365,-0.00455,0
324,1,A,N,5,20,F,S,N_5_20_F_S,Y1B10,11,Y1B10_day11,Y1B10_1A_day11.JPG,Y1B10_exp1A_day11,94.8984,34.6076,23.2587,240.7236,33.15846,42.51714,134.1752,183.5965,49.16229,164.979,178.921,190.2455,0.31786,0.1085,0.023181,0
325,1,A,N,5,20,F,S,N_5_20_F_S,Y1B11,11,Y1B11_day11,Y1B11_1A_day11.JPG,Y1B11_exp1A_day11,116.6015,56.63373,30.67446,229.7014,38.48587,45.73415,117.7474,182.3228,54.72374,159.4853,191.1506,216.2374,0.39029,0.22603,0.002107,0
326,1,A,N,5,20,F,S,N_5_20_F_S,Y1B12,11,Y1B12_day11,Y1B12_1A_day11.JPG,Y1B12_exp1A_day11,108.8098,55.0529,29.1616,224.5956,38.63635,47.20401,103.7606,168.9001,51.22328,139.3473,170.7639,193.9615,0.37433,0.24614,-0.00575,0
327,1,A,N,5,20,F,A,N_5_20_F_A,Y1B5,11,Y1B5_day11,Y1B5_1A_day11.JPG,Y1B5_exp1A_day11,173.6925,166.6439,146.6822,199.175,27.38694,43.78924,88.93654,156.318,59.6723,126.4495,168.5929,208.4807,0.34716,0.47021,0.49608,0
328,1,A,N,5,20,F,A,N_5_20_F_A,Y1B8,11,Y1B8_day11,Y1B8_1A_day11.JPG,Y1B8_exp1A_day11,163.305,128.5516,143.1081,196.6566,30.05001,55.16216,82.88138,160.4848,73.13292,123.0038,168.2493,223.6289,0.44542,0.24638,0.44949,0
329,1,A,N,5,30,F,A,N_5_30_F_A,Y2B13,11,Y2B13_day11,Y2B13_1A_day11.JPG,Y2B13_exp1A_day11,186.8006,165.6585,138.8634,200.6981,24.30647,36.25805,83.99076,157.454,50.45957,122.3,167.3264,202.907,0.43789,0.46265,0.49107,0
330,1,A,N,5,30,F,A,N_5_30_F_A,Y2B14,11,Y2B14_day11,Y2B14_1A_day11.JPG,Y2B14_exp1A_day11,167.8889,141.0482,120.7876,197.1149,17.87319,27.93182,88.43205,156.8027,42.20902,128.1929,164.7714,200.3303,0.38291,0.35757,0.47422,0
331,1,A,N,5,30,F,S,N_5_30_F_S,Y2B15,11,Y2B15_day11,Y2B15_1A_day11.JPG,Y2B15_exp1A_day11,137.2754,61.91067,31.38647,208.6569,13.3846,22.75103,94.71285,144.2015,19.73619,149.3834,168.8118,184.5166,0.46771,0.2907,0.081338,0
332,1,A,N,5,30,F,S,N_5_30_F_S,Y2B22,11,Y2B22_day11,Y2B22_1A_day11.JPG,Y2B22_exp1A_day11,110.8374,55.69473,28.35385,202.1717,17.63215,28.99656,97.60319,162.3271,39.44536,120.6199,148.031,177.742,0.39796,0.2678,0.035167,0
333,1,A,N,5,30,F,S,N_5_30_F_S,Y2B24,11,Y2B24_day11,Y2B24_1A_day11.JPG,Y2B24_exp1A_day11,114.8954,55.07636,18.54969,229.1201,32.50568,42.39637,109.68,172.3684,50.73578,155.343,184.7832,215.553,0.39504,0.31574,-0.06596,0
334,1,B,N,0,20,F,A,CNTRL_20_F_A,B22G27,11,B22G27_day11,B22G27_1B_day11.JPG,B22G27_exp1B_day11,147.9184,106.9286,84.19579,207.0512,25.02753,35.60592,96.7445,165.2378,48.8551,129.6018,168.5263,194.3921,0.39741,0.29505,0.28618,0
335,1,B,N,0,20,F,A,CNTRL_20_F_A,B22G28,11,B22G28_day11,B22G28_1B_day11.JPG,B22G28_exp1B_day11,131.3357,123.0648,85.24506,211.6253,26.40912,38.51416,100.562,171.3837,54.84383,133.3557,168.7418,202.4741,0.25646,0.42554,0.25697,0
336,1,B,N,0,20,F,A,CNTRL_20_F_A,B22G29,11,B22G29_day11,B22G29_1B_day11.JPG,B22G29_exp1B_day11,139.742,86.28534,68.38796,208.6111,24.72682,35.52416,98.78903,157.2165,36.69797,140.3841,170.7109,194.0067,0.4026,0.23005,0.23527,0
337,1,B,N,0,20,F,S,CNTRL_20_F_S,B22G30,11,B22G30_day11,B22G30_1B_day11.JPG,B22G30_exp1B_day11,121.694,47.14985,15.77471,221.2123,34.24553,45.41035,125.6471,189.3819,61.88868,139.9223,169.9719,195.7986,0.47085,0.26458,-0.11227,0
338,1,B,N,0,20,F,S,CNTRL_20_F_S,B22G31,11,B22G31_day11,B22G31_1B_day11.JPG,B22G31_exp1B_day11,120.3278,50.85638,31.55189,223.3582,36.89061,44.19263,106.6409,162.8464,47.75485,140.0496,169.1796,187.929,0.4346,0.19782,0.015426,0
339,1,B,N,0,20,S,A,CNTRL_20_S_A,B23G33,11,B23G33_day11,B23G33_1B_day11.JPG,B23G33_exp1B_day11,151.1434,125.7719,106.763,216.2171,34.3716,44.25251,95.56701,163.682,56.124,138.1325,179.446,213.1803,0.33708,0.31668,0.34747,0
340,1,B,N,0,20,S,A,CNTRL_20_S_A,B23G34,11,B23G34_day11,B23G34_1B_day11.JPG,B23G34_exp1B_day11,161.0807,102.6918,77.86752,206.0604,23.61367,32.69742,104.7477,161.1591,40.38424,134.399,161.9929,179.6532,0.45067,0.28157,0.28812,0
341,1,B,N,0,20,S,A,CNTRL_20_S_A,B23G35,11,B23G35_day11,B23G35_1B_day11.JPG,B23G35_exp1B_day11,151.509,107.5706,64.88209,207.8137,18.63152,34.41067,92.81899,146.9165,29.52233,121.0351,144.0618,167.2632,0.39157,0.46093,0.22599,0
342,1,B,N,0,20,S,S,CNTRL_20_S_S,B23G36,11,B23G36_day11,B23G36_1B_day11.JPG,B23G36_exp1B_day11,125.5057,58.23752,33.16903,195.7156,21.84134,31.32236,106.3441,171.0352,46.67135,132.9139,162.6252,187.2917,0.48416,0.24542,0.034971,0
343,1,B,N,0,20,S,S,CNTRL_20_S_S,B23G37,11,B23G37_day11,B23G37_1B_day11.JPG,B23G37_exp1B_day11,135.432,88.46422,44.99249,215.2278,32.39663,39.40576,103.28,164.4607,47.91683,130.0527,161.6455,189.1221,0.40249,0.40909,0.050388,0
344,1,B,N,0,30,F,A,CNTRL_30_F_A,B29G64,11,B29G64_day11,B29G64_1B_day11.JPG,B29G64_exp1B_day11,101.8628,82.64792,73.44593,195.607,24.0715,38.62578,80.5441,156.7009,51.72559,86.11561,130.7165,172.2323,0.29436,0.24224,0.28767,0
345,1,B,N,0,30,F,A,CNTRL_30_F_A,B29G65,11,B29G65_day11,B29G65_1B_day11.JPG,B29G65_exp1B_day11,169.3122,113.2538,90.80043,206.795,17.65099,26.30267,93.53134,158.6014,31.21774,110.8173,142.7427,169.5351,0.46657,0.29399,0.40906,0
346,1,B,N,0,30,F,A,CNTRL_30_F_A,B29G67,11,B29G67_day11,B29G67_1B_day11.JPG,B29G67_exp1B_day11,150.9802,88.36429,74.13754,199.525,21.12194,30.71866,95.07131,166.5769,43.12742,119.1687,155.7679,186.5893,0.49351,0.21984,0.26527,0
347,1,B,N,0,30,F,S,CNTRL_30_F_S,B29G70,11,B29G70_day11,B29G70_1B_day11.JPG,B29G70_exp1B_day11,138.7989,69.8127,45.20181,235.5816,31.4588,40.82677,120.1728,182.7623,53.67215,151.6803,180.7986,200.6763,0.42047,0.23308,0.077367,0
348,1,B,N,0,30,F,S,CNTRL_30_F_S,B29G71,11,B29G71_day11,B29G71_1B_day11.JPG,B29G71_exp1B_day11,109.1881,58.36705,36.80352,226.6837,37.64628,45.4417,101.7047,172.974,54.34266,144.0594,181.4996,209.7915,0.35835,0.21534,0.042029,0
349,1,B,N,0,30,S,A,CNTRL_30_S_A,B32G83,11,B32G83_day11,B32G83_1B_day11.JPG,B32G83_exp1B_day11,137.1039,81.1189,64.79979,188.4271,6.552009,16.32295,108.7007,172.2898,42.3898,130.3004,159.3984,185.8134,0.42375,0.21106,0.26336,0
350,1,B,N,0,30,S,A,CNTRL_30_S_A,B32G84,11,B32G84_day11,B32G84_1B_day11.JPG,B32G84_exp1B_day11,66.9358,40.6154,34.917,236.03,38.32041,50.39999,111.6742,180.3418,56.6978,158.8436,192.7332,219.7765,0.17896,0.084572,0.096018,0
351,1,B,N,0,30,S,A,CNTRL_30_S_A,B32G85,11,B32G85_day11,B32G85_1B_day11.JPG,B32G85_exp1B_day11,167.9774,158.1919,146.299,205.0333,23.72193,42.81187,86.89819,159.4715,56.80606,108.6307,147.6236,191.3689,0.34304,0.4196,0.56319,0
352,1,B,N,0,30,S,S,CNTRL_30_S_S,B32G87,11,B32G87_day11,B32G87_1B_day11.JPG,B32G87_exp1B_day11,178.5457,116.6663,84.40069,192.5527,13.36399,21.84876,104.6351,175.0236,48.50879,141.011,177.4848,205.6046,0.53835,0.35124,0.27042,0
353,1,B,N,0,30,S,S,CNTRL_30_S_S,B32G88,11,B32G88_day11,B32G88_1B_day11.JPG,B32G88_exp1B_day11,120.8774,74.11722,38.93892,196.3905,20.29598,33.42429,69.4278,142.9415,35.19405,104.2104,145.9749,180.1395,0.44508,0.39839,0.055743,0
354,1,B,N,1.5,30,F,A,N_1.5_30_F_A,G23Y5017,11,G23Y5017_day11,G23Y3130_1B_day11.JPG,G23Y5017_exp1B_day11,92.3711,41.4879,29.2748,221.4257,38.27643,43.72925,109.5528,173.4626,53.83292,144.1284,174.3522,200.939,0.32848,0.12605,0.040435,0
355,1,B,N,1.5,30,S,A,N_1.5_30_S_A,G24Y40,11,G24Y40_day11,G24Y40_1B_day11.JPG,G24Y40_exp1B_day11,157.3758,100.0562,72.13744,219.6964,17.40097,28.45725,102.3682,154.3414,26.90513,152.0281,170.8685,191.2412,0.38554,0.29698,0.27806,0
356,1,B,N,1.5,30,S,A,N_1.5_30_S_A,G24Y41,11,G24Y41_day11,G24Y41_1B_day11.JPG,G24Y41_exp1B_day11,149.9168,85.09891,60.65996,224.5022,31.78293,38.57235,110.1551,178.5586,46.63696,136.7843,171.0048,196.8059,0.45057,0.24032,0.16297,0
357,1,B,N,1.5,30,S,A,N_1.5_30_S_A,G24Y42,11,G24Y42_day11,G24Y42_1B_day11.JPG,G24Y42_exp1B_day11,144.3662,133.3907,112.5978,215.5831,21.68016,34.79383,101.3951,164.9896,47.62923,124.2906,157.1498,185.33,0.24271,0.31952,0.47987,0
358,1,B,N,1.5,30,S,S,N_1.5_30_S_S,G24Y43,11,G24Y43_day11,G24Y43_1B_day11.JPG,G24Y43_exp1B_day11,161.0011,93.96125,76.07825,210.7308,26.3759,35.50649,91.17366,160.6502,43.22183,134.3661,172.7587,200.2114,0.50608,0.24702,0.23691,0
359,1,B,N,1.5,30,S,S,N_1.5_30_S_S,G24Y44,11,G24Y44_day11,G24Y44_1B_day11.JPG,G24Y44_exp1B_day11,106.7388,44.9684,26.38401,227.3089,31.79684,37.87144,115.1283,177.5958,40.84832,154.0142,179.7321,195.7228,0.3698,0.15592,0.030707,0
360,1,B,N,1.5,20,F,A,N_1.5_20_F_A,G30Y75,11,G30Y75_day11,G30Y75_1B_day11.JPG,G30Y75_exp1B_day11,128.6278,90.17818,61.557,195.7066,15.05146,26.06392,86.25068,156.3008,40.27274,106.8685,143.9112,179.0427,0.39022,0.34698,0.20896,0
361,1,B,N,1.5,20,F,A,N_1.5_20_F_A,G30Y76,11,G30Y76_day11,G30Y76_1B_day11.JPG,G30Y76_exp1B_day11,135.9647,112.4506,93.97531,210.6098,28.17476,40.34774,78.04273,147.6991,34.44018,135.1414,173.629,205.3457,0.31425,0.29396,0.3466,0
362,1,B,N,1.5,20,F,A,N_1.5_20_F_A,G30Y77,11,G30Y77_day11,G30Y77_1B_day11.JPG,G30Y77_exp1B_day11,178.5044,133.6406,150.085,206.2204,30.72866,57.64152,57.59287,130.2381,42.57167,100.6318,142.7283,193.5886,0.51109,0.29339,0.55858,0
363,1,B,N,1.5,20,F,S,N_1.5_20_F_S,G30Y78,11,G30Y78_day11,G30Y78_1B_day11.JPG,G30Y78_exp1B_day11,188.8446,100.767,27.32423,200.6156,24.15727,30.15546,110.5245,173.81,46.57567,145.17,175.0107,198.6824,0.69288,0.59017,-0.10599,0
364,1,B,N,1.5,20,F,S,N_1.5_20_F_S,G30Y79,11,G30Y79_day11,G30Y79_1B_day11.JPG,G30Y79_exp1B_day11,150.8519,98.18726,73.11001,181.7839,12.92747,21.46179,74.5808,137.8803,25.56055,114.7321,147.6848,170.262,0.49576,0.32488,0.31813,0
365,1,B,N,1.5,20,S,S,N_1.5_20_S_S,G34Y10,11,G34Y10_day11,G34Y10_1B_day11.JPG,G34Y10_exp1B_day11,132.1924,84.64988,68.50201,237.5281,58.97992,65.59808,111.2981,186.9998,73.3223,163.6697,204.8561,235.3902,0.37858,0.1974,0.12402,1
366,1,B,N,1.5,20,S,S,N_1.5_20_S_S,G34Y11,11,G34Y11_day11,G34Y11_1B_day11.JPG,G34Y11_exp1B_day11,119.5377,65.43693,32.73477,210.4369,22.13319,32.40364,83.40427,149.4968,29.73717,110.0329,140.9661,166.7197,0.40974,0.32099,0.059456,0
367,1,B,N,1.5,20,S,A,N_1.5_20_S_A,G34Y3,11,G34Y3_day11,G34Y3_1B_day11.JPG,G34Y3_exp1B_day11,135.5958,92.94096,98.38101,206.784,31.8309,61.87573,100.6518,165.0539,81.69051,106.8061,141.8528,199.2956,0.39241,0.25917,0.26558,0
368,1,B,N,1.5,20,S,A,N_1.5_20_S_A,G34Y4,11,G34Y4_day11,G34Y4_1B_day11.JPG,G34Y4_exp1B_day11,151.7174,97.20654,78.34707,216.0448,33.89747,45.16377,103.6639,182.0692,71.44721,129.6734,176.6345,211.8147,0.46342,0.27445,0.1785,0
369,1,B,N,1.5,20,S,A,N_1.5_20_S_A,G34Y5,11,G34Y5_day11,G34Y5_1B_day11.JPG,G34Y5_exp1B_day11,130.5013,130.7575,115.3929,203.5971,34.38171,52.31146,60.89304,138.0901,40.63775,103.9325,151.0903,198.3226,0.3041,0.41548,0.4165,0
370,1,B,N,18,20,F,A,N_18_20_F_A,R10W45,11,R10W45_day11,R10W45_1B_day11.JPG,R10W45_exp1B_day11,164.2469,120.9909,64.39419,210.7262,28.71232,37.84915,99.63786,167.506,50.63021,97.26977,133.07,160.1971,0.46542,0.54819,0.11875,0
371,1,B,N,18,20,F,A,N_18_20_F_A,R10W46,11,R10W46_day11,R10W46_1B_day11.JPG,R10W46_exp1B_day11,122.4369,95.32726,63.11045,206.7757,19.49913,30.01604,95.75203,147.0868,28.07459,104.0699,125.7141,145.4818,0.27559,0.34656,0.31007,0
372,1,B,N,18,20,F,A,N_18_20_F_A,R10W47,11,R10W47_day11,R10W47_1B_day11.JPG,R10W47_exp1B_day11,156.6132,98.0656,80.47281,214.4618,27.8887,38.19385,101.431,164.3307,44.20104,127.0079,157.0657,182.1804,0.44301,0.24496,0.28941,0
373,1,B,N,18,20,F,S,N_18_20_F_S,R10W48,11,R10W48_day11,R10W48_1B_day11.JPG,R10W48_exp1B_day11,135.5541,82.86816,65.62023,220.0148,47.29664,54.32787,114.9095,169.0284,63.86169,142.7986,165.4666,183.9074,0.39523,0.21918,0.16395,1
374,1,B,N,18,20,F,S,N_18_20_F_S,R10W49,11,R10W49_day11,R10W49_1B_day11.JPG,R10W49_exp1B_day11,132.9325,75.39421,47.39503,220.8681,30.85576,41.74514,105.2119,170.6329,52.69196,136.2956,171.9003,194.0623,0.4169,0.29013,0.075769,0
375,1,B,N,18,20,S,A,N_18_20_S_A,R11W50,11,R11W50_day11,R11W50_1B_day11.JPG,R11W50_exp1B_day11,143.0927,80.27783,50.71322,210.8429,35.031,41.65479,94.92702,163.1616,49.56159,129.5144,166.9057,191.9014,0.49276,0.3062,0.078227,0
376,1,B,N,18,20,S,A,N_18_20_S_A,R11W51,11,R11W51_day11,R11W51_1B_day11.JPG,R11W51_exp1B_day11,158.6467,102.4326,86.55734,214.0602,23.13207,31.6915,107.654,158.1724,33.23628,156.4013,178.0963,195.3994,0.38705,0.20149,0.34593,0
377,1,B,N,18,20,S,A,N_18_20_S_A,R11W52,11,R11W52_day11,R11W52_1B_day11.JPG,R11W52_exp1B_day11,164.9643,155.0613,139.1965,193.3996,21.89668,35.49808,104.4881,173.0409,57.53807,136.7543,173.5365,202.5601,0.2989,0.30994,0.54677,0
378,1,B,N,18,20,S,S,N_18_20_S_S,R11W53,11,R11W53_day11,R11W53_1B_day11.JPG,R11W53_exp1B_day11,110.0001,55.03465,41.33391,236.0998,38.02544,45.10686,115.671,170.7603,46.256,156.1912,176.5347,197.6528,0.3283,0.14569,0.1001,0
379,1,B,N,18,20,S,S,N_18_20_S_S,R11W54,11,R11W54_day11,R11W54_1B_day11.JPG,R11W54_exp1B_day11,155.6865,105.0731,64.68966,221.6227,37.06105,45.14238,102.5249,168.9384,53.63543,140.6071,177.4034,200.1546,0.44256,0.40397,0.11513,0
380,1,B,N,18,30,S,A,N_18_30_S_A,R17W80,11,R17W80_day11,R17W80_1B_day11.JPG,R17W80_exp1B_day11,166.347,105.0772,82.74631,219.0995,29.86066,35.19494,107.0968,170.0403,40.73403,137.8365,167.2389,189.8146,0.45142,0.24369,0.29994,0
381,1,B,N,18,30,S,A,N_18_30_S_A,R17W82,11,R17W82_day11,R17W82_1B_day11.JPG,R17W82_exp1B_day11,149.4055,117.6533,96.22166,205.3558,15.41582,26.03039,92.50423,151.6194,27.88495,135.1658,163.137,186.7217,0.31816,0.28224,0.42882,0
