row_number,exp_num,subrun,N_species,N_dose,temp,food,sym_state,treat_ID,beetag,image_day,beetag_day_concat,image_name,beetag_exprun_day,CoralR,CoralG,CoralB,RedR,RedG,RedB,GreenR,GreenG,GreenB,BlueR,BlueG,BlueB,Red,Green,Blue,QC_or_no
1,2,A,N,1.5,20,F,S,N_1.5_20_F_S,G23Y3130,11,G23Y3130_day11,G23Y29_2A_day11.JPG,G23Y3130_exp2A_day11,82.3022,36.9092,23.8806,186.2784,16.66087,27.67015,92.12485,153.7897,44.68371,139.7568,175.403,202.4135,0.33425,0.16217,0.036487,1
2,2,A,N,1.5,30,F,S,N_1.5_30_F_S,G33Y1,1,G33Y1_day1,G33Y100_2A_day1.JPG,G33Y1_exp2A_day1,89.393,38.2741,29.7196,241.873,42.65133,55.90652,107.7922,175.0519,57.86574,139.8994,176.075,207.1096,0.3009,0.11502,0.030138,1
3,2,A,N,0,20,S,A,CNTRL_20_S_A,B22G29,11,B22G29_day11,B22G29_2A_day11.JPG,B22G29_exp2A_day11,95.0711,41.4268,24.4853,193.1038,24.47045,33.57531,97.07554,153.6743,42.25751,119.1405,145.4347,171.0143,0.38462,0.18834,0.021127,1
4,1,A,N,1.5,30,F,S,N_1.5_30_F_S,G28Y67,11,G28Y67_day11,G28Y67_1A_day11.JPG,G28Y67_exp1A_day11,95.2391,52.6832,32.3147,232.349,33.60002,40.60304,101.0061,165.855,41.2602,158.5628,191.2068,217.8792,0.28642,0.19211,0.058558,1
5,2,A,N,0,20,S,S,CNTRL_20_S_S,B22G27,11,B22G27_day11,B22G27_2A_day11.JPG,B22G27_exp2A_day11,96.0074,44.1847,34.0419,193.6022,24.31492,33.5313,86.28576,144.5546,33.94303,129.9869,161.6453,183.837,0.37173,0.141,0.091338,1
6,1,B,N,1.5,30,F,S,N_1.5_30_F_S,G23Y3130,11,G23Y3130_day11,G23Y2820_1B_day11.JPG,G23Y3130_exp1B_day11,97.912,43.3894,29.2249,220.1,35.74411,42.41798,109.5489,173.4648,53.86511,145.6617,176.494,200.9374,0.35134,0.14468,0.032491,1
7,3,B,N,5,20,F,S,N_5_20_F_S,O12Y5,11,O12Y5_day11,O12Y5_3B_day11.JPG,O12Y5_exp3B_day11,100.8182,42.18812,22.56473,246.5338,53.55335,60.18325,129.8149,184.377,55.20537,157.7197,177.4477,195.1052,0.34647,0.16454,-0.037776,1
8,3,B,N,0,30,F,A,CNTRL_30_F_S,W1O2,11,W1O2_day11,W1O2_3B_day11.JPG,W1O2_exp3B_day11,101.4213,80.9321,46.2374,205.5804,26.41792,45.56247,102.9315,176.0207,64.27218,125.1779,161.3357,200.2821,0.27677,0.37452,0.047712,1
9,2,A,N,1.5,20,F,S,N_1.5_20_F_S,G23Y2129,11,G23Y2129_day11,G23Y19_2A_day11.JPG,G23Y2129_exp2A_day11,105.8759,57.56362,34.35554,184.6117,17.35731,29.17991,83.35743,141.044,36.02962,111.6425,141.0595,167.8169,0.40013,0.2849,0.07398,1
10,2,A,N,1.5,30,F,S,N_1.5_30_F_S,G33Y100,11,G33Y100_day11,G33Y1_2A_day11.JPG,G33Y100_exp2A_day11,107.0515,70.15256,40.78897,214.8555,42.4054,59.34886,100.0535,175.9952,78.51986,124.8927,171.2661,218.5084,0.35716,0.34644,-0.034832,1
11,2,A,N,1.5,20,F,S,N_1.5_20_F_S,G23Y3130,1,G23Y3130_day1,G23Y3130_2A_day1.JPG,G23Y3130_exp2A_day1,107.3704,50.8803,35.15906,208.9443,31.86981,40.83723,102.6761,160.0703,42.39907,140.9703,169.8409,191.1795,0.38579,0.1744,0.062822,1
12,3,B,N,5,20,S,S,N_5_20_S_S,O13Y11,11,O13Y11_day11,O13Y11_3B_day11.JPG,O13Y11_exp3B_day11,108.1269,49.55065,30.86529,253.0144,58.25152,67.24638,149.2597,206.0021,74.75377,185.4237,204.9173,220.3805,0.34631,0.16361,-0.021116,1
13,1,A,N,1.5,30,F,S,N_1.5_30_F_S,G28Y65,11,G28Y65_day11,G28Y65_1A_day11.JPG,G28Y65_exp1A_day11,109.3761,54.59362,22.29483,242.0524,38.62636,44.49552,115.2685,179.5515,44.65484,142.1543,174.1624,201.953,0.34505,0.25013,-0.020935,1
14,3,A,N,1.5,20,F,S,N_1.5_20_F_S,G23Y3130,11,G23Y3130_day11,G23Y29_3A_day11.JPG,G23Y3130_exp3A_day11,110.4553,60.14472,39.33695,226.2056,39.81251,51.12168,115.0954,182.0277,63.19671,154.5199,190.3428,216.4121,0.35435,0.21647,0.034849,1
15,3,B,N,18,30,F,S,N_18_30_F_S,W15O70,11,W15O70_day11,W14O64_3B_day1.JPG,W15O70_exp3B_day11,113.4423,77.2225,53.5754,222.9527,52.6577,70.09006,88.15582,169.2613,76.41546,117.5643,166.2967,211.1595,0.37281,0.32982,0.010617,1
16,1,A,N,1.5,30,F,S,N_1.5_30_F_S,G28Y67,1,G28Y67_day1,G27Y59_1A_day1.JPG,G28Y67_exp1A_day1,113.9818,81.75342,60.96399,158.8942,21.2316,29.82416,73.15357,122.4155,38.2706,141.0155,168.4578,193.7272,0.39406,0.34323,0.18622,1
17,3,A,N,5,30,F,A,N_5_30_F_A,Y7B44,11,Y7B44_day11,Y7B44_3A_day11.JPG,Y7B44_exp3A_day11,116.129,50.28143,26.78535,232.2688,40.03959,50.58157,115.0879,173.0343,43.49398,159.2896,185.1872,201.6942,0.40464,0.21246,-0.014492,1
18,3,A,N,1.5,30,F,S,N_1.5_30_F_S,G33Y100,1,G33Y100_day1,G33Y100_3A_day1.JPG,G33Y100_exp3A_day1,116.9898,65.08741,64.34917,218.0175,35.27132,46.2279,131.9005,191.791,62.78134,164.4233,190.6943,213.0437,0.33701,0.070407,0.20817,1
19,2,A,N,1.5,30,F,S,N_1.5_30_F_S,G33Y100,1,G33Y100_day1,G33Y1_2A_day1.JPG,G33Y100_exp2A_day1,117.6004,85.18067,64.79468,202.1116,43.2695,58.82559,95.51117,167.3778,74.95037,126.3744,173.4271,212.3537,0.37528,0.32077,0.087952,1
20,3,B,N,18,30,S,S,N_18_30_S_S,W16O74,11,W16O74_day11,W15O69_3B_day11.JPG,W16O74_exp3B_day11,119.8997,110.233,96.36714,234.267,49.67123,63.5318,113.6768,187.5832,71.36599,153.6106,191.6964,226.4803,0.20605,0.23205,0.29458,1
21,3,B,N,5,20,F,S,N_5_20_F_S,O12Y5,1,O12Y5_day1,Y7B44_3A_day1.JPG,O12Y5_exp3B_day1,120.2679,56.82692,30.61927,251.3522,61.02983,68.58508,154.5187,211.0251,79.98413,193.3221,212.6444,229.5544,0.39124,0.21501,-0.058425,1
22,3,A,N,1.5,20,F,S,N_1.5_20_F_S,G23Y3130,1,G23Y3130_day1,G23Y29_3A_day1.JPG,G23Y3130_exp3A_day1,120.7148,55.31411,21.92393,241.7424,42.1967,56.38318,131.6165,183.2713,67.68277,158.2081,179.6853,199.9928,0.39828,0.31836,-0.1104,1
23,3,B,N,5,20,F,S,N_5_20_F_S,O12Y4,11,O12Y4_day11,O12Y4_3B_day11.JPG,O12Y4_exp3B_day11,121.2941,63.71915,27.89658,252.578,59.11477,62.81271,130.7636,187.904,59.06324,173.1153,192.2939,212.4066,0.37458,0.27985,-0.057253,1
24,3,B,N,5,20,S,S,N_5_20_S_S,O13Y11,1,O13Y11_day1,Y8B46_3A_day1.JPG,O13Y11_exp3B_day1,121.3187,57.9544,36.63597,252.6012,64.91497,72.57222,151.3933,208.4865,84.84853,211.7226,230.6406,244.5883,0.3929,0.19295,-0.03373,1
25,3,A,N,1.5,30,F,S,N_1.5_30_F_S,G33Y100,11,G33Y100_day11,G33Y1_3A_day11.JPG,G33Y100_exp3A_day11,121.742,72.66983,72.46889,227.9474,53.58679,61.71457,99.03213,171.6722,62.63575,119.1228,162.4484,192.1434,0.37589,0.091569,0.22658,1
26,3,B,N,5,20,F,S,N_5_20_F_S,O12Y3,11,O12Y3_day11,O12Y3_3B_day11.JPG,O12Y3_exp3B_day11,122.846,71.04422,47.7942,236.9291,51.54595,57.95299,126.3089,188.7793,67.285,169.5377,196.0794,218.4902,0.36162,0.22057,0.054907,1
27,2,A,N,1.5,30,F,S,N_1.5_30_F_S,G33Y1,11,G33Y1_day11,G33Y100_2A_day11.JPG,G33Y1_exp2A_day11,123.1805,83.56696,67.4461,229.3455,50.56117,60.3535,64.38016,133.2567,36.12722,118.616,162.5473,196.5536,0.3687,0.2665,0.18095,1
28,2,A,N,1.5,20,F,A,N_1.5_20_F_A,G23Y1819,11,G23Y1819_day11,G23Y17_2A_day11.JPG,G23Y1819_exp2A_day11,123.8683,107.6096,80.47605,166.487,9.68008,21.24167,72.51767,130.9399,34.26698,104.5155,133.8061,161.5588,0.33007,0.42482,0.36462,1
29,1,A,N,1.5,30,F,S,N_1.5_30_F_S,G28Y65,1,G28Y65_day1,G27Y58_1A_day1.JPG,G28Y65_exp1A_day1,123.9563,75.22788,51.62249,208.4331,51.79844,57.33387,111.887,165.7791,70.50848,149.9018,179.8267,204.8142,0.41552,0.28205,0.038633,1
30,1,B,N,1.5,30,F,S,N_1.5_30_F_S,G23Y2129,1,G23Y2129_day1,G23Y21_1B_day1.JPG,G23Y2129_exp1B_day1,125.179,67.4517,44.61188,222.3912,47.16911,55.01339,121.31,189.4163,69.8351,147.9661,179.8442,206.6376,0.42187,0.22485,0.027588,1
31,2,A,N,0,20,S,A,CNTRL_20_S_A,B22G29,1,B22G29_day1,B22G28_2A_day1.JPG,B22G29_exp2A_day1,125.9593,73.57585,47.17799,200.1827,29.68252,43.1356,95.51544,168.2881,60.04073,140.2321,180.4442,215.6343,0.45073,0.31333,0.041378,1
32,1,B,N,1.5,30,F,S,N_1.5_30_F_S,G23Y3130,1,G23Y3130_day1,G23Y31_1B_day1.JPG,G23Y3130_exp1B_day1,127.1546,73.17116,51.91082,218.1106,46.1872,51.87045,111.15,174.9565,63.13495,149.2395,177.275,199.356,0.41156,0.22711,0.081383,1
33,2,A,N,0,20,S,A,CNTRL_20_S_A,B22G28,11,B22G28_day11,B22G28_2A_day11.JPG,B22G28_exp2A_day11,129.4951,102.9359,66.11786,178.4183,18.61558,31.02729,71.90377,135.0381,33.79451,101.2993,134.2978,164.4797,0.40306,0.48079,0.22716,1
34,3,B,N,5,20,S,A,N_5_20_S_A,O13Y8,11,O13Y8_day11,O13Y8_3B_day11.JPG,O13Y8_exp3B_day11,129.9482,117.9791,97.94177,219.3058,38.02715,50.46463,123.8462,190.564,67.03343,168.7508,198.3658,218.7563,0.20676,0.23706,0.32738,1
35,3,B,N,18,30,F,S,N_18_30_F_S,W15O70,1,W15O70_day1,W15O70_3B_day1.JPG,W15O70_exp3B_day1,130.1144,83.6209,56.73908,248.4051,74.9515,80.85552,125.0391,199.5586,90.44661,159.2638,194.7777,224.9784,0.38473,0.26881,0.0058607,1
36,3,B,N,5,20,F,A,N_5_20_F_A,O12Y1,11,O12Y1_day11,O12Y1_3B_day11.JPG,O12Y1_exp3B_day11,130.9163,104.8978,60.2468,205.5521,17.92018,37.13883,105.3603,167.2085,53.59719,140.3694,168.7524,196.5264,0.31301,0.47479,0.11792,1
37,3,B,N,5,20,S,S,N_5_20_S_S,O13Y10,11,O13Y10_day11,O13Y10_3B_day11.JPG,O13Y10_exp3B_day11,143.993,81.47201,34.98329,233.3955,35.30709,46.78803,125.1766,183.3822,57.48578,165.5803,185.6135,203.2911,0.42984,0.40274,-0.04073,1
38,3,A,N,5,30,F,A,N_5_30_F_A,Y7B44,1,Y7B44_day1,O10G21_3B_day1.JPG,Y7B44_exp3A_day1,136.1959,67.06163,36.70248,228.7033,43.67159,52.87785,117.4394,172.1707,48.63614,148.3614,172.2932,189.0456,0.45551,0.27902,-0.0050482,1
39,3,B,N,0,30,F,S,CNTRL_30_F_S,W1O2,1,W1O2_day1,W17O79_3B_day1.JPG,W1O2_exp3B_day1,137.2608,125.6718,106.6404,239.1594,63.8621,76.10277,114.4772,179.6266,87.99143,157.4216,196.8236,239.5055,0.24991,0.35135,0.23676,1
40,3,A,N,1.5,20,F,A,N_1.5_20_F_A,G23Y2129,11,G23Y2129_day11,G23Y19_3A_day11.JPG,G23Y2129_exp3A_day11,140.6813,119.5811,77.73415,212.6421,40.86818,56.68452,88.95133,158.6314,54.69173,141.198,183.7408,221.1727,0.36115,0.50576,0.13384,1
41,2,A,N,0,20,S,S,CNTRL_20_S_S,B22G27,1,B22G27_day1,B2230_2A_day1.jpg,B22G27_exp2A_day1,141.063,71.3441,52.41036,235.9285,41.88051,52.13504,118.2045,175.1365,49.13791,163.7712,186.3078,202.9691,0.42911,0.19841,0.099962,1
42,2,A,N,1.5,20,F,A,N_1.5_20_F_A,G23Y0517,1,G23Y0517_day1,G23Y0517_2A_day1.JPG,G23Y0517_exp2A_day1,141.7028,108.7796,76.01575,208.8972,39.89251,51.8253,90.35441,158.7432,56.0111,125.5617,167.3471,203.2184,0.40322,0.42004,0.15546,1
43,3,B,N,5,20,S,A,N_5_20_S_A,O13Y8,1,O13Y8_day1,O13Y8_3A_day1.JPG,O13Y8_exp3B_day1,142.4037,131.8608,114.0332,245.5225,56.70618,65.47907,127.5366,192.3804,68.68088,173.6786,202.9925,223.8042,0.19204,0.22252,0.38505,1
44,3,B,N,18,30,S,S,N_18_30_S_S,W16O75,11,W16O75_day11,W15O70_3B_day11.JPG,W16O75_exp3B_day11,143.0898,98.03981,69.67958,242.6236,55.32562,61.25937,115.9666,182.2313,65.33314,151.6841,185.9946,214.902,0.36818,0.29346,0.13007,1
45,3,B,N,0,30,F,S,CNTRL_30_F_S,W1O3,11,W1O3_day11,W1O3_3B_day11.JPG,W1O3_exp3B_day11,144.7044,97.34569,70.47623,220.055,40.01562,52.79251,131.3772,176.4196,212.5626,76.04902,156.6077,43.50362,0.45135,0.15055,0.33666,1
46,2,A,N,0,20,S,A,CNTRL_20_S_A,B22G28,1,B22G28_day1,B22G27_2A_day1.JPG,B22G28_exp2A_day1,145.4628,122.9953,91.25186,192.2508,26.44879,39.77731,82.9979,152.7516,48.80294,118.8183,157.4789,193.5578,0.39021,0.45168,0.27737,1
47,3,B,N,0,30,F,A,CNTRL_30_F_A,W1O1,11,W1O1_day11,W1O1_3B_day11.JPG,W1O1_exp3B_day11,146.0398,134.4449,112.8262,198.4814,27.60985,46.20628,72.07932,143.275,38.84219,131.6299,175.3922,210.3587,0.33308,0.39687,0.38991,1
48,3,B,N,5,20,F,S,N_5_20_F_S,O12Y3,1,O12Y3_day1,Y7B42_3A_day1.JPG,O12Y3_exp3B_day1,147.169,106.0328,83.38677,244.1247,64.48878,70.17237,133.6982,200.4367,85.05768,190.0104,209.7367,227.2858,0.33691,0.23924,0.17333,1
49,3,B,N,0,30,F,S,CNTRL_30_F_S,W1O4,1,W1O4_day1,W17O82_3B_day1.JPG,W1O4_exp3B_day1,147.6418,102.0571,66.50829,251.9428,79.75313,90.53064,178.6609,211.3984,241.6733,136.4122,205.2921,91.81911,0.40286,-0.0084208,0.3493,1
50,2,A,N,1.5,20,F,S,N_1.5_20_F_S,G23Y2129,1,G23Y2129_day1,G23Y2129_2A_day1.JPG,G23Y2129_exp2A_day1,147.6906,91.20248,54.67047,219.2089,48.86623,53.22151,102.4421,164.542,54.39331,136.2715,169.3513,196.6804,0.47345,0.36267,0.04955,1
51,2,B,N,1.5,30,F,A,N_1.5_30_F_A,G26Y52,11,G26Y52_day11,G26Y52_2B_day11.JPG,G26Y52_exp2B_day11,147.861,101.4082,62.12507,176.7968,16.29833,27.10003,76.36814,144.9817,37.40833,116.4191,155.4502,186.4882,0.52798,0.46524,0.16308,1
52,2,A,N,1.5,20,F,A,N_1.5_20_F_A,G23Y1819,1,G23Y1819_day1,G23Y1819_2A_day1.JPG,G23Y1819_exp2A_day1,147.9012,131.1757,105.5295,207.1628,30.8587,42.74686,91.9233,152.0946,47.54436,133.5082,164.9994,193.5552,0.29488,0.38418,0.38572,1
53,3,B,N,18,30,F,A,N_18_30_F_A,W14O66,11,W14O66_day11,W13O60_3B_day11.JPG,W14O66_exp3B_day11,148.0867,122.819,106.7424,196.6644,26.23298,48.02567,88.07383,159.3744,58.67782,124.3119,167.9887,209.6285,0.3857,0.37387,0.31618,1
54,3,B,N,5,30,S,S,N_5_30_S_S,W12O53,11,W12O53_day11,O3B15_3B_day11.JPG,W12O53_exp3B_day11,148.2508,114.7154,77.32216,226.5953,50.27635,61.92132,90.29727,174.6463,71.28415,116.7988,168.8564,215.0756,0.43062,0.44905,0.086702,1
55,3,A,N,1.5,20,F,A,N_1.5_20_F_A,G23Y2129,1,G23Y2129_day1,G23Y19_3A_day1.JPG,G23Y2129_exp3A_day1,149.4342,129.3537,106.9417,186.2952,19.77631,33.99892,101.0663,161.0541,45.59671,120.8121,148.3665,170.6784,0.31662,0.32522,0.47662,1
56,3,B,N,5,30,S,A,N_5_30_S_A,W12O51,11,W12O51_day11,O3B13_3B_day11.JPG,W12O51_exp3B_day11,149.7801,92.96236,54.74417,200.3922,23.51394,37.5789,90.01227,158.9834,41.76076,112.738,149.7784,175.3174,0.50334,0.40969,0.10678,1
57,3,B,N,5,20,S,A,N_5_20_S_A,O13Y7,11,O13Y7_day11,O13Y7_3B_day11.JPG,O13Y7_exp3B_day11,150.0222,118.4174,82.05767,217.3099,37.15196,47.83005,103.0877,162.1514,49.09334,136.4325,166.2008,192.786,0.34856,0.40974,0.23482,1
58,3,B,N,18,30,S,A,N_18_30_S_A,W15O72,1,W15O72_day1,W15O72_3B_day1.JPG,W15O72_exp3B_day1,150.341,84.46496,45.31685,252.3829,60.79536,68.2414,133.778,189.9295,57.62364,165.2419,189.4625,207.3792,0.43553,0.3186,-0.013325,1
59,3,B,N,0,30,F,A,CNTRL_30_F_A,W17O83,11,W17O83_day11,W17O83_3B_day11.JPG,W17O83_exp3B_day11,151.254,102.2992,104.594,210.9295,32.44233,67.11507,99.93408,169.9973,85.02661,131.6844,169.7519,229.4102,0.43916,0.3032,0.21507,1
60,3,B,N,18,30,S,S,N_18_30_S_S,W16O75,1,W16O75_day1,W16O75_3B_day1.JPG,W16O75_exp3B_day1,152.8898,110.0192,85.77817,244.7459,76.25985,84.41126,106.8271,180.7947,72.39397,177.1774,213.8215,240.7824,0.40768,0.28595,0.12735,1
61,1,B,N,1.5,30,F,S,N_1.5_30_F_S,G23Y2129,11,G23Y2129_day11,G23Y1819_1B_day11.JPG,G23Y2129_exp1B_day11,154.0178,84.54416,45.09089,226.5783,28.36082,38.39097,107.0698,164.3444,41.98663,152.7444,179.4435,198.2866,0.46526,0.36967,0.059044,1
62,3,B,N,0,30,F,S,CNTRL_30_F_S,W1O4,11,W1O4_day11,W1O4_3B_day11.JPG,W1O4_exp3B_day11,154.2419,129.6315,98.68729,234.6151,46.36122,58.04384,103.6139,170.3096,57.91546,134.5595,170.7741,206.9675,0.32438,0.39747,0.27463,1
63,1,A,N,1.5,30,F,A,N_1.5_30_F_A,G28Y62,1,G28Y62_day1,G27Y55_1A_day1.JPG,G28Y62_exp1A_day1,155.2227,141.1198,124.9877,221.4735,58.57812,65.99047,115.0794,175.1029,74.44962,146.1508,178.6831,210.4014,0.27896,0.30629,0.39817,1
64,3,B,N,5,20,F,S,N_5_20_F_S,O12Y4,1,O12Y4_day1,Y7B43_3A_day1.JPG,O12Y4_exp3B_day1,155.7099,99.18568,58.60395,253.2755,69.72604,76.32596,159.602,216.8852,89.68778,203.7225,225.2654,241.0815,0.4121,0.33876,-0.013409,1
65,1,B,N,1.5,30,F,A,N_1.5_30_F_A,G23Y1819,1,G23Y1819_day1,G23Y18_1B_day1.JPG,G23Y1819_exp1B_day1,155.7883,97.17901,65.45085,209.5116,20.79402,34.1694,103.4805,156.2917,45.74056,146.8519,169.8702,188.2129,0.43576,0.3694,0.17887,1
66,3,A,N,5,30,F,A,N_5_30_F_A,Y8B46,11,Y8B46_day11,Y8B46_3A_day11.JPG,Y8B46_exp3A_day11,156.3684,125.8927,95.90756,230.5714,38.73874,50.75872,116.4282,170.4447,50.13994,147.0104,168.3643,186.1983,0.29035,0.32971,0.34715,1
67,3,B,N,18,30,S,S,N_18_30_S_S,W16O76,11,W16O76_day11,W15O71_3B_day11.JPG,W16O76_exp3B_day11,156.4767,85.39265,91.27977,232.3019,45.79401,55.04837,96.81999,161.1153,49.35132,138.37,171.3171,198.8753,0.45882,0.063302,0.31627,1
68,3,B,N,18,30,S,A,N_18_30_S_A,W16O73,11,W16O73_day11,W15O67_3B_day11.JPG,W16O73_exp3B_day11,158.2483,135.9818,121.8116,214.4094,45.54175,57.63913,97.30961,175.9542,65.09321,106.9152,155.2582,193.3991,0.3935,0.31108,0.40787,1
69,3,B,N,18,30,S,S,N_18_30_S_S,W16O74,1,W16O74_day1,W16O74_3B_day1.JPG,W16O74_exp3B_day1,158.9967,143.1465,127.4174,246.012,62.94348,69.7467,145.0763,204.7239,83.60208,176.7058,201.439,222.4569,0.21418,0.21557,0.42461,1
70,3,B,N,0,30,F,A,CNTRL_30_F_A,W17O83,1,W17O83_day1,W17O83_3B_day1.JPG,W17O83_exp3B_day1,159.3356,102.3062,86.80004,253.0066,80.9259,102.7078,138.8226,213.2061,114.5612,175.4043,213.9664,254.1913,0.4567,0.27204,0.034339,1
71,3,B,N,5,20,F,A,N_5_20_F_A,O12Y1,1,O12Y1_day1,Y7B40_3A_day1.JPG,O12Y1_exp3B_day1,159.5496,134.9962,105.1554,247.5435,62.30461,71.05623,144.4133,210.8807,86.1197,172.2668,199.6276,222.5801,0.28179,0.30743,0.26353,1
72,1,A,N,1.5,30,F,A,N_1.5_30_F_A,G28Y62,11,G28Y62_day11,G28Y62_1A_day11.JPG,G28Y62_exp1A_day11,160.0351,146.3907,114.1367,201.574,15.99904,26.40931,92.73051,158.9067,42.5934,128.4839,163.6781,198.6594,0.31279,0.43738,0.43918,1
73,3,A,N,1.5,30,F,A,N_1.5_30_F_A,G33Y1,1,G33Y1_day1,G33Y1_3A_day1.JPG,G33Y1_exp3A_day1,160.2287,144.3409,125.232,183.1381,19.84605,36.3586,63.30861,131.0627,33.39739,92.36276,130.3882,169.3989,0.4282,0.48819,0.55112,1
74,3,B,N,5,30,S,S,N_5_30_S_S,W12O53,1,W12O53_day1,W12O53_3B_day1.JPG,W12O53_exp3B_day1,160.6583,114.4504,76.70637,242.5322,69.36797,74.1465,125.9755,202.8854,92.88225,155.2158,198.609,234.8352,0.44304,0.37502,0.038428,1
75,2,B,N,1.5,30,F,A,N_1.5_30_F_A,G26Y52,1,G26Y52_day1,G26Y53_2B_day1(1).JPG,G26Y52_exp2B_day1,160.9891,119.456,86.57229,221.444,61.68336,73.88601,85.36667,157.5849,69.87637,129.3064,169.6279,207.3011,0.4962,0.47814,0.079591,1
76,3,B,N,5,30,S,S,N_5_30_S_S,W12O54,1,W12O54_day1,W12O54_3B_day1.JPG,W12O54_exp3B_day1,161.0661,85.57885,59.82019,197.1209,29.37449,42.69597,95.87626,167.5068,56.03544,134.2023,173.9479,202.3751,0.60663,0.32348,0.078041,1
77,3,B,N,18,30,S,A,N_18_30_S_A,W15O72,11,W15O72_day11,W15O72_3B_day1.JPG,W15O72_exp3B_day11,162.1318,94.14345,53.63745,231.7257,40.95092,52.93659,115.7472,176.2131,50.02536,138.059,167.0747,189.931,0.48289,0.37571,0.048857,1
78,3,B,N,0,30,F,S,CNTRL_30_F_S,W1O3,1,W1O3_day1,W17O80_3B_day1.JPG,W1O3_exp3B_day1,163.2304,104.3949,85.87799,252.1458,63.79881,71.20977,149.2316,207.3536,84.49601,165.913,192.2435,212.7663,0.40218,0.20624,0.18712,1
79,3,A,N,1.5,30,F,A,N_1.5_30_F_A,G33Y1,11,G33Y1_day11,G33Y100_3A_day11.JPG,G33Y1_exp3A_day11,163.588,145.3359,134.9372,141.6909,7.991083,30.12894,53.84642,128.5703,57.43997,82.29876,130.0236,189.3095,0.66209,0.68523,0.3995,1
80,3,B,N,5,20,S,S,N_5_20_S_S,O13Y10,1,O13Y10_day1,Y8B45_3A_day1.JPG,O13Y10_exp3B_day1,164.5373,95.70771,47.04036,250.1395,62.23061,67.39392,135.8905,194.2885,70.28654,181.8248,207.2991,225.0985,0.48338,0.40373,-0.06181,1
81,1,A,N,1.5,30,F,A,N_1.5_30_F_A,G28Y63,1,G28Y63_day1,G27Y56_1A_day1.JPG,G28Y63_exp1A_day1,164.773,126.0347,100.3392,193.9382,45.63245,55.8334,79.56002,143.8235,59.31395,110.0984,150.7937,188.02,0.5272,0.46868,0.22926,1
82,3,A,N,5,30,F,A,N_5_30_F_A,Y8B45,11,Y8B45_day11,Y8B45_3A_day11.JPG,Y8B45_exp3A_day11,166.8739,141.7982,111.0094,185.9891,25.24949,38.93762,82.47579,145.0446,44.56602,115.9213,150.3461,184.4472,0.43333,0.49784,0.39008,1
83,3,B,N,18,30,S,S,N_18_30_S_S,W16O76,1,W16O76_day1,W16O76_3B_day1.JPG,W16O76_exp3B_day1,167.8971,91.35676,77.91415,238.319,70.17633,74.237,122.7162,193.6615,79.91354,168.9859,203.7114,228.3321,0.54534,0.16094,0.1076,1
84,3,A,N,5,30,F,A,N_5_30_F_A,Y8B45,1,Y8B45_day1,O11G22_3B_day1.JPG,Y8B45_exp3A_day1,168.2291,141.9563,109.6939,204.7679,25.13503,41.17372,86.46421,149.3842,45.66236,111.2817,144.1201,179.1912,0.39491,0.50491,0.39276,1
85,3,A,N,1.5,20,F,A,N_1.5_20_F_A,G23Y1819,1,G23Y1819_day1,G23Y17_3A_day1.JPG,G23Y1819_exp3A_day1,168.8783,119.6394,105.4966,207.5896,40.63273,48.95315,91.27668,156.8741,51.43026,145.0326,183.3952,210.4796,0.47107,0.25584,0.32914,1
86,3,B,N,1.5,20,F,S,N_1.5_20_F_S,O5G5,11,O5G5_day11,O5W5_3B_day11.JPG,O5G5_exp3B_day11,169.4248,139.0992,110.3154,226.3032,54.56744,67.06588,113.822,191.2768,81.26401,146.188,190.0775,224.0114,0.40732,0.37971,0.23276,1
87,1,B,N,1.5,30,F,A,N_1.5_30_F_A,G23Y2820,1,G23Y2820_day1,G23Y28_1B_day1.JPG,G23Y2820_exp1B_day1,169.8484,126.2505,124.6804,196.3182,29.48749,39.51684,92.08139,153.5299,49.93733,131.8002,164.2863,191.9164,0.43187,0.19312,0.51048,1
88,1,B,N,1.5,30,F,A,N_1.5_30_F_A,G23Y1819,11,G23Y1819_day11,G23Y0517_1B_day11.JPG,G23Y1819_exp1B_day11,170.4956,114.8765,69.90849,205.4928,21.46322,33.50001,104.305,165.3172,44.75259,136.4623,164.8955,189.8874,0.48098,0.45738,0.17551,1
89,3,A,N,5,30,F,A,N_5_30_F_A,Y8B46,1,Y8B46_day1,O11G23_3B_day1.JPG,Y8B46_exp3A_day1,173.1409,151.6401,133.502,225.2861,35.70745,44.70746,115.5696,177.539,51.28418,152.8777,179.0505,200.773,0.27146,0.25578,0.53916,1
90,1,B,N,1.5,30,F,A,N_1.5_30_F_A,G23Y2820,11,G23Y2820_day11,G23Y2129_1B_day11.JPG,G23Y2820_exp1B_day11,173.7037,135.2211,127.4772,198.6511,30.32806,37.01369,72.0453,148.894,43.0973,118.6911,166.9651,201.9594,0.48856,0.26456,0.48521,1
91,3,B,N,5,30,S,S,N_5_30_S_S,W12O54,11,W12O54_day11,O3B17_3B_day11.JPG,W12O54_exp3B_day11,175.1023,111.3586,107.8732,224.7405,49.61985,58.38196,105.0131,188.2668,75.05192,129.0384,177.0233,215.7705,0.52771,0.17324,0.2969,1
92,3,B,N,5,30,S,S,N_5_30_S_S,W12O52,11,W12O52_day11,O3B14_3B_day11.JPG,W12O52_exp3B_day11,176.7109,168.9972,160.4378,201.6878,31.20538,45.9577,97.23486,176.7409,70.21762,126.8459,173.285,216.885,0.36012,0.35476,0.54857,1
