col_num,treat_ID_full,red_day1,red_day11,red_delta,red_percent_change,pollution,dose,temp,feed,symbiont,rgb_status,PercOutliersCheck,dose_level,new_treat_ID_full
152,A_0_20_F_A,79.93756654,115.6215297,35.68396312,44.63979161,Ammonium,0,20,Fed,Aposymbiotic,bleached,NA,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
223,N_0_30_F_S,97.44467794,140.7180218,43.27334387,44.40811421,Nitrate,0,30,Fed,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Fed_Symbiotic
170,N_1.5_30_S_A,174.2012997,249.237393,75.03609334,43.07435907,Nitrate,1.5,30,Starved,Aposymbiotic,bleached,NA,Low,Nitrate_Low_30_Starved_Aposymbiotic
206,N_5_20_F_S,107.8720919,153.8266605,45.95456858,42.60098027,Nitrate,5,20,Fed,Symbiotic,bleached,NA,Medium,Nitrate_Medium_20_Fed_Symbiotic
150,N_1.5_20_F_A,199.8688576,282.3762828,82.50742519,41.28078089,Nitrate,1.5,20,Fed,Aposymbiotic,bleached,NA,Low,Nitrate_Low_20_Fed_Aposymbiotic
170,A_5_30_F_A,161.4419862,227.4692656,66.02727947,40.89845587,Ammonium,5,30,Fed,Aposymbiotic,bleached,NA,Low,Ammonium_Low_30_Fed_Aposymbiotic
227,N_5_30_F_A,98.52720067,138.6145321,40.08733145,40.68656288,Nitrate,5,30,Fed,Aposymbiotic,bleached,NA,Medium,Nitrate_Medium_30_Fed_Aposymbiotic
201,N_1.5_30_F_A,101.4837745,141.6810785,40.197304,39.60958704,Nitrate,1.5,30,Fed,Aposymbiotic,bleached,NA,Low,Nitrate_Low_30_Fed_Aposymbiotic
144,A_7.5_20_S_S,112.9729888,156.5040538,43.53106501,38.53227703,Ammonium,7.5,20,Starved,Symbiotic,bleached,NA,Medium,Ammonium_Medium_20_Starved_Symbiotic
247,N_1.5_30_S_S,125.5060427,173.4824643,47.97642155,38.22638378,Nitrate,1.5,30,Starved,Symbiotic,bleached,NA,Low,Nitrate_Low_30_Starved_Symbiotic
157,A_10_20_S_S,96.52651971,133.3568502,36.83033046,38.15565978,Ammonium,10,20,Starved,Symbiotic,bleached,NA,High,Ammonium_High_20_Starved_Symbiotic
150,N_0_30_F_A,125.435305,172.8654838,47.43017878,37.81246339,Nitrate,0,30,Fed,Aposymbiotic,bleached,NA,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
171,A_10_30_F_A,108.3632157,149.006817,40.64360135,37.5068247,Ammonium,10,30,Fed,Aposymbiotic,bleached,NA,High,Ammonium_High_30_Fed_Aposymbiotic
157,A_0_20_S_S,115.7660327,158.3792087,42.61317597,36.80974027,Ammonium,0,20,Starved,Symbiotic,bleached,NA,control-0,Ammonium_control-0_20_Starved_Symbiotic
188,N_1.5_30_S_S,129.6296209,176.2212779,46.59165698,35.9421378,Nitrate,1.5,30,Starved,Symbiotic,bleached,NA,Low,Nitrate_Low_30_Starved_Symbiotic
179,A_5_20_S_A,108.6927692,147.6130425,38.92027331,35.80760118,Ammonium,5,20,Starved,Aposymbiotic,bleached,NA,Low,Ammonium_Low_20_Starved_Aposymbiotic
220,A_0_20_F_S,94.72233468,128.3797074,33.65737269,35.53266799,Ammonium,0,20,Fed,Symbiotic,bleached,NA,control-0,Ammonium_control-0_20_Fed_Symbiotic
240,N_0_30_F_S,121.2535491,162.4304612,41.17691205,33.95934581,Nitrate,0,30,Fed,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Fed_Symbiotic
155,A_0_20_F_S,154.1619009,206.2526663,52.09076544,33.78964915,Ammonium,0,20,Fed,Symbiotic,bleached,NA,control-0,Ammonium_control-0_20_Fed_Symbiotic
188,N_0_30_S_S,87.11937952,115.5696114,28.45023184,32.65660522,Nitrate,0,30,Starved,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Starved_Symbiotic
226,N_5_30_S_S,114.4256831,151.5501425,37.12445941,32.44416673,Nitrate,5,30,Starved,Symbiotic,bleached,NA,Medium,Nitrate_Medium_30_Starved_Symbiotic
224,N_0_20_S_S,87.92078909,116.33885,28.4180609,32.32234514,Nitrate,0,20,Starved,Symbiotic,bleached,NA,control-0,Nitrate_control-0_20_Starved_Symbiotic
