col_num,treat_ID_full,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,pollution,dose,temp,feed,symbiont,pam_status,PercOutliersCheck,dose_level,new_treat_ID_full
183,N_0_30_F_A,0.212,0.018,-0.194,-0.91509434,-1.63989712,Nitrate,0,30,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
161,N_0_30_F_S,0.232,0.464,0.232,1,-1.461017907,Nitrate,0,30,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
171,N_0_30_F_S,0.376,0.491,0.115,0.305851064,-2.162823151,Nitrate,0,30,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
166,N_0_30_S_A,0.23,0.254,0.024,0.104347826,-3.729701449,Nitrate,0,30,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
171,N_0_30_S_A,0.351,0.393,0.042,0.11965812,-3.170085661,Nitrate,0,30,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
184,N_0_30_S_A,0.203,0.208,0.005,0.024630542,-5.298317367,Nitrate,0,30,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
164,N_0_30_S_S,0.353,0.134,-0.219,-0.620396601,-1.518683549,Nitrate,0,30,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
172,N_0_30_S_S,0.396,0.517,0.121,0.305555556,-2.111964733,Nitrate,0,30,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Starved_Symbiotic
175,N_0_20_F_S,0.475,0.163,-0.312,-0.656842105,-1.164752091,Nitrate,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
206,N_0_20_F_S,0.537,0.28,-0.257,-0.47858473,-1.358679194,Nitrate,0,20,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
174,N_0_20_F_A,0.448,0.09,-0.358,-0.799107143,-1.027222293,Nitrate,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
199,N_0_20_F_A,0.232,0.134,-0.098,-0.422413793,-2.3227878,Nitrate,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
226,N_0_20_F_A,0.455,0.411,-0.044,-0.096703297,-3.123565645,Nitrate,0,20,Fed,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
207,N_0_20_S_S,0.432,0.561,0.129,0.298611111,-2.047942875,Nitrate,0,20,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
187,N_0_20_S_A,0.247,0.52,0.273,1.105263158,-1.298283484,Nitrate,0,20,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
202,N_0_20_S_A,0.468,0.139,-0.329,-0.702991453,-1.111697528,Nitrate,0,20,Starved,Aposymbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
228,N_0_20_S_A,0.153,0.569,0.416,2.718954248,-0.877070019,Nitrate,0,20,Starved,Aposymbiotic,increase,TRUE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
186,N_0_20_S_S,0.487,0.44,-0.047,-0.09650924,-3.057607677,Nitrate,0,20,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
