V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,NA
-0.042732109,0,-0.198279762,-0.047941039,-0.518086888,-0.084661216,-0.077192806,-0.11382807,-0.148187589,-0.232987475,-0.064213626,-0.126035207,-0.109437249,-0.094291373,-0.18434537,-0.04859749,-0.098215003,-0.074222978,-0.050275385,-0.090009276,-0.061492714,-0.10596826,-0.117590743,NA
