"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"0","-0.185821764940504","-0.175831432971374","-0.144990580302186","-0.0603142053544871","-0.089673922418944","-0.0629155850182917","-0.14238544424833","-0.137102760324473","-0.17946773553604","-0.106349656241127","-0.0717604983545166","-0.0587764966729353","-0.0874124475200531","-0.0675727614340494","-0.388672490240978","-0.529158631717007","-0.528729806482844","-0.145671563206824","-0.109148269207357","-0.0740611287507097","-0.0936590170529714","-0.0537853702488678","NA"
