"","col_num","treat_ID_full","e_coli","abs_resp_rate_SA_corr","pollution","dose","temp","feed","symbiont","dose_level","new_treat_ID_full"
"42",142,"N_1.5_30_F_S",0,0.048507601,"Nitrate","1.5","30","Fed","Symbiotic","Low","Nitrate_Low_30_Fed_Symbiotic"
"43",168,"N_1.5_20_F_A",1,0.083640201,"Nitrate","1.5","20","Fed","Aposymbiotic","Low","Nitrate_Low_20_Fed_Aposymbiotic"
"44",150,"N_1.5_20_F_A",0,0.058067404,"Nitrate","1.5","20","Fed","Aposymbiotic","Low","Nitrate_Low_20_Fed_Aposymbiotic"
"45",147,"N_1.5_20_F_S",0,0.060048299,"Nitrate","1.5","20","Fed","Symbiotic","Low","Nitrate_Low_20_Fed_Symbiotic"
"46",153,"N_1.5_20_F_S",1,0.108990843,"Nitrate","1.5","20","Fed","Symbiotic","Low","Nitrate_Low_20_Fed_Symbiotic"
"47",168,"N_1.5_20_S_A",1,0.105815259,"Nitrate","1.5","20","Starved","Aposymbiotic","Low","Nitrate_Low_20_Starved_Aposymbiotic"
"48",150,"N_1.5_20_S_A",0,0.052184399,"Nitrate","1.5","20","Starved","Aposymbiotic","Low","Nitrate_Low_20_Starved_Aposymbiotic"
"49",150,"N_1.5_20_S_S",0,0.046274552,"Nitrate","1.5","20","Starved","Symbiotic","Low","Nitrate_Low_20_Starved_Symbiotic"
"50",157,"N_1.5_20_S_S",1,0.118352282,"Nitrate","1.5","20","Starved","Symbiotic","Low","Nitrate_Low_20_Starved_Symbiotic"
"51",160,"A_5_30_F_A",1,0.059277214,"Ammonium","5","30","Fed","Aposymbiotic","Low","Ammonium_Low_30_Fed_Aposymbiotic"
"52",145,"A_5_30_F_A",0,0.054986563,"Ammonium","5","30","Fed","Aposymbiotic","Low","Ammonium_Low_30_Fed_Aposymbiotic"
"53",152,"A_5_30_F_S",0,0.028636209,"Ammonium","5","30","Fed","Symbiotic","Low","Ammonium_Low_30_Fed_Symbiotic"
"54",157,"A_5_30_F_S",0,0.105430925,"Ammonium","5","30","Fed","Symbiotic","Low","Ammonium_Low_30_Fed_Symbiotic"
"55",152,"A_5_20_F_A",0,0.098170838,"Ammonium","5","20","Fed","Aposymbiotic","Low","Ammonium_Low_20_Fed_Aposymbiotic"
"56",151,"A_5_20_F_S",0,0.065268728,"Ammonium","5","20","Fed","Symbiotic","Low","Ammonium_Low_20_Fed_Symbiotic"
"57",155,"A_5_20_F_S",1,0.051504402,"Ammonium","5","20","Fed","Symbiotic","Low","Ammonium_Low_20_Fed_Symbiotic"
"58",155,"A_5_30_S_A",0,0.055828538,"Ammonium","5","30","Starved","Aposymbiotic","Low","Ammonium_Low_30_Starved_Aposymbiotic"
"59",157,"A_5_30_S_A",1,0.080641366,"Ammonium","5","30","Starved","Aposymbiotic","Low","Ammonium_Low_30_Starved_Aposymbiotic"
"60",153,"A_5_30_S_S",0,0.075480834,"Ammonium","5","30","Starved","Symbiotic","Low","Ammonium_Low_30_Starved_Symbiotic"
"61",157,"A_5_30_S_S",1,0.092303003,"Ammonium","5","30","Starved","Symbiotic","Low","Ammonium_Low_30_Starved_Symbiotic"
"62",162,"A_10_30_F_A",1,0.1197012,"Ammonium","10","30","Fed","Aposymbiotic","High","Ammonium_High_30_Fed_Aposymbiotic"
"63",146,"A_10_30_F_A",0,0.055268065,"Ammonium","10","30","Fed","Aposymbiotic","High","Ammonium_High_30_Fed_Aposymbiotic"
"64",153,"A_10_30_F_S",1,0.158389381,"Ammonium","10","30","Fed","Symbiotic","High","Ammonium_High_30_Fed_Symbiotic"
"65",157,"A_10_30_F_S",0,0.120136586,"Ammonium","10","30","Fed","Symbiotic","High","Ammonium_High_30_Fed_Symbiotic"
"66",150,"A_10_30_S_A",1,0.207948106,"Ammonium","10","30","Starved","Aposymbiotic","High","Ammonium_High_30_Starved_Aposymbiotic"
"67",165,"A_10_30_S_A",0,0.147606728,"Ammonium","10","30","Starved","Aposymbiotic","High","Ammonium_High_30_Starved_Aposymbiotic"
"68",153,"A_10_30_S_S",0,0.083708928,"Ammonium","10","30","Starved","Symbiotic","High","Ammonium_High_30_Starved_Symbiotic"
"69",157,"A_10_30_S_S",1,0.126613527,"Ammonium","10","30","Starved","Symbiotic","High","Ammonium_High_30_Starved_Symbiotic"
"70",150,"N_18_20_F_A",0,0.069492138,"Nitrate","18","20","Fed","Aposymbiotic","High","Nitrate_High_20_Fed_Aposymbiotic"
"71",147,"N_18_20_F_S",0,0.095961684,"Nitrate","18","20","Fed","Symbiotic","High","Nitrate_High_20_Fed_Symbiotic"
"72",153,"N_18_20_F_S",1,0.118008154,"Nitrate","18","20","Fed","Symbiotic","High","Nitrate_High_20_Fed_Symbiotic"
"73",168,"N_18_20_F_A",1,0.111574921,"Nitrate","18","20","Fed","Aposymbiotic","High","Nitrate_High_20_Fed_Aposymbiotic"
"74",168,"N_18_30_F_A",1,0.101985363,"Nitrate","18","30","Fed","Aposymbiotic","High","Nitrate_High_30_Fed_Aposymbiotic"
