"","col_num","treat_ID_full","e_coli","abs_resp_rate_SA_corr","pollution","dose","temp","feed","symbiont","dose_level","new_treat_ID_full","dose_level_x_temp","dose_level_x_feed","dose_level_x_symbiont","dose_level_x_e_coli","temp_x_feed","temp_x_symbiont","temp_x_e_coli","feed_x_symbiont","feed_x_e_coli","symbiont_x_e_coli","dose_level_x_temp_x_feed","dose_level_x_temp_x_symbiont","dose_level_x_temp_x_e_coli","dose_level_x_feed_x_symbiont","dose_level_x_feed_x_e_coli","dose_level_x_symbiont_x_e_coli","temp_x_feed_x_symbiont","temp_x_feed_x_e_coli","temp_x_symbiont_x_e_coli","feed_x_symbiont_x_e_coli","dose_level_x_temp_x_feed_x_symbiont","dose_level_x_temp_x_feed_x_e_coli","dose_level_x_temp_x_symbiont_x_e_coli","dose_level_x_feed_x_symbiont_x_e_coli","temp_x_feed_x_symbiont_x_e_coli","dose_level_x_temp_x_feed_x_symbiont_x_e_coli"
"12",168,"N_0_30_F_A",1,0.07143839,"Nitrate","0","30","Fed","Aposymbiotic","control-0","Nitrate_control-0_30_Fed_Aposymbiotic","control-0-x-30","control-0-x-Fed","control-0-x-Aposymbiotic","control-0-x-1","30-x-Fed","30-x-Aposymbiotic","30-x-1","Fed-x-Aposymbiotic","Fed-x-1","Aposymbiotic-x-1","control-0-x-30-x-Fed","control-0-x-30-x-Aposymbiotic","control-0-x-30-x-1","control-0-x-Fed-x-Aposymbiotic","control-0-x-Fed-x-1","control-0-x-Aposymbiotic-x-1","30-x-Fed-x-Aposymbiotic","30-x-Fed-x-1","30-x-Aposymbiotic-x-1","Fed-x-Aposymbiotic-x-1","control-0-x-30-x-Fed-x-Aposymbiotic","control-0-x-30-x-Fed-x-1","control-0-x-30-x-Aposymbiotic-x-1","control-0-x-Fed-x-Aposymbiotic-x-1","30-x-Fed-x-Aposymbiotic-x-1","control-0-x-30-x-Fed-x-Aposymbiotic-x-1"
"13",150,"N_0_30_F_A",0,0.041588441,"Nitrate","0","30","Fed","Aposymbiotic","control-0","Nitrate_control-0_30_Fed_Aposymbiotic","control-0-x-30","control-0-x-Fed","control-0-x-Aposymbiotic","control-0-x-0","30-x-Fed","30-x-Aposymbiotic","30-x-0","Fed-x-Aposymbiotic","Fed-x-0","Aposymbiotic-x-0","control-0-x-30-x-Fed","control-0-x-30-x-Aposymbiotic","control-0-x-30-x-0","control-0-x-Fed-x-Aposymbiotic","control-0-x-Fed-x-0","control-0-x-Aposymbiotic-x-0","30-x-Fed-x-Aposymbiotic","30-x-Fed-x-0","30-x-Aposymbiotic-x-0","Fed-x-Aposymbiotic-x-0","control-0-x-30-x-Fed-x-Aposymbiotic","control-0-x-30-x-Fed-x-0","control-0-x-30-x-Aposymbiotic-x-0","control-0-x-Fed-x-Aposymbiotic-x-0","30-x-Fed-x-Aposymbiotic-x-0","control-0-x-30-x-Fed-x-Aposymbiotic-x-0"
"14",147,"N_0_30_F_S",1,0.098439963,"Nitrate","0","30","Fed","Symbiotic","control-0","Nitrate_control-0_30_Fed_Symbiotic","control-0-x-30","control-0-x-Fed","control-0-x-Symbiotic","control-0-x-1","30-x-Fed","30-x-Symbiotic","30-x-1","Fed-x-Symbiotic","Fed-x-1","Symbiotic-x-1","control-0-x-30-x-Fed","control-0-x-30-x-Symbiotic","control-0-x-30-x-1","control-0-x-Fed-x-Symbiotic","control-0-x-Fed-x-1","control-0-x-Symbiotic-x-1","30-x-Fed-x-Symbiotic","30-x-Fed-x-1","30-x-Symbiotic-x-1","Fed-x-Symbiotic-x-1","control-0-x-30-x-Fed-x-Symbiotic","control-0-x-30-x-Fed-x-1","control-0-x-30-x-Symbiotic-x-1","control-0-x-Fed-x-Symbiotic-x-1","30-x-Fed-x-Symbiotic-x-1","control-0-x-30-x-Fed-x-Symbiotic-x-1"
"15",153,"N_0_30_F_S",0,0.056036216,"Nitrate","0","30","Fed","Symbiotic","control-0","Nitrate_control-0_30_Fed_Symbiotic","control-0-x-30","control-0-x-Fed","control-0-x-Symbiotic","control-0-x-0","30-x-Fed","30-x-Symbiotic","30-x-0","Fed-x-Symbiotic","Fed-x-0","Symbiotic-x-0","control-0-x-30-x-Fed","control-0-x-30-x-Symbiotic","control-0-x-30-x-0","control-0-x-Fed-x-Symbiotic","control-0-x-Fed-x-0","control-0-x-Symbiotic-x-0","30-x-Fed-x-Symbiotic","30-x-Fed-x-0","30-x-Symbiotic-x-0","Fed-x-Symbiotic-x-0","control-0-x-30-x-Fed-x-Symbiotic","control-0-x-30-x-Fed-x-0","control-0-x-30-x-Symbiotic-x-0","control-0-x-Fed-x-Symbiotic-x-0","30-x-Fed-x-Symbiotic-x-0","control-0-x-30-x-Fed-x-Symbiotic-x-0"
"16",162,"N_0_30_S_A",1,0.053819186,"Nitrate","0","30","Starved","Aposymbiotic","control-0","Nitrate_control-0_30_Starved_Aposymbiotic","control-0-x-30","control-0-x-Starved","control-0-x-Aposymbiotic","control-0-x-1","30-x-Starved","30-x-Aposymbiotic","30-x-1","Starved-x-Aposymbiotic","Starved-x-1","Aposymbiotic-x-1","control-0-x-30-x-Starved","control-0-x-30-x-Aposymbiotic","control-0-x-30-x-1","control-0-x-Starved-x-Aposymbiotic","control-0-x-Starved-x-1","control-0-x-Aposymbiotic-x-1","30-x-Starved-x-Aposymbiotic","30-x-Starved-x-1","30-x-Aposymbiotic-x-1","Starved-x-Aposymbiotic-x-1","control-0-x-30-x-Starved-x-Aposymbiotic","control-0-x-30-x-Starved-x-1","control-0-x-30-x-Aposymbiotic-x-1","control-0-x-Starved-x-Aposymbiotic-x-1","30-x-Starved-x-Aposymbiotic-x-1","control-0-x-30-x-Starved-x-Aposymbiotic-x-1"
"17",151,"N_0_30_S_A",0,0.035581522,"Nitrate","0","30","Starved","Aposymbiotic","control-0","Nitrate_control-0_30_Starved_Aposymbiotic","control-0-x-30","control-0-x-Starved","control-0-x-Aposymbiotic","control-0-x-0","30-x-Starved","30-x-Aposymbiotic","30-x-0","Starved-x-Aposymbiotic","Starved-x-0","Aposymbiotic-x-0","control-0-x-30-x-Starved","control-0-x-30-x-Aposymbiotic","control-0-x-30-x-0","control-0-x-Starved-x-Aposymbiotic","control-0-x-Starved-x-0","control-0-x-Aposymbiotic-x-0","30-x-Starved-x-Aposymbiotic","30-x-Starved-x-0","30-x-Aposymbiotic-x-0","Starved-x-Aposymbiotic-x-0","control-0-x-30-x-Starved-x-Aposymbiotic","control-0-x-30-x-Starved-x-0","control-0-x-30-x-Aposymbiotic-x-0","control-0-x-Starved-x-Aposymbiotic-x-0","30-x-Starved-x-Aposymbiotic-x-0","control-0-x-30-x-Starved-x-Aposymbiotic-x-0"
"18",154,"N_0_30_S_S",0,0.064881032,"Nitrate","0","30","Starved","Symbiotic","control-0","Nitrate_control-0_30_Starved_Symbiotic","control-0-x-30","control-0-x-Starved","control-0-x-Symbiotic","control-0-x-0","30-x-Starved","30-x-Symbiotic","30-x-0","Starved-x-Symbiotic","Starved-x-0","Symbiotic-x-0","control-0-x-30-x-Starved","control-0-x-30-x-Symbiotic","control-0-x-30-x-0","control-0-x-Starved-x-Symbiotic","control-0-x-Starved-x-0","control-0-x-Symbiotic-x-0","30-x-Starved-x-Symbiotic","30-x-Starved-x-0","30-x-Symbiotic-x-0","Starved-x-Symbiotic-x-0","control-0-x-30-x-Starved-x-Symbiotic","control-0-x-30-x-Starved-x-0","control-0-x-30-x-Symbiotic-x-0","control-0-x-Starved-x-Symbiotic-x-0","30-x-Starved-x-Symbiotic-x-0","control-0-x-30-x-Starved-x-Symbiotic-x-0"
"19",157,"N_0_30_S_S",1,0.117202826,"Nitrate","0","30","Starved","Symbiotic","control-0","Nitrate_control-0_30_Starved_Symbiotic","control-0-x-30","control-0-x-Starved","control-0-x-Symbiotic","control-0-x-1","30-x-Starved","30-x-Symbiotic","30-x-1","Starved-x-Symbiotic","Starved-x-1","Symbiotic-x-1","control-0-x-30-x-Starved","control-0-x-30-x-Symbiotic","control-0-x-30-x-1","control-0-x-Starved-x-Symbiotic","control-0-x-Starved-x-1","control-0-x-Symbiotic-x-1","30-x-Starved-x-Symbiotic","30-x-Starved-x-1","30-x-Symbiotic-x-1","Starved-x-Symbiotic-x-1","control-0-x-30-x-Starved-x-Symbiotic","control-0-x-30-x-Starved-x-1","control-0-x-30-x-Symbiotic-x-1","control-0-x-Starved-x-Symbiotic-x-1","30-x-Starved-x-Symbiotic-x-1","control-0-x-30-x-Starved-x-Symbiotic-x-1"
"20",160,"A_0_30_F_A",1,0.112395863,"Ammonium","0","30","Fed","Aposymbiotic","control-0","Ammonium_control-0_30_Fed_Aposymbiotic","control-0-x-30","control-0-x-Fed","control-0-x-Aposymbiotic","control-0-x-1","30-x-Fed","30-x-Aposymbiotic","30-x-1","Fed-x-Aposymbiotic","Fed-x-1","Aposymbiotic-x-1","control-0-x-30-x-Fed","control-0-x-30-x-Aposymbiotic","control-0-x-30-x-1","control-0-x-Fed-x-Aposymbiotic","control-0-x-Fed-x-1","control-0-x-Aposymbiotic-x-1","30-x-Fed-x-Aposymbiotic","30-x-Fed-x-1","30-x-Aposymbiotic-x-1","Fed-x-Aposymbiotic-x-1","control-0-x-30-x-Fed-x-Aposymbiotic","control-0-x-30-x-Fed-x-1","control-0-x-30-x-Aposymbiotic-x-1","control-0-x-Fed-x-Aposymbiotic-x-1","30-x-Fed-x-Aposymbiotic-x-1","control-0-x-30-x-Fed-x-Aposymbiotic-x-1"
"21",144,"A_0_30_F_A",0,0.028637709,"Ammonium","0","30","Fed","Aposymbiotic","control-0","Ammonium_control-0_30_Fed_Aposymbiotic","control-0-x-30","control-0-x-Fed","control-0-x-Aposymbiotic","control-0-x-0","30-x-Fed","30-x-Aposymbiotic","30-x-0","Fed-x-Aposymbiotic","Fed-x-0","Aposymbiotic-x-0","control-0-x-30-x-Fed","control-0-x-30-x-Aposymbiotic","control-0-x-30-x-0","control-0-x-Fed-x-Aposymbiotic","control-0-x-Fed-x-0","control-0-x-Aposymbiotic-x-0","30-x-Fed-x-Aposymbiotic","30-x-Fed-x-0","30-x-Aposymbiotic-x-0","Fed-x-Aposymbiotic-x-0","control-0-x-30-x-Fed-x-Aposymbiotic","control-0-x-30-x-Fed-x-0","control-0-x-30-x-Aposymbiotic-x-0","control-0-x-Fed-x-Aposymbiotic-x-0","30-x-Fed-x-Aposymbiotic-x-0","control-0-x-30-x-Fed-x-Aposymbiotic-x-0"
"22",144,"A_0_30_F_S",0,0.036414468,"Ammonium","0","30","Fed","Symbiotic","control-0","Ammonium_control-0_30_Fed_Symbiotic","control-0-x-30","control-0-x-Fed","control-0-x-Symbiotic","control-0-x-0","30-x-Fed","30-x-Symbiotic","30-x-0","Fed-x-Symbiotic","Fed-x-0","Symbiotic-x-0","control-0-x-30-x-Fed","control-0-x-30-x-Symbiotic","control-0-x-30-x-0","control-0-x-Fed-x-Symbiotic","control-0-x-Fed-x-0","control-0-x-Symbiotic-x-0","30-x-Fed-x-Symbiotic","30-x-Fed-x-0","30-x-Symbiotic-x-0","Fed-x-Symbiotic-x-0","control-0-x-30-x-Fed-x-Symbiotic","control-0-x-30-x-Fed-x-0","control-0-x-30-x-Symbiotic-x-0","control-0-x-Fed-x-Symbiotic-x-0","30-x-Fed-x-Symbiotic-x-0","control-0-x-30-x-Fed-x-Symbiotic-x-0"
"23",155,"A_0_30_F_S",1,0.036166859,"Ammonium","0","30","Fed","Symbiotic","control-0","Ammonium_control-0_30_Fed_Symbiotic","control-0-x-30","control-0-x-Fed","control-0-x-Symbiotic","control-0-x-1","30-x-Fed","30-x-Symbiotic","30-x-1","Fed-x-Symbiotic","Fed-x-1","Symbiotic-x-1","control-0-x-30-x-Fed","control-0-x-30-x-Symbiotic","control-0-x-30-x-1","control-0-x-Fed-x-Symbiotic","control-0-x-Fed-x-1","control-0-x-Symbiotic-x-1","30-x-Fed-x-Symbiotic","30-x-Fed-x-1","30-x-Symbiotic-x-1","Fed-x-Symbiotic-x-1","control-0-x-30-x-Fed-x-Symbiotic","control-0-x-30-x-Fed-x-1","control-0-x-30-x-Symbiotic-x-1","control-0-x-Fed-x-Symbiotic-x-1","30-x-Fed-x-Symbiotic-x-1","control-0-x-30-x-Fed-x-Symbiotic-x-1"
"24",155,"A_0_30_S_A",1,0.082548858,"Ammonium","0","30","Starved","Aposymbiotic","control-0","Ammonium_control-0_30_Starved_Aposymbiotic","control-0-x-30","control-0-x-Starved","control-0-x-Aposymbiotic","control-0-x-1","30-x-Starved","30-x-Aposymbiotic","30-x-1","Starved-x-Aposymbiotic","Starved-x-1","Aposymbiotic-x-1","control-0-x-30-x-Starved","control-0-x-30-x-Aposymbiotic","control-0-x-30-x-1","control-0-x-Starved-x-Aposymbiotic","control-0-x-Starved-x-1","control-0-x-Aposymbiotic-x-1","30-x-Starved-x-Aposymbiotic","30-x-Starved-x-1","30-x-Aposymbiotic-x-1","Starved-x-Aposymbiotic-x-1","control-0-x-30-x-Starved-x-Aposymbiotic","control-0-x-30-x-Starved-x-1","control-0-x-30-x-Aposymbiotic-x-1","control-0-x-Starved-x-Aposymbiotic-x-1","30-x-Starved-x-Aposymbiotic-x-1","control-0-x-30-x-Starved-x-Aposymbiotic-x-1"
"25",154,"A_0_30_S_A",0,0.040639849,"Ammonium","0","30","Starved","Aposymbiotic","control-0","Ammonium_control-0_30_Starved_Aposymbiotic","control-0-x-30","control-0-x-Starved","control-0-x-Aposymbiotic","control-0-x-0","30-x-Starved","30-x-Aposymbiotic","30-x-0","Starved-x-Aposymbiotic","Starved-x-0","Aposymbiotic-x-0","control-0-x-30-x-Starved","control-0-x-30-x-Aposymbiotic","control-0-x-30-x-0","control-0-x-Starved-x-Aposymbiotic","control-0-x-Starved-x-0","control-0-x-Aposymbiotic-x-0","30-x-Starved-x-Aposymbiotic","30-x-Starved-x-0","30-x-Aposymbiotic-x-0","Starved-x-Aposymbiotic-x-0","control-0-x-30-x-Starved-x-Aposymbiotic","control-0-x-30-x-Starved-x-0","control-0-x-30-x-Aposymbiotic-x-0","control-0-x-Starved-x-Aposymbiotic-x-0","30-x-Starved-x-Aposymbiotic-x-0","control-0-x-30-x-Starved-x-Aposymbiotic-x-0"
"26",144,"A_0_30_S_S",1,0.046742469,"Ammonium","0","30","Starved","Symbiotic","control-0","Ammonium_control-0_30_Starved_Symbiotic","control-0-x-30","control-0-x-Starved","control-0-x-Symbiotic","control-0-x-1","30-x-Starved","30-x-Symbiotic","30-x-1","Starved-x-Symbiotic","Starved-x-1","Symbiotic-x-1","control-0-x-30-x-Starved","control-0-x-30-x-Symbiotic","control-0-x-30-x-1","control-0-x-Starved-x-Symbiotic","control-0-x-Starved-x-1","control-0-x-Symbiotic-x-1","30-x-Starved-x-Symbiotic","30-x-Starved-x-1","30-x-Symbiotic-x-1","Starved-x-Symbiotic-x-1","control-0-x-30-x-Starved-x-Symbiotic","control-0-x-30-x-Starved-x-1","control-0-x-30-x-Symbiotic-x-1","control-0-x-Starved-x-Symbiotic-x-1","30-x-Starved-x-Symbiotic-x-1","control-0-x-30-x-Starved-x-Symbiotic-x-1"
"27",157,"A_0_30_S_S",0,0.09676817,"Ammonium","0","30","Starved","Symbiotic","control-0","Ammonium_control-0_30_Starved_Symbiotic","control-0-x-30","control-0-x-Starved","control-0-x-Symbiotic","control-0-x-0","30-x-Starved","30-x-Symbiotic","30-x-0","Starved-x-Symbiotic","Starved-x-0","Symbiotic-x-0","control-0-x-30-x-Starved","control-0-x-30-x-Symbiotic","control-0-x-30-x-0","control-0-x-Starved-x-Symbiotic","control-0-x-Starved-x-0","control-0-x-Symbiotic-x-0","30-x-Starved-x-Symbiotic","30-x-Starved-x-0","30-x-Symbiotic-x-0","Starved-x-Symbiotic-x-0","control-0-x-30-x-Starved-x-Symbiotic","control-0-x-30-x-Starved-x-0","control-0-x-30-x-Symbiotic-x-0","control-0-x-Starved-x-Symbiotic-x-0","30-x-Starved-x-Symbiotic-x-0","control-0-x-30-x-Starved-x-Symbiotic-x-0"
