"e_coli_plate","N_species","N","resp_rate_abs","sd","se","ci"
"0","CNTRL",44,0.0041975,0.00194410274037055,0.00029308451562322,0.000591061256371812
"0","N",60,0.00422216666666667,0.00159750132401385,0.000206236534114997,0.000412678351557053
"0","A",70,0.00436714285714286,0.00226721059726254,0.00027098349692343,0.000540597284757123
"1","CNTRL",47,0.00431744680851064,0.00160888088040307,0.000234679395941119,0.000472385123246948
"1","N",56,0.00478821428571429,0.00171386761676397,0.000229025193864913,0.000458976745006764
"1","A",71,0.00522732394366197,0.00228405088618976,0.000271066969811142,0.000540626024366702
