date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,stand_beetag,peg_beetag,exp_beetag,exp_num,exp_subrun,beetag_exprun,exp_startdate,N_species,N_dose,temp,food,sym_state,treat_ID,N_species_dose,PES_day2,PES_day6,PES_day10
06_22_22,06_24_22,160,G,160G,110,5,B31,G77,B31G77,1,A,B31G77_exp1A,7_15_22,A,0,30,F,A,A_0_30_F_A,A_0,2,4,2
06_22_22,06_24_22,152,L,152L,103,13,B31,G80,B31G80,1,A,B31G80_exp1A,7_15_22,A,0,30,F,S,A_0_30_F_S,A_0,3,4,2
06_29_22,06_30_22,167,G,167G,113,14,B13,G10,B13G10,1,B,B13G10_exp1B,7_17_22,A,0,30,F,S,A_0_30_F_S,A_0,4,4,2
06_29_22,07_01_22,198,G,198G,133,15,B28,G62,B28G62,2,A,B28G62_exp2A,8_4_22,A,0,30,F,S,A_0_30_F_S,A_0,3,4,2
06_29_22,07_07_22,231,C,231C,150,8,B23,G35,B23G35,2,A,B23G35_exp2A,8_4_22,A,0,20,F,A,A_0_20_F_A,A_0,4,4,2
08_01_22,8_05_22,245,D,245D,168,15,W3,O14,W3O14,3,B,W3O14_exp3B,08_25_22,A,0,30,F,A,A_0_30_F_A,A_0,1,4,2
06_29_22,07_07_22,220,E,220E,144,11,R11,W54,R11W54,2,A,R11W54_exp2A,8_4_22,A,10,20,F,S,A_10_20_F_S,A_10,2,4,2
06_29_22,06_30_22,196,B,196B,131,11,R11,W50,R11W50,2,A,R11W50_exp2A,8_4_22,A,10,20,F,A,A_10_20_F_A,A_10,3,4,2
08_01_22,8_05_22,249,B,249B,170,16,O22,W46,O22W46,3,B,O22W46_exp3B,08_25_22,A,10,20,S,S,A_10_20_S_S,A_10,3,4,2
06_22_22,06_24_22,157,F,157F,107,6,G27,Y59,G27Y59,1,A,G27Y59_exp1A,7_15_22,A,5,20,S,S,A_5_20_S_S,A_5,2,4,2
06_22_22,06_24_22,152,R,152R,104,3,G36,Y22,G36Y22,1,A,G36Y22_exp1A,7_15_22,A,5,20,F,A,A_5_20_F_A,A_5,1,4,2
06_29_22,06_30_22,167,Q,167Q,114,8,G38,Y37,G38Y37,1,B,G38Y37_exp1B,7_17_22,A,5,20,S,S,A_5_20_S_S,A_5,4,4,2
06_29_22,07_01_22,197,C,197C,133,3,G32,Y87,G32Y87,2,A,G32Y87_exp2A,8_4_22,A,5,20,S,A,A_5_20_S_A,A_5,3,4,2
06_29_22,06_30_22,170,O,170O,118,2,G29,Y70,G29Y70,2,B,G29Y70_exp2B,8_9_22,A,5,30,F,A,A_5_30_F_A,A_5,3,4,2
06_22_22,06_24_22,157,G,157G,107,7,Y17,B94,Y17B94,1,A,Y17B94_exp1A,7_15_22,A,7.5,20,S,S,A_7.5_20_S_S,A_7.5,1,4,2
06_22_22,06_24_22,157,K,157K,107,11,Y21,B5437,Y21B5437,1,A,Y21B5437_exp1A,7_15_22,A,7.5,30,S,S,A_7.5_30_S_S,A_7.5,3,4,2
06_22_22,06_24_22,153,K,153K,104,15,Y21,B6232,Y21B6232,1,A,Y21B6232_exp1A,7_15_22,A,7.5,30,S,S,A_7.5_30_S_S,A_7.5,4,4,2
06_29_22,06_30_22,167,T,167T,114,11,Y23,B1927,Y23B1927,1,B,Y23B1927_exp1B,7_17_22,A,7.5,20,S,S,A_7.5_20_S_S,A_7.5,4,4,2
06_29_22,07_05_22,210,G,210G,140,12,Y20,B97,Y20B97,2,A,Y20B97_exp2A,8_4_22,A,7.5,30,F,A,A_7.5_30_F_A,A_7.5,2,4,2
06_29_22,06_30_22,196,G,196G,131,16,Y20,B95,Y20B95,2,A,Y20B95_exp2A,8_4_22,A,7.5,30,F,A,A_7.5_30_F_A,A_7.5,4,4,2
06_29_22,07_01_22,200,A,200A,134,11,Y21,B2759,Y21B2759,2,B,Y21B2759_exp2B,8_9_22,A,7.5,30,S,S,A_7.5_30_S_S,A_7.5,2,4,2
06_22_37,07_31_37,236,D,236D,153,16,Y7,B40,Y7B40,3,A,Y7B40_exp3A,08_21_22,A,7.5,20,S,A,A_7.5_20_S_A,A_7.5,3,4,2
