date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,stand_beetag,peg_beetag,exp_beetag,exp_num,exp_subrun,beetag_exprun,exp_startdate,N_species,N_dose,temp,food,sym_state,treat_ID,N_species_dose,PES_day2,PES_day6,PES_day10
06_29_22,06_30_22,167,F,167F,113,13,G35,Y12,G35Y12,1,B,G35Y12_exp1B,7_17_22,A,5,20,F,A,A_5_20_F_A,A_5,3,4,4
06_29_22,06_30_22,178,C,178C,122,16,G35,Y14,G35Y14,1,B,G35Y14_exp1B,7_17_22,A,5,20,F,A,A_5_20_F_A,A_5,4,4,4
06_29_22,06_30_22,184,N,184N,126,12,G35,Y21,G35Y21,1,B,G35Y21_exp1B,7_17_22,A,5,20,F,A,A_5_20_F_A,A_5,2,4,4
06_29_22,06_30_22,168,R,168R,116,4,G38,Y34,G38Y34,1,B,G38Y34_exp1B,7_17_22,A,5,20,S,A,A_5_20_S_A,A_5,4,4,4
06_29_22,06_30_22,182,C,182C,124,10,G38,Y38,G38Y38,1,B,G38Y38_exp1B,7_17_22,A,5,20,S,S,A_5_20_S_S,A_5,3,4,4
06_29_22,06_30_22,167,J,167J,114,1,G33,Y100,G33Y100,1,B,G33Y100_exp1B,7_17_22,A,5,30,F,S,A_5_30_F_S,A_5,4,4,4
06_29_22,06_30_22,169,E,169E,116,9,Y12,B62,Y12B62,1,B,Y12B62_exp1B,7_17_22,A,5,30,S,A,A_5_30_S_A,A_5,4,4,4
06_22_22,06_24_22,154,B,154B,105,13,Y17,B90,Y17B90,1,A,Y17B90_exp1A,7_15_22,A,7.5,20,S,A,A_7.5_20_S_A,A_7.5,2,4,4
06_29_22,06_30_22,167,H,167H,113,15,Y20,B21,Y20B21,1,B,Y20B21_exp1B,7_17_22,A,7.5,20,F,A,A_7.5_20_F_A,A_7.5,3,4,4
06_29_22,06_30_22,169,A,169A,116,5,Y23,B2009,Y23B2009,1,B,Y23B2009_exp1B,7_17_22,A,7.5,20,S,A,A_7.5_20_S_A,A_7.5,4,4,4
06_29_22,06_30_22,167,R,167R,114,9,Y3,B25,Y3B25,1,B,Y3B25_exp1B,7_17_22,A,7.5,30,F,A,A_7.5_30_F_A,A_7.5,4,4,4
