"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"0","0.0835395349277585","-0.0855908693091168","-0.0637524797250935","-0.122391927449573","-0.0651563610831201","-0.0868999682719199","-0.101928815911695","-0.122457266411241","-0.0715716633110665","-0.132756194722355","-0.0938815208021913","-0.0623428319632946","-0.0616594379614624","-0.0877801929758344","-0.0540433636342246","-0.103298258809731","-0.0540084664904715","-0.241147624484374","-0.126930458844035","-0.0473229274583247","-0.0621560417042448","-0.0847389699461738","NA"
