num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
8,7_26_22,1,B,1,0,D2,D2,-0.00427,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B13G10,1B,B13G10_exp1B,167,33,0
8,09_01_22,3,A,1,1,D2,D2,-0.00402,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B28G60,3A,B28G60_exp3A,237,135,0
8,09_05_22,3,B,1,0,D2,D2,-0.00511,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W3O15,3B,W3O15_exp3B,248,188,0
9,7_26_22,1,A,1,1,A3,A3,-0.00579,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G82,1A,B31G82_exp1A,155,6,0
9,08_20_22,2,B,1,1,A3,A3,-0.00502,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B33G95,2B,B33G95_exp2B,226,103,0
9,08_15_22,2,A,1,0,A3,A3,-0.00312,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B29G64,2A,B29G64_exp2A,198,72,0
9,7_26_22,1,B,1,1,A3,A3,-0.00264,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B13G13,1B,B13G13_exp1B,178,33,0
9,09_05_22,3,B,1,1,A3,A3,-0.0032,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W3O17,3B,W3O17_exp3B,252,188,0
9,7_26_22,1,A,1,0,A3,A3,-0.00826,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B33G95,1A,B33G95_exp1A,157,7,0
9,09_05_22,3,B,1,0,A3,A3,-0.00431,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,W4O21,3B,W4O21_exp3B,242,189,0
