"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"0","-0.06821893450135","-0.130090147206939","-0.302579969621177","-0.0966142977982432","-0.420508984267023","-0.0858896630817902","-0.138786974832621","-0.131315329725629","-0.112870716226944","-0.0795333010929795","-0.0899599434593626","-0.0759426260881678","-0.0460148248139856","-0.113263848643151","-0.232198438304293","-0.088364596972133","-0.109767766631806","-0.132338840047282","-0.115291612454425","-0.0724828524489516","-0.573280226925857","-0.089381282573854","NA"
