"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"NA","-0.0842203567912416","-0.0300109704341666","-0.0446568683775231","-0.0440371755182251","-0.028637708681824","-0.0364144678928086","-0.0967681695753985","-0.0406398489615211","-0.119251702507212","-0.0475307623191712","-0.119314859521644","-0.0726826756748709","-0.0415884410552491","-0.0560362159910116","-0.0355815216812611","-0.0648810315181435","-0.0981708375566892","-0.0652687283922796","-0.0865724760252069","-0.0920862024590529","-0.0549865633352266","-0.105430925273274",NA
