col_num,treat_ID_full,PAM_delta,pam_percent_change,NO3_category,dose_level,temp,feed,symbiont,new_treat_ID_full,dose_level_x_temp,dose_level_x_feed,dose_level_x_symbiont,temp_x_feed,temp_x_symbiont,feed_x_symbiont,dose_level_x_temp_x_feed,dose_level_x_temp_x_symbiont,dose_level_x_feed_x_symbiont,temp_x_feed_x_symbiont,dose_level_x_temp_x_feed_x_symbiont
175,N_0_20_F_S,-0.312,-0.656842105,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic,Low-x-20,Low-x-Fed,Low-x-Symbiotic,20-x-Fed,20-x-Symbiotic,Fed-x-Symbiotic,Low-x-20-x-Fed,Low-x-20-x-Symbiotic,Low-x-Fed-x-Symbiotic,20-x-Fed-x-Symbiotic,Low-x-20-x-Fed-x-Symbiotic
240,A_10_29_F_S,-0.315,-0.972222222,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,29-x-Fed,29-x-Symbiotic,Fed-x-Symbiotic,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-Fed-x-Symbiotic,29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-Symbiotic
182,A_0_20_S_S,-0.317,-0.738927739,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic,Low-x-20,Low-x-Starved,Low-x-Symbiotic,20-x-Starved,20-x-Symbiotic,Starved-x-Symbiotic,Low-x-20-x-Starved,Low-x-20-x-Symbiotic,Low-x-Starved-x-Symbiotic,20-x-Starved-x-Symbiotic,Low-x-20-x-Starved-x-Symbiotic
208,N_1.5_20_S_S,-0.319,-0.634194831,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic,Low-x-20,Low-x-Starved,Low-x-Symbiotic,20-x-Starved,20-x-Symbiotic,Starved-x-Symbiotic,Low-x-20-x-Starved,Low-x-20-x-Symbiotic,Low-x-Starved-x-Symbiotic,20-x-Starved-x-Symbiotic,Low-x-20-x-Starved-x-Symbiotic
252,A_0_29_F_S,-0.32,-0.595903166,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,29-x-Fed,29-x-Symbiotic,Fed-x-Symbiotic,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-Fed-x-Symbiotic,29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-Symbiotic
218,N_5_29_S_S,-0.32,-0.685224839,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic,Elevated-x-29,Elevated-x-Starved,Elevated-x-Symbiotic,29-x-Starved,29-x-Symbiotic,Starved-x-Symbiotic,Elevated-x-29-x-Starved,Elevated-x-29-x-Symbiotic,Elevated-x-Starved-x-Symbiotic,29-x-Starved-x-Symbiotic,Elevated-x-29-x-Starved-x-Symbiotic
252,A_5_20_S_S,-0.321,-0.546848382,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic,Low-x-20,Low-x-Starved,Low-x-Symbiotic,20-x-Starved,20-x-Symbiotic,Starved-x-Symbiotic,Low-x-20-x-Starved,Low-x-20-x-Symbiotic,Low-x-Starved-x-Symbiotic,20-x-Starved-x-Symbiotic,Low-x-20-x-Starved-x-Symbiotic
197,A_7.5_20_S_A,-0.321,-0.664596273,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
192,A_7.5_20_F_S,-0.322,-0.899441341,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic,Low-x-20,Low-x-Fed,Low-x-Symbiotic,20-x-Fed,20-x-Symbiotic,Fed-x-Symbiotic,Low-x-20-x-Fed,Low-x-20-x-Symbiotic,Low-x-Fed-x-Symbiotic,20-x-Fed-x-Symbiotic,Low-x-20-x-Fed-x-Symbiotic
234,A_0_20_F_A,-0.326,-0.686315789,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,20-x-Fed,20-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-Aposymbiotic
