col_num,treat_ID_full,e_coli,abs_resp_rate_SA_corr,NO3_category,dose_level,temp,feed,symbiont,new_treat_ID_full,dose_level_x_temp,dose_level_x_feed,dose_level_x_symbiont,dose_level_x_e_coli,temp_x_feed,temp_x_symbiont,temp_x_e_coli,feed_x_symbiont,feed_x_e_coli,symbiont_x_e_coli,dose_level_x_temp_x_feed,dose_level_x_temp_x_symbiont,dose_level_x_temp_x_e_coli,dose_level_x_feed_x_symbiont,dose_level_x_feed_x_e_coli,dose_level_x_symbiont_x_e_coli,temp_x_feed_x_symbiont,temp_x_feed_x_e_coli,temp_x_symbiont_x_e_coli,feed_x_symbiont_x_e_coli,dose_level_x_temp_x_feed_x_symbiont,dose_level_x_temp_x_feed_x_e_coli,dose_level_x_temp_x_symbiont_x_e_coli,dose_level_x_feed_x_symbiont_x_e_coli,temp_x_feed_x_symbiont_x_e_coli,dose_level_x_temp_x_feed_x_symbiont_x_e_coli
153,N_5_29_F_S,1,0.063307962,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,Low-x-1,29-x-Fed,29-x-Symbiotic,29-x-1,Fed-x-Symbiotic,Fed-x-1,Symbiotic-x-1,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-29-x-1,Low-x-Fed-x-Symbiotic,Low-x-Fed-x-1,Low-x-Symbiotic-x-1,29-x-Fed-x-Symbiotic,29-x-Fed-x-1,29-x-Symbiotic-x-1,Fed-x-Symbiotic-x-1,Low-x-29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-1,Low-x-29-x-Symbiotic-x-1,Low-x-Fed-x-Symbiotic-x-1,29-x-Fed-x-Symbiotic-x-1,Low-x-29-x-Fed-x-Symbiotic-x-1
184,N_5_20_S_A,1,0.063307991,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,Low-x-1,20-x-Starved,20-x-Aposymbiotic,20-x-1,Starved-x-Aposymbiotic,Starved-x-1,Aposymbiotic-x-1,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-20-x-1,Low-x-Starved-x-Aposymbiotic,Low-x-Starved-x-1,Low-x-Aposymbiotic-x-1,20-x-Starved-x-Aposymbiotic,20-x-Starved-x-1,20-x-Aposymbiotic-x-1,Starved-x-Aposymbiotic-x-1,Low-x-20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-1,Low-x-20-x-Aposymbiotic-x-1,Low-x-Starved-x-Aposymbiotic-x-1,20-x-Starved-x-Aposymbiotic-x-1,Low-x-20-x-Starved-x-Aposymbiotic-x-1
237,N_0_20_F_A,0,0.063596661,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,Low-x-0,20-x-Fed,20-x-Aposymbiotic,20-x-0,Fed-x-Aposymbiotic,Fed-x-0,Aposymbiotic-x-0,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-20-x-0,Low-x-Fed-x-Aposymbiotic,Low-x-Fed-x-0,Low-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic,20-x-Fed-x-0,20-x-Aposymbiotic-x-0,Fed-x-Aposymbiotic-x-0,Low-x-20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-0,Low-x-20-x-Aposymbiotic-x-0,Low-x-Fed-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic-x-0,Low-x-20-x-Fed-x-Aposymbiotic-x-0
165,N_5_29_F_A,0,0.06375248,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,Low-x-0,29-x-Fed,29-x-Aposymbiotic,29-x-0,Fed-x-Aposymbiotic,Fed-x-0,Aposymbiotic-x-0,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-29-x-0,Low-x-Fed-x-Aposymbiotic,Low-x-Fed-x-0,Low-x-Aposymbiotic-x-0,29-x-Fed-x-Aposymbiotic,29-x-Fed-x-0,29-x-Aposymbiotic-x-0,Fed-x-Aposymbiotic-x-0,Low-x-29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-0,Low-x-29-x-Aposymbiotic-x-0,Low-x-Fed-x-Aposymbiotic-x-0,29-x-Fed-x-Aposymbiotic-x-0,Low-x-29-x-Fed-x-Aposymbiotic-x-0
152,A_10_20_F_S,1,0.064021807,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic,Low-x-20,Low-x-Fed,Low-x-Symbiotic,Low-x-1,20-x-Fed,20-x-Symbiotic,20-x-1,Fed-x-Symbiotic,Fed-x-1,Symbiotic-x-1,Low-x-20-x-Fed,Low-x-20-x-Symbiotic,Low-x-20-x-1,Low-x-Fed-x-Symbiotic,Low-x-Fed-x-1,Low-x-Symbiotic-x-1,20-x-Fed-x-Symbiotic,20-x-Fed-x-1,20-x-Symbiotic-x-1,Fed-x-Symbiotic-x-1,Low-x-20-x-Fed-x-Symbiotic,Low-x-20-x-Fed-x-1,Low-x-20-x-Symbiotic-x-1,Low-x-Fed-x-Symbiotic-x-1,20-x-Fed-x-Symbiotic-x-1,Low-x-20-x-Fed-x-Symbiotic-x-1
240,A_5_20_S_S,0,0.064168411,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic,Low-x-20,Low-x-Starved,Low-x-Symbiotic,Low-x-0,20-x-Starved,20-x-Symbiotic,20-x-0,Starved-x-Symbiotic,Starved-x-0,Symbiotic-x-0,Low-x-20-x-Starved,Low-x-20-x-Symbiotic,Low-x-20-x-0,Low-x-Starved-x-Symbiotic,Low-x-Starved-x-0,Low-x-Symbiotic-x-0,20-x-Starved-x-Symbiotic,20-x-Starved-x-0,20-x-Symbiotic-x-0,Starved-x-Symbiotic-x-0,Low-x-20-x-Starved-x-Symbiotic,Low-x-20-x-Starved-x-0,Low-x-20-x-Symbiotic-x-0,Low-x-Starved-x-Symbiotic-x-0,20-x-Starved-x-Symbiotic-x-0,Low-x-20-x-Starved-x-Symbiotic-x-0
247,A_0_20_F_S,0,0.064186463,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic,Low-x-20,Low-x-Fed,Low-x-Symbiotic,Low-x-0,20-x-Fed,20-x-Symbiotic,20-x-0,Fed-x-Symbiotic,Fed-x-0,Symbiotic-x-0,Low-x-20-x-Fed,Low-x-20-x-Symbiotic,Low-x-20-x-0,Low-x-Fed-x-Symbiotic,Low-x-Fed-x-0,Low-x-Symbiotic-x-0,20-x-Fed-x-Symbiotic,20-x-Fed-x-0,20-x-Symbiotic-x-0,Fed-x-Symbiotic-x-0,Low-x-20-x-Fed-x-Symbiotic,Low-x-20-x-Fed-x-0,Low-x-20-x-Symbiotic-x-0,Low-x-Fed-x-Symbiotic-x-0,20-x-Fed-x-Symbiotic-x-0,Low-x-20-x-Fed-x-Symbiotic-x-0
185,N_1.5_29_F_S,1,0.064213626,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,Low-x-1,29-x-Fed,29-x-Symbiotic,29-x-1,Fed-x-Symbiotic,Fed-x-1,Symbiotic-x-1,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-29-x-1,Low-x-Fed-x-Symbiotic,Low-x-Fed-x-1,Low-x-Symbiotic-x-1,29-x-Fed-x-Symbiotic,29-x-Fed-x-1,29-x-Symbiotic-x-1,Fed-x-Symbiotic-x-1,Low-x-29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-1,Low-x-29-x-Symbiotic-x-1,Low-x-Fed-x-Symbiotic-x-1,29-x-Fed-x-Symbiotic-x-1,Low-x-29-x-Fed-x-Symbiotic-x-1
167,A_5_20_F_A,0,0.064424359,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,Low-x-0,20-x-Fed,20-x-Aposymbiotic,20-x-0,Fed-x-Aposymbiotic,Fed-x-0,Aposymbiotic-x-0,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-20-x-0,Low-x-Fed-x-Aposymbiotic,Low-x-Fed-x-0,Low-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic,20-x-Fed-x-0,20-x-Aposymbiotic-x-0,Fed-x-Aposymbiotic-x-0,Low-x-20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-0,Low-x-20-x-Aposymbiotic-x-0,Low-x-Fed-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic-x-0,Low-x-20-x-Fed-x-Aposymbiotic-x-0
242,N_0_20_S_A,1,0.064425297,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,Low-x-1,20-x-Starved,20-x-Aposymbiotic,20-x-1,Starved-x-Aposymbiotic,Starved-x-1,Aposymbiotic-x-1,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-20-x-1,Low-x-Starved-x-Aposymbiotic,Low-x-Starved-x-1,Low-x-Aposymbiotic-x-1,20-x-Starved-x-Aposymbiotic,20-x-Starved-x-1,20-x-Aposymbiotic-x-1,Starved-x-Aposymbiotic-x-1,Low-x-20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-1,Low-x-20-x-Aposymbiotic-x-1,Low-x-Starved-x-Aposymbiotic-x-1,20-x-Starved-x-Aposymbiotic-x-1,Low-x-20-x-Starved-x-Aposymbiotic-x-1
242,N_0_29_F_A,1,0.064516721,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,Low-x-1,29-x-Fed,29-x-Aposymbiotic,29-x-1,Fed-x-Aposymbiotic,Fed-x-1,Aposymbiotic-x-1,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-29-x-1,Low-x-Fed-x-Aposymbiotic,Low-x-Fed-x-1,Low-x-Aposymbiotic-x-1,29-x-Fed-x-Aposymbiotic,29-x-Fed-x-1,29-x-Aposymbiotic-x-1,Fed-x-Aposymbiotic-x-1,Low-x-29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-1,Low-x-29-x-Aposymbiotic-x-1,Low-x-Fed-x-Aposymbiotic-x-1,29-x-Fed-x-Aposymbiotic-x-1,Low-x-29-x-Fed-x-Aposymbiotic-x-1
252,A_0_29_F_S,1,0.064537326,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,Low-x-1,29-x-Fed,29-x-Symbiotic,29-x-1,Fed-x-Symbiotic,Fed-x-1,Symbiotic-x-1,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-29-x-1,Low-x-Fed-x-Symbiotic,Low-x-Fed-x-1,Low-x-Symbiotic-x-1,29-x-Fed-x-Symbiotic,29-x-Fed-x-1,29-x-Symbiotic-x-1,Fed-x-Symbiotic-x-1,Low-x-29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-1,Low-x-29-x-Symbiotic-x-1,Low-x-Fed-x-Symbiotic-x-1,29-x-Fed-x-Symbiotic-x-1,Low-x-29-x-Fed-x-Symbiotic-x-1
212,N_1.5_29_S_A,1,0.064711383,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic,Elevated-x-29,Elevated-x-Starved,Elevated-x-Aposymbiotic,Elevated-x-1,29-x-Starved,29-x-Aposymbiotic,29-x-1,Starved-x-Aposymbiotic,Starved-x-1,Aposymbiotic-x-1,Elevated-x-29-x-Starved,Elevated-x-29-x-Aposymbiotic,Elevated-x-29-x-1,Elevated-x-Starved-x-Aposymbiotic,Elevated-x-Starved-x-1,Elevated-x-Aposymbiotic-x-1,29-x-Starved-x-Aposymbiotic,29-x-Starved-x-1,29-x-Aposymbiotic-x-1,Starved-x-Aposymbiotic-x-1,Elevated-x-29-x-Starved-x-Aposymbiotic,Elevated-x-29-x-Starved-x-1,Elevated-x-29-x-Aposymbiotic-x-1,Elevated-x-Starved-x-Aposymbiotic-x-1,29-x-Starved-x-Aposymbiotic-x-1,Elevated-x-29-x-Starved-x-Aposymbiotic-x-1
