col_num,treat_ID_full,red_delta,red_percent_change,NO3_category,dose_level,temp,feed,symbiont,new_treat_ID_full,dose_level_x_temp,dose_level_x_feed,dose_level_x_symbiont,temp_x_feed,temp_x_symbiont,feed_x_symbiont,dose_level_x_temp_x_feed,dose_level_x_temp_x_symbiont,dose_level_x_feed_x_symbiont,temp_x_feed_x_symbiont,dose_level_x_temp_x_feed_x_symbiont
209,A_0_20_F_A,0.516854889,0.374461111,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,20-x-Fed,20-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-Aposymbiotic
237,A_0_20_F_A,9.902472911,6.433174911,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,20-x-Fed,20-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-Aposymbiotic
184,N_0_20_S_A,-1.025545657,-0.608426938,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
231,A_0_20_F_A,-11.63227451,-13.74260803,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,20-x-Fed,20-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-Aposymbiotic
237,A_0_20_F_A,-9.782379302,-5.60886756,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,20-x-Fed,20-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-Aposymbiotic
152,A_0_20_F_A,-49.06936079,-23.04731982,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,20-x-Fed,20-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-Aposymbiotic
197,A_0_20_S_A,-8.276837584,-12.59348522,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
235,A_0_20_S_A,5.704781402,5.95673737,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
152,A_0_20_F_A,35.68396312,44.63979161,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,20-x-Fed,20-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-Aposymbiotic
210,A_0_20_S_A,-21.24293531,-11.43682732,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
