,row_number,exp_num,subrun,N_species,N_dose,temp,row_number.1,food,sym_state,treat_ID,beetag,image_day,beetag_day_concat,image_name,beetag_exprun_day,CoralR,CoralG,CoralB,RedR,RedG,RedB,GreenR,GreenG,GreenB,BlueR,BlueG,BlueB,Red,Green,Blue,QC_or_no
113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,40,1,B,A,5,30,40,F,S,A_5_30_F_S,G33Y1,1,G33Y1_day1,G33Y100_1B_day1.JPG,G33Y1_exp1B_day1,160.6052,116.2229,84.98863,212.709,45.45828,50.31833,106.8749,175.2072,64.93462,122.9336,159.7451,195.241,0.45804,0.36634,0.19541,1
116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,41,2,B,A,7.5,30,41,S,A,A_7.5_30_S_A,Y21B9940,1,Y21B9940_day1,Y21B99_2B_day1.JPG,Y21B9940_exp2B_day1,127.692,103.073,60.18411,212.8009,37.31273,47.7183,111.4772,162.9036,52.14577,160.6871,185.0171,203.7979,0.28377,0.43388,0.11785,1
119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,42,3,A,A,7.5,20,42,F,S,A_7.5_20_F_S,Y8B49,11,Y8B49_day11,Y8B49_3A_day11.JPG,Y8B49_exp3A_day11,153.4401,100.9823,84.00841,213.0059,33.33887,42.88608,107.9474,163.7437,51.65824,137.9164,166.0209,185.3173,0.4112,0.23676,0.29216,1
122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,43,3,B,A,7.5,30,43,F,A,A_7.5_30_F_A,W13O56,1,W13O56_day1,W13O56_3B_day1.JPG,W13O56_exp3B_day1,131.8101,106.195,76.21034,213.0612,46.11836,60.60071,98.7328,176.8065,74.71674,132.3976,180.3331,218.4082,0.36782,0.38841,0.11401,1
125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,44,1,A,A,10,30,44,F,A,A_10_30_F_A,R12W56,1,R12W56_day1,R12W56_1A_day1.JPG,R12W56_exp1A_day1,148.325,129.2051,114.9146,213.1136,59.40702,65.2785,103.802,160.5078,67.28735,139.1303,172.4784,200.6171,0.31145,0.28625,0.37546,1
128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,45,2,B,A,7.5,30,45,S,A,A_7.5_30_S_A,Y21B9940,11,Y21B9940_day11,Y21B99_2B_day11.JPG,Y21B9940_exp2B_day11,131.5107,114.6199,75.43584,213.3022,34.27051,45.28121,113.1264,173.6125,55.02902,141.0348,169.8616,191.4331,0.26283,0.39458,0.21846,1
131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,46,3,A,A,7.5,20,46,S,A,A_7.5_20_S_A,Y7B41,1,Y7B41_day1,O10G15_3B_day1.JPG,Y7B41_exp3A_day1,160.7479,148.0157,131.5878,213.7172,43.52858,52.32637,115.6157,185.5755,71.57958,152.6468,194.2345,225.4688,0.29519,0.28338,0.42515,1
134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,47,3,B,A,7.5,30,47,S,A,A_7.5_30_S_A,W14O62,1,W14O62_day1,W14O62_3B_day1.JPG,W14O62_exp3B_day1,181.4404,157.8016,132.5687,214.9141,38.01212,50.95303,99.93136,167.493,55.05903,139.6028,177.3535,204.9387,0.37463,0.37845,0.45205,1
137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,48,3,B,A,5,20,48,F,S,A_5_20_F_S,O10G21,1,O10G21_day1,O12Y5_3B_day1.JPG,O10G21_exp3B_day1,159.1059,95.71798,55.02717,237.2201,45.89036,54.37885,122.7985,185.565,53.99681,167.3122,191.3606,211.1246,0.45204,0.34678,0.055515,1
140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,49,1,A,A,0,20,49,S,S,CNTRL_20_S_S,B34G3106,11,B34G3106_day11,B34G31_1A_day11.JPG,B34G3106_exp1A_day11,116.3555,77.39575,60.27752,215.2112,42.09137,50.59732,99.18651,166.0542,65.42067,117.452,158.0639,197.3774,0.353,0.25135,0.13159,1
143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,50,3,B,A,10,30,50,F,A,A_10_30_F_A,W17O78,11,W17O78_day11,W16O73_3B_day11.JPG,W17O78_exp3B_day11,166.6239,145.9842,126.4051,215.3849,37.65466,53.19259,93.00662,157.8302,52.06992,110.6475,149.4807,184.4529,0.36234,0.39367,0.46968,1
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,51,2,B,A,7.5,30,51,S,A,A_7.5_30_S_A,Y21B5628,1,Y21B5628_day1,Y21B56_2B_day1.JPG,Y21B5628_exp2B_day1,154.8988,79.79021,71.51514,215.9142,42.66241,51.48137,116.2493,169.4819,56.44583,158.7941,183.6852,201.0151,0.50379,0.1412,0.1871,1
149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,52,1,A,A,10,30,52,S,S,A_10_30_S_S,R20W90,1,R20W90_day1,R20W90_1A_day1.JPG,R20W90_exp1A_day1,144.1867,107.3057,84.1547,215.937,56.90229,62.94809,107.5676,160.4218,65.61908,135.187,161.5948,186.1459,0.37436,0.32289,0.21167,1
152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,53,3,A,A,7.5,20,53,S,S,A_7.5_20_S_S,Y7B42,11,Y7B42_day11,Y7B42_3A_day11.JPG,Y7B42_exp3A_day11,171.3874,142.52,108.9328,216.0277,28.91632,45.65309,103.1549,158.793,44.6936,136.3935,161.3759,184.3841,0.33474,0.42511,0.40487,1
155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,54,1,A,A,7.5,30,54,S,A,A_7.5_30_S_A,Y21B9940,11,Y21B9940_day11,Y21B99_1A_day11.JPG,Y21B9940_exp1A_day11,149.7131,91.98053,53.91282,216.0706,22.14294,32.44082,101.3941,158.5983,38.82387,136.9892,163.9394,187.8283,0.42886,0.38145,0.13412,1
158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,55,3,A,A,7.5,20,55,S,A,A_7.5_20_S_A,Y7B41,11,Y7B41_day11,Y7B41_3A_day11.JPG,Y7B41_exp3A_day11,134.6362,104.3763,62.43488,216.445,31.12975,44.59187,108.3379,168.7649,48.70116,157.9609,186.1241,208.2482,0.31763,0.40999,0.13592,1
161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,56,1,B,A,7.5,20,56,S,S,A_7.5_20_S_S,Y23B1927,1,Y23B1927_day1,Y23B19_1B_day1.JPG,Y23B1927_exp1B_day1,137.6367,84.15504,63.29918,216.7402,54.33149,58.9005,106.5434,170.1498,60.53932,121.9112,157.7351,183.3146,0.44936,0.23758,0.12246,1
164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,57,2,B,A,7.5,30,57,S,S,A_7.5_30_S_S,Y21B2759,1,Y21B2759_day1,Y21B27_2B_day1.JPG,Y21B2759_exp2B_day1,149.6172,106.4396,61.09357,216.9256,37.44769,49.74955,112.5785,163.6046,58.61671,146.2452,169.3965,192.1951,0.38912,0.49208,0.067072,1
167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,58,3,B,A,7.5,30,58,F,A,A_7.5_30_F_A,W12O55,11,W12O55_day11,W12O55_3B_day11.JPG,W12O55_exp3B_day11,140.9539,98.42383,79.85507,217.0711,39.14188,69.2342,113.4285,188.6554,95.44872,131.7603,174.7375,226.8997,0.41293,0.37152,0.069657,1
170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,59,3,A,A,7.5,20,59,S,A,A_7.5_20_S_A,Y7B40,11,Y7B40_day11,Y7B40_3A_day11.JPG,Y7B40_exp3A_day11,141.1858,114.2269,66.1267,231.6673,46.56236,58.87585,113.2542,185.1901,68.1369,143.8944,187.2568,218.4388,0.34153,0.46439,0.065817,1
