,row_number,exp_num,subrun,N_species,N_dose,temp,row_number.1,food,sym_state,treat_ID,beetag,image_day,beetag_day_concat,image_name,beetag_exprun_day,CoralR,CoralG,CoralB,RedR,RedG,RedB,GreenR,GreenG,GreenB,BlueR,BlueG,BlueB,Red,Green,Blue,QC_or_no
319,109,1,B,A,5,30,109,F,S,A_5_30_F_S,G33Y100,11,G33Y100_day11,G33Y1_1B_day11.JPG,G33Y100_exp1B_day11,200.0636,133.76,77.59289,233.0117,39.51898,45.87224,91.9035,168.023,49.08776,129.3868,171.6439,206.6974,0.58035,0.53825,0.11877,1
320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,110,3,B,A,7.5,30,110,F,S,A_7.5_30_F_S,W13O58,11,W13O58_day11,W12O53_3B_day11.JPG,W13O58_exp3B_day11,167.5268,109.3069,71.76807,233.2781,42.66628,53.28662,103.1515,170.7462,56.86863,119.6773,156.3367,185.4826,0.47376,0.40615,0.1263,1
323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,111,1,A,A,10,30,111,S,S,A_10_30_S_S,R20W92,1,R20W92_day1,R20W92_1A_day1.JPG,R20W92_exp1A_day1,119.3315,76.73918,51.15623,236.3814,67.38253,71.59198,126.0126,182.8758,82.23354,146.6879,169.2336,189.6217,0.34659,0.27286,0.020593,1
326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,112,3,A,A,7.5,20,112,S,S,A_7.5_20_S_S,Y7B43,1,Y7B43_day1,O10G20_3B_day1.JPG,Y7B43_exp3A_day1,118.99,69.25221,57.33665,236.7281,52.04834,61.01031,110.1389,170.6229,54.88373,165.4747,192.8717,214.4162,0.33917,0.1537,0.13156,1
329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,113,1,A,A,0,20,113,S,S,CNTRL_20_S_S,B34G3310,1,B34G3310_day1,B34G33_1A_day1.JPG,B34G3310_exp1A_day1,112.8897,76.48869,52.86351,237.7277,45.42504,53.05253,100.5711,170.3175,49.25085,138.5145,176.929,213.2209,0.30252,0.24874,0.1152,1
332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,114,3,B,A,5,20,114,F,A,A_5_20_F_A,O10G15,1,O10G15_day1,O12Y2_3B_day1.JPG,O10G15_exp3B_day1,171.0907,164.5855,160.3583,238.5656,56.21833,66.37617,118.7308,195.4806,77.2641,160.9467,202.2542,234.0644,0.2458,0.20432,0.54795,1
335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,115,3,B,A,5,20,115,F,S,A_5_20_F_S,O10G17,11,O10G17_day11,O10G17_3B_day11.JPG,O10G17_exp3B_day11,132.0836,81.49308,61.30866,239.7089,46.48843,55.58351,108.8469,169.3575,49.57182,159.8023,189.3667,210.522,0.35339,0.2211,0.14586,1
338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,116,3,B,A,7.5,30,116,F,S,A_7.5_30_F_S,W13O59,11,W13O59_day11,W12O54_3B_day11.JPG,W13O59_exp3B_day11,150.7313,112.2672,82.3669,240.2233,50.40308,58.89588,115.9653,184.3358,67.76532,155.2145,188.9875,220.9814,0.35331,0.33085,0.17711,1
341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,117,3,B,A,10,30,117,F,S,A_10_30_F_S,W17O82,11,W17O82_day11,W16O76_3B_day11.JPG,W17O82_exp3B_day11,148.2524,98.91684,59.28432,240.3689,48.54275,56.18983,107.0586,173.872,56.23733,144.9553,175.2253,201.6898,0.40159,0.38013,0.076064,1
344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,118,2,B,A,0,30,118,S,S,CNTRL_30_S_S,B34G3409,1,B34G3409_day1,B34G34_2B_day1.JPG,B34G3409_exp2B_day1,68.591,42.7859,29.657,241.3127,73.60968,80.0731,128.0613,201.2822,89.16598,162.4343,204.0266,235.7501,0.21198,0.13057,0.0044147,1
347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,119,3,B,A,10,30,119,F,S,A_10_30_F_S,W17O80,1,W17O80_day1,W16O75_3B_day1.JPG,W17O80_exp3B_day1,163.0069,110.3072,73.65671,241.337,76.60637,85.91314,88.98111,173.7803,73.76368,157.6014,203.1681,239.9858,0.52955,0.41227,-0.0093714,1
350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,120,3,B,A,5,20,120,S,S,A_5_20_S_S,O11G26,1,O11G26_day1,O13Y8_3B_day1.JPG,O11G26_exp3B_day1,180.5842,133.9169,102.9114,241.7709,57.98049,67.47677,111.2315,180.5862,63.15965,140.3737,177.2583,206.1164,0.43894,0.35983,0.24533,1
353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,121,3,B,A,5,20,121,S,S,A_5_20_S_S,O11G22,11,O11G22_day11,O11G22_3B_day11.JPG,O11G22_exp3B_day11,177.8713,134.907,90.71764,241.7886,43.58168,55.24071,112.9477,172.4955,53.02437,147.6976,178.1434,202.1815,0.38722,0.45276,0.22415,1
356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,122,2,B,A,0,30,122,S,S,CNTRL_30_S_S,B34G3409,11,B34G3409_day11,B34G34_2B_day11.JPG,B34G3409_exp2B_day11,124.12,85.26861,49.73012,242.3379,72.54006,80.29337,134.0322,207.0552,100.199,163.1403,198.7893,229.4669,0.36329,0.34182,-0.059655,1
359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,123,3,A,A,7.5,20,123,S,S,A_7.5_20_S_S,Y7B43,11,Y7B43_day11,Y7B43_3A_day11.JPG,Y7B43_exp3A_day11,94.497,35.6368,28.1189,242.4684,42.64698,54.19404,129.26,183.8232,48.56039,173.9659,194.0376,209.18,0.32131,0.086491,0.031102,1
362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,124,3,B,A,7.5,30,124,S,S,A_7.5_30_S_S,W14O64,1,W14O64_day1,W14O64_3B_day1.JPG,W14O64_exp3B_day1,200.307,169.8416,142.7324,242.5931,67.57903,74.37647,126.1712,194.3188,90.16053,152.0313,188.6029,221.2255,0.40112,0.39577,0.34904,1
365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,125,3,B,A,7.5,30,125,F,A,A_7.5_30_F_A,W12O55,1,W12O55_day1,W12O55_3B_day1.JPG,W12O55_exp3B_day1,175.8922,128.3721,91.90348,243.3946,65.6022,73.02527,134.7944,204.6645,82.37593,163.9031,198.7931,225.3183,0.4336,0.35442,0.13778,1
368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,126,2,A,A,7.5,30,126,S,S,A_7.5_30_S_S,Y23B1026,1,Y23B1026_day1,Y23B1026_2A_day1.JPG,Y23B1026_exp2A_day1,130.7092,69.55503,43.01595,244.7599,51.15631,57.36594,108.1883,174.6078,50.73536,158.832,197.2311,223.0639,0.40542,0.24158,0.03363,1
371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,127,3,B,A,10,30,127,F,S,A_10_30_F_S,W17O82,1,W17O82_day1,W16O76_3B_day1.JPG,W17O82_exp3B_day1,139.3254,90.74327,56.14595,244.8098,66.37372,74.04798,141.595,210.9432,86.87489,183.9785,215.6444,239.3669,0.3909,0.30369,0.0034158,1
374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,128,3,B,A,5,20,128,S,A,A_5_20_S_A,O11G24,11,O11G24_day11,O11G24_3B_day11.JPG,O11G24_exp3B_day11,148.9382,85.07436,49.49206,245.0363,48.07346,59.06895,124.9915,182.9911,58.33136,156.5626,179.3642,201.47,0.42377,0.32753,0.026582,1
377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,129,3,B,A,7.5,30,129,S,S,A_7.5_30_S_S,W14O65,1,W14O65_day1,W14O65_3B_day1.JPG,W14O65_exp3B_day1,177.9618,125.3239,91.01446,247.3715,68.1525,75.52271,145.1413,214.2586,91.34113,182.6489,215.9826,241.8467,0.44198,0.32958,0.11383,1
380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,130,3,B,A,5,20,130,S,S,A_5_20_S_S,O11G22,1,O11G22_day1,O13Y10_3B_day1.JPG,O11G22_exp3B_day1,185.6258,139.1938,97.2975,247.7472,55.07523,67.70234,126.4435,190.4424,71.17303,174.0152,200.9803,224.3208,0.40781,0.42863,0.17466,1
383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,131,3,B,A,5,20,131,F,S,A_5_20_F_S,O10G20,1,O10G20_day1,O12Y4_3B_day1.JPG,O10G20_exp3B_day1,182.7171,97.60672,67.87397,248.0324,61.37562,70.03705,143.3953,214.4738,83.36353,181.9066,215.9602,241.6162,0.56291,0.26885,0.024986,1
386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,132,3,A,A,5,20,132,F,S,A_5_20_F_S,G30Y78,1,G30Y78_day1,G30Y78_3A_day1.JPG,G30Y78_exp3A_day1,82.2932,39.3095,25.443,248.273,69.70748,76.26433,134.472,190.0325,89.35265,154.5466,185.5684,211.467,0.27868,0.14519,-0.041536,1
389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,133,3,B,A,10,30,133,S,A,A_10_30_S_A,W1O5,1,W1O5_day1,W1O5_3B_day1.JPG,W1O5_exp3B_day1,163.4306,105.4053,83.64372,249.5566,71.66987,75.72063,147.0817,211.928,80.99613,164.7489,196.1843,216.7856,0.42897,0.20458,0.15957,1
392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,134,3,B,A,5,20,134,S,S,A_5_20_S_S,O11G25,1,O11G25_day1,O13Y7_3B_day1.JPG,O11G25_exp3B_day1,179.9436,125.5902,90.78452,250.0354,67.32705,76.51143,130.7064,204.5438,88.80976,179.137,208.4854,230.266,0.45842,0.35675,0.10434,1
395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,135,3,B,A,5,20,135,F,S,A_5_20_F_S,O10G17,1,O10G17_day1,O12Y3_3B_day1.JPG,O10G17_exp3B_day1,159.8586,100.2682,66.44319,250.8691,62.5618,69.45519,145.3323,212.2788,79.54905,185.4782,214.964,236.8368,0.42761,0.28674,0.058831,1
398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,136,3,B,A,5,20,136,S,A,A_5_20_S_A,O11G23,1,O11G23_day1,O13Y11_3B_day1.JPG,O11G23_exp3B_day1,151.6812,138.0844,117.8786,252.3838,62.42053,70.89964,138.9718,200.7358,70.59457,180.6204,205.3201,224.0814,0.19578,0.22472,0.39331,1
401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,137,3,B,A,7.5,30,137,S,A,A_7.5_30_S_A,W13O60,1,W13O60_day1,W13O60_3B_day1.JPG,W13O60_exp3B_day1,175.3147,107.2691,57.16967,252.6435,75.46314,83.8485,156.3653,227.3269,97.59675,177.398,210.8102,233.8738,0.5236,0.4004,-0.11037,1
404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,138,3,B,A,7.5,30,138,F,S,A_7.5_30_F_S,W13O58,1,W13O58_day1,W13O58_3B_day1.JPG,W13O58_exp3B_day1,181.3316,104.1826,55.38618,252.8477,71.43001,76.13482,159.0034,215.0712,92.35608,188.1357,205.8715,215.449,0.54117,0.40982,-0.10984,1
407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,139,3,B,A,7.5,30,139,F,S,A_7.5_30_F_S,W13O59,1,W13O59_day1,W13O59_3B_day1.JPG,W13O59_exp3B_day1,151.6562,111.1338,71.23675,253.1623,81.57002,87.06909,143.7179,211.9743,90.63171,185.3804,217.5098,242.8161,0.38075,0.35141,0.025684,1
410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,140,3,B,A,5,20,140,S,A,A_5_20_S_A,O11G24,1,O11G24_day1,O13Y12_3B_day1.JPG,O11G24_exp3B_day1,167.4517,106.2358,60.83034,253.4453,83.28534,89.05036,141.6715,214.6625,95.17579,198.4702,229.183,253.2513,0.51064,0.38752,-0.084996,0
413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,141,1,A,A,0,20,141,F,A,CNTRL_20_F_A,B24G38,1,B24G38_day1,B24G38_1A_day1.JPG,B24G38_exp1A_day1,178.7101,132.136,97.51402,174.028,8.665362,16.01564,99.69624,163.8301,41.19876,136.0034,166.6849,195.9963,0.50635,0.40153,0.37175,0
416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,142,1,A,A,0,20,142,F,A,CNTRL_20_F_A,B24G39,1,B24G39_day1,B24G39_1A_day1.JPG,B24G39_exp1A_day1,83.2763,56.2695,26.0171,238.587,34.03559,41.08449,102.3285,159.2783,33.47919,140.6735,162.8154,184.9109,0.20963,0.26048,0.046962,0
419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,143,1,A,A,0,20,143,F,S,CNTRL_20_F_S,B24G40,1,B24G40_day1,B24G40_1A_day1.JPG,B24G40_exp1A_day1,121.7722,64.87495,38.58631,194.1392,10.06384,16.5187,113.8441,178.4628,43.61693,141.2872,171.0838,197.2442,0.40953,0.23574,0.1092,0
422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,144,1,A,A,0,20,144,F,S,CNTRL_20_F_S,B24G41,1,B24G41_day1,B24G41_1A_day1.JPG,B24G41_exp1A_day1,127.891,83.45481,42.58009,223.6092,30.94432,36.70415,73.41395,137.6906,17.50047,134.6781,167.6147,193.2245,0.37772,0.38247,0.11397,0
425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,145,1,A,A,0,20,145,F,S,CNTRL_20_F_S,B24G42,1,B24G42_day1,B24G42_1A_day1.JPG,B24G42_exp1A_day1,145.5839,97.56802,55.78879,216.4564,29.60744,39.84572,98.23177,161.8737,39.04499,129.0886,162.221,186.9536,0.41567,0.40021,0.12623,0
428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,146,1,A,A,0,30,146,F,A,CNTRL_30_F_A,B31G77,1,B31G77_day1,B31G77_1A_day1.JPG,B31G77_exp1A_day1,130.1935,88.90496,77.9904,222.882,52.06335,59.44821,128.7707,187.6058,74.33098,102.4925,130.1245,154.1983,0.34958,0.17959,0.28443,0
431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,147,1,A,A,0,30,147,F,A,CNTRL_30_F_A,B31G78,1,B31G78_day1,B31G78_1A_day1.JPG,B31G78_exp1A_day1,111.4549,100.6796,87.02744,205.6136,55.37254,63.29888,110.646,178.1008,78.9796,105.4246,139.9118,171.1953,0.25341,0.25215,0.29833,0
434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,148,1,A,A,0,30,148,F,S,CNTRL_30_F_S,B31G79,1,B31G79_day1,B31G79_1A_day1.JPG,B31G79_exp1A_day1,158.9949,112.7277,75.14377,216.0318,57.5644,64.47262,102.75,163.054,67.72203,144.9988,178.3771,207.4646,0.47712,0.44934,0.067251,0
437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,149,1,A,A,0,30,149,F,S,CNTRL_30_F_S,B31G80,1,B31G80_day1,B31G80_1A_day1.JPG,B31G80_exp1A_day1,101.6434,67.70145,41.30714,196.3898,45.17981,51.53373,82.55197,138.6416,45.06875,118.4488,149.5346,172.2959,0.35304,0.31842,0.050861,0
