"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"0.0180472945350391","0","-0.391032123993986","-0.17727305613731","-0.0650531203696822","-0.0758494987455513","-0.178145395880756","-0.0574972337081523","-0.0500026081163273","-0.0559425727348462","-0.0761106690110941","-0.0647113827342078","-0.0735883750368422","-0.156278456702779","-0.076132605447892","-0.203945881953516","-0.220198414319206","-0.00281830577047806","-0.0767992956486125","-0.0373221741281125","-0.0598676964534092","-0.0959444510141544","-0.0627985342452951","NA"
