"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"B1","C1","D1","A2","B2","C2","D2","A3","B3","C3","D3","A4","B4","C4","D4","A5","B5","C5","D5","A6","B6","C6","D6",NA
"0","-0.0954569508129887","-0.131669432542834","-0.0804293564979812","-0.0743925033772174","-0.0368039702659921","-0.0652386709698818","-0.0306552807761863","-0.0447568123025407","-0.143436320126701","-0.104599018217944","-0.0679379399098825","-0.0404959306686825","-0.0726188210824126","-0.0518678930133506","-0.0440196452907225","-0.0802390791883387","-0.10152209038238","-0.0595621559636314","-0.0528142454491394","-0.103860755430737","-0.0471749712747316","-0.0400673985443652","NA"
